group,exp,reads,total,match,match_p,partial,partial_p,nonmatch,nonmatch_p
Aging,0a_Genscript_GCall,2147094,2000000,1972320,98.62,9346,0.47,18334,0.92
Aging,0a_Genscript_GCfix,2364188,2000000,1958500,97.92,19302,0.97,22198,1.11
Aging,0a_Twist_GCall,2334482,2000000,1981226,99.06,5249,0.26,13525,0.68
Aging,0a_Twist_GCfix,1928408,1928408,1909416,99.02,5204,0.27,13788,0.71
Aging,0b_Genscript_GCall,1889210,1889210,1857253,98.31,12592,0.67,19365,1.03
Aging,0b_Genscript_GCfix,2298316,2000000,1957261,97.86,21964,1.10,20775,1.04
Aging,0b_Twist_GCall,2493088,2000000,1979316,98.97,5709,0.29,14975,0.75
Aging,0b_Twist_GCfix,2123834,2000000,1980107,99.01,5373,0.27,14520,0.73
Aging,2d_Genscript_GCall,1974614,1974614,1939708,98.23,13807,0.70,21099,1.07
Aging,2d_Genscript_GCfix,2117208,2000000,1953179,97.66,22415,1.12,24406,1.22
Aging,2d_Twist_GCall,2029400,2000000,1979550,98.98,5882,0.29,14568,0.73
Aging,2d_Twist_GCfix,2234736,2000000,1977982,98.90,6148,0.31,15870,0.79
Aging,4d_Genscript_GCall,2209586,2000000,1960976,98.05,15920,0.80,23104,1.16
Aging,4d_Genscript_GCfix,2163846,2000000,1938468,96.92,32892,1.64,28640,1.43
Aging,4d_Twist_GCall,1954024,1954024,1932876,98.92,5409,0.28,15739,0.81
Aging,4d_Twist_GCfix,2346344,2000000,1975731,98.79,6859,0.34,17410,0.87
Aging,7d_Genscript_GCall,2212120,2000000,1947429,97.37,21269,1.06,31302,1.57
Aging,7d_Genscript_GCfix,2283496,2000000,1937860,96.89,33171,1.66,28969,1.45
Aging,7d_Twist_GCall,2374336,2000000,1975789,98.79,6030,0.30,18181,0.91
Aging,7d_Twist_GCfix,2256450,2000000,1970778,98.54,7866,0.39,21356,1.07
bunny_generations,Bunny_F1,4000000,2000000,1997708,99.89,1958,0.10,334,0.02
bunny_generations,Bunny_F2,4000000,2000000,1997314,99.87,2290,0.11,396,0.02
bunny_generations,Bunny_F3,4000000,2000000,1997258,99.86,2315,0.12,427,0.02
bunny_generations,Bunny_F4,4000000,2000000,1996977,99.85,2671,0.13,352,0.02
bunny_generations,Bunny_F5,4000000,2000000,1996944,99.85,2624,0.13,432,0.02
bunny_generations,Bunny_F6,4000000,2000000,1996737,99.84,2852,0.14,411,0.02
bunny_generations,Bunny_F7,4000000,2000000,1996884,99.84,2684,0.13,432,0.02
bunny_generations,Bunny_F8,3999998,2000000,1996310,99.82,3264,0.16,426,0.02
bunny_generations,Bunny_F9,4000000,2000000,1996275,99.81,3289,0.16,436,0.02
bunny_generations,Bunny_M,4000000,2000000,1998015,99.90,1559,0.08,426,0.02
bunny_generations,Bunny_P,3999998,2000000,1997621,99.88,1891,0.09,488,0.02
DoT,Bunny_F1,1682166,1682166,1646912,97.90,15409,0.92,19845,1.18
DoT,Bunny_F2,1776106,1776106,1734246,97.64,17057,0.96,24803,1.40
DoT,Bunny_F3,1980518,1980518,1915604,96.72,23436,1.18,41478,2.09
DoT,Bunny_F4,1818212,1818212,1769992,97.35,17150,0.94,31070,1.71
DoT,Bunny_F5,7808530,2000000,1947820,97.39,15571,0.78,36609,1.83
DoT,Bunny_M,2107256,2000000,1964567,98.23,15210,0.76,20223,1.01
DoT,Bunny_P,2694732,2000000,1958021,97.90,17869,0.89,24110,1.21
best,MasterPool,4000000,2000000,1999808,99.99,76,0.00,116,0.01
best,Pool_005,4000000,2000000,2000000,100.00,0,0.00,0,0.00
best,Pool_010,4000000,2000000,1999994,100.00,0,0.00,6,0.00
best,Pool_015,4000000,2000000,2000000,100.00,0,0.00,0,0.00
best,Pool_020,4000000,2000000,1999856,99.99,16,0.00,128,0.01
best,Pool_025,4000000,2000000,1999424,99.97,126,0.01,450,0.02
best,Pool_030,4000000,2000000,1999698,99.98,64,0.00,238,0.01
best,Pool_040,3999998,2000000,1999909,100.00,27,0.00,64,0.00
best,Pool_050,4000000,2000000,1999650,99.98,298,0.01,52,0.00
best,Pool_060,4000000,2000000,1999883,99.99,71,0.00,46,0.00
best,Pool_070,4000000,2000000,1999893,99.99,3,0.00,104,0.01
best,Pool_080,4000000,2000000,1999676,99.98,104,0.01,220,0.01
best,Pool_090,4000000,2000000,1999797,99.99,203,0.01,0,0.00
best,Pool_100,4000000,2000000,1999807,99.99,85,0.00,108,0.01
best,Pool_110,4000000,2000000,1999757,99.99,193,0.01,50,0.00
best,Pool_120,4000000,2000000,1999746,99.99,118,0.01,136,0.01
best,Pool_130,3999998,2000000,1999763,99.99,103,0.01,134,0.01
best,Pool_140,4000000,2000000,1999731,99.99,127,0.01,142,0.01
best,Pool_150,4000000,2000000,1999809,99.99,143,0.01,48,0.00
best,Pool_160,4000000,2000000,1999735,99.99,63,0.00,202,0.01
best,Pool_180,4000000,2000000,1999921,100.00,31,0.00,48,0.00
best,Pool_200,3999998,2000000,1999829,99.99,51,0.00,120,0.01
best,Pool_225,4000000,2000000,1999774,99.99,156,0.01,70,0.00
best,Pool_250,4000000,2000000,1999782,99.99,130,0.01,88,0.00
best,Pool_275,3999998,2000000,1999720,99.99,56,0.00,224,0.01
best,Pool_300,4000000,2000000,1999752,99.99,126,0.01,122,0.01
best,Pool_325,3999998,2000000,1999776,99.99,88,0.00,136,0.01
best,Pool_350,4000000,2000000,1999755,99.99,95,0.00,150,0.01
best,Pool_400,4000000,2000000,1999633,99.98,149,0.01,218,0.01
best,Pool_450,4000000,2000000,1999755,99.99,71,0.00,174,0.01
best,Pool_500,4000000,2000000,1999820,99.99,94,0.00,86,0.00
worst,MasterPool,4000000,2000000,1997823,99.89,1563,0.08,614,0.03
worst,Pool_005,4000000,2000000,1997852,99.89,650,0.03,1498,0.07
worst,Pool_010,4000000,2000000,1997785,99.89,1913,0.10,302,0.02
worst,Pool_015,3999998,2000000,1996782,99.84,1170,0.06,2048,0.10
worst,Pool_020,4000000,2000000,1997436,99.87,1892,0.09,672,0.03
worst,Pool_025,4000000,2000000,1997776,99.89,2066,0.10,158,0.01
worst,Pool_030,3999998,2000000,1996950,99.85,2506,0.13,544,0.03
worst,Pool_040,3999998,2000000,1997566,99.88,1442,0.07,992,0.05
worst,Pool_050,3999998,2000000,1998075,99.90,1453,0.07,472,0.02
worst,Pool_060,4000000,2000000,1997756,99.89,1546,0.08,698,0.03
worst,Pool_070,3999998,2000000,1997322,99.87,1664,0.08,1014,0.05
worst,Pool_080,4000000,2000000,1997864,99.89,1642,0.08,494,0.02
worst,Pool_090,4000000,2000000,1997608,99.88,1558,0.08,834,0.04
worst,Pool_100,4000000,2000000,1997132,99.86,2362,0.12,506,0.03
worst,Pool_110,4000000,2000000,1996937,99.85,2273,0.11,790,0.04
worst,Pool_120,4000000,2000000,1997572,99.88,1550,0.08,878,0.04
worst,Pool_130,4000000,2000000,1997800,99.89,1392,0.07,808,0.04
worst,Pool_140,4000000,2000000,1997019,99.85,2243,0.11,738,0.04
worst,Pool_150,4000000,2000000,1997678,99.88,1864,0.09,458,0.02
worst,Pool_160,4000000,2000000,1997265,99.86,1867,0.09,868,0.04
worst,Pool_180,4000000,2000000,1997741,99.89,1605,0.08,654,0.03
worst,Pool_200,4000000,2000000,1997814,99.89,1706,0.09,480,0.02
worst,Pool_225,4000000,2000000,1997628,99.88,1766,0.09,606,0.03
worst,Pool_250,4000000,2000000,1997276,99.86,1910,0.10,814,0.04
worst,Pool_275,4000000,2000000,1997604,99.88,1712,0.09,684,0.03
worst,Pool_300,4000000,2000000,1997705,99.89,1571,0.08,724,0.04
worst,Pool_325,4000000,2000000,1997529,99.88,1777,0.09,694,0.03
worst,Pool_350,3999998,2000000,1997781,99.89,1611,0.08,608,0.03
worst,Pool_400,3999998,2000000,1997434,99.87,1892,0.09,674,0.03
worst,Pool_450,4000000,2000000,1997360,99.87,1976,0.10,664,0.03
worst,Pool_500,4000000,2000000,1997793,99.89,1633,0.08,574,0.03
Genscript_GCall_Aging,0a,2000000,2000000,1996329,99.82,3209,0.16,462,0.02
Genscript_GCall_Aging,0b,2000000,2000000,1996077,99.80,3421,0.17,502,0.03
Genscript_GCall_Aging,2d,2000000,2000000,1996252,99.81,3240,0.16,508,0.03
Genscript_GCall_Aging,4d,2000000,2000000,1996471,99.82,3141,0.16,388,0.02
Genscript_GCall_Aging,7d,2000000,2000000,1996055,99.80,3465,0.17,480,0.02
Genscript_GCall_PCR,PCR0,2000000,2000000,1997991,99.90,1635,0.08,374,0.02
Genscript_GCall_PCR,PCR1,2000000,2000000,1997912,99.90,1670,0.08,418,0.02
Genscript_GCall_PCR,PCR2,2000000,2000000,1997752,99.89,1726,0.09,522,0.03
Genscript_GCall_PCR,PCR3,2000000,2000000,1997754,99.89,2080,0.10,166,0.01
Genscript_GCfix_Aging,0a,2000000,2000000,1994283,99.71,3708,0.19,2009,0.10
Genscript_GCfix_Aging,0b,2000000,2000000,1994058,99.70,3922,0.20,2020,0.10
Genscript_GCfix_Aging,2d,2000000,2000000,1993998,99.70,4030,0.20,1972,0.10
Genscript_GCfix_Aging,4d,2000000,2000000,1993581,99.68,4403,0.22,2016,0.10
Genscript_GCfix_Aging,7d,2000000,2000000,1993770,99.69,4240,0.21,1990,0.10
Genscript_GCfix_PCR,PCR0,2000000,2000000,1994763,99.74,3374,0.17,1863,0.09
Genscript_GCfix_PCR,PCR1,2000000,2000000,1994798,99.74,3306,0.17,1896,0.09
Genscript_GCfix_PCR,PCR2,2000000,2000000,1994569,99.73,3497,0.17,1934,0.10
Genscript_GCfix_PCR,PCR3,2000000,2000000,1994539,99.73,3711,0.19,1750,0.09
Twist_GCall_Aging,0a,2000000,2000000,1999880,99.99,30,0.00,90,0.00
Twist_GCall_Aging,0b,2000000,2000000,1999876,99.99,44,0.00,80,0.00
Twist_GCall_Aging,2d,2000000,2000000,1999864,99.99,33,0.00,103,0.01
Twist_GCall_Aging,4d,2000000,2000000,1999865,99.99,57,0.00,78,0.00
Twist_GCall_Aging,7d,1999998,1999998,1999853,99.99,43,0.00,102,0.01
Twist_GCall_PCR,PCR0,2000000,2000000,1999855,99.99,25,0.00,120,0.01
Twist_GCall_PCR,PCR1,2000000,2000000,1999841,99.99,37,0.00,122,0.01
Twist_GCall_PCR,PCR2,2000000,2000000,1999865,99.99,49,0.00,86,0.00
Twist_GCall_PCR,PCR3,2000000,2000000,1999860,99.99,46,0.00,94,0.00
Twist_GCall_PCR,PCR4,2000000,2000000,1999839,99.99,81,0.00,80,0.00
Twist_GCall_PCR,PCR5,2000000,2000000,1999796,99.99,108,0.01,96,0.00
Twist_GCfix_Aging,0a,2000000,2000000,1999841,99.99,37,0.00,122,0.01
Twist_GCfix_Aging,0b,2000000,2000000,1999858,99.99,32,0.00,110,0.01
Twist_GCfix_Aging,2d,2000000,2000000,1999852,99.99,46,0.00,102,0.01
Twist_GCfix_Aging,4d,2000000,2000000,1999861,99.99,49,0.00,90,0.00
