id,name,Ct
A10,NP ampl,16.02
B10,NP ampl,16.07
C10,NP ampl,15.93
D10,NP ampl,16.22
E10,NP ampl,15.98
F10,NP ampl,15.79
G10,NP ampl,15.99
H10,NP ampl,16.24
A11,NP ampl,15.98
B11,NP ampl,16.04
C11,NP ampl,15.86
D11,NP ampl,15.97
E11,NP ampl,16.13
F11,NP ampl,15.99
G11,NP ampl,15.95
H11,NP ampl,15.94
A1,NP ampl,15.48
B1,NP ampl,16.08
C1,NP ampl,16.02
D1,NP ampl,15.78
E1,NP ampl,15.75
F1,NP ampl,15.88
G1,NP ampl,16.16
H1,NP ampl,16.09
A12,NP ampl,16.14
B12,NP ampl,15.98
C12,NP ampl,15.84
D12,NP ampl,16.29
E12,NP ampl,15.81
F12,NP ampl,16.05
G12,NP ampl,15.93
H12,NP ampl,16.22
A2,NP ampl,15.87
B2,NP ampl,16.14
C2,NP ampl,16.00
D2,NP ampl,16.02
E2,NP ampl,15.99
F2,NP ampl,15.90
G2,NP ampl,15.85
H2,NP ampl,15.99
A3,NP ampl,15.76
B3,NP ampl,15.74
C3,NP ampl,15.98
D3,NP ampl,15.95
E3,NP ampl,16.15
F3,NP ampl,16.19
G3,NP ampl,15.84
H3,NP ampl,16.19
A4,NP ampl,16.09
B4,NP ampl,15.82
C4,NP ampl,15.93
D4,NP ampl,15.78
E4,NP ampl,16.20
F4,NP ampl,15.86
G4,NP ampl,15.93
H4,NP ampl,15.86
A5,NP ampl,15.92
B5,NP ampl,16.18
C5,NP ampl,16.16
D5,NP ampl,16.18
E5,NP ampl,15.90
F5,NP ampl,15.97
G5,NP ampl,15.94
H5,NP ampl,15.95
A6,NP ampl,15.85
B6,NP ampl,15.94
C6,NP ampl,16.13
D6,NP ampl,15.88
E6,NP ampl,16.04
F6,NP ampl,15.97
G6,NP ampl,15.85
H6,NP ampl,16.02
A7,NP ampl,15.75
B7,NP ampl,16.00
C7,NP ampl,16.18
D7,NP ampl,15.86
E7,NP ampl,15.90
F7,NP ampl,15.92
G7,NP ampl,15.98
H7,NP ampl,15.83
A8,NP ampl,15.81
B8,NP ampl,15.88
C8,NP ampl,15.82
D8,NP ampl,15.99
E8,NP ampl,15.89
F8,NP ampl,15.88
G8,NP ampl,16.26
H8,NP ampl,15.98
A9,NP ampl,15.96
B9,NP ampl,16.13
C9,NP ampl,15.92
D9,NP ampl,15.84
E9,NP ampl,15.97
F9,NP ampl,15.84
G9,NP ampl,15.94
H9,NP ampl,16.23
