id,name,Ct
A10,GCFix prep,16.52
B10,GCFix prep,16.53
C10,GCFix prep,16.53
D10,GCFix prep,16.50
E10,GCFix prep,16.52
F10,GCFix prep,16.52
G10,GCFix prep,16.58
H10,GCFix prep,16.64
A11,GCFix prep,16.45
B11,GCFix prep,16.55
C11,GCFix prep,16.56
D11,GCFix prep,16.53
E11,GCFix prep,16.52
F11,GCFix prep,16.54
G11,GCFix prep,16.54
H11,GCFix prep,16.66
A1,GCFix prep,16.30
B1,GCFix prep,16.49
C1,GCFix prep,16.44
D1,GCFix prep,16.40
E1,GCFix prep,16.48
F1,GCFix prep,16.46
G1,GCFix prep,16.50
H1,GCFix prep,16.47
A12,GCFix prep,16.58
B12,GCFix prep,16.71
C12,GCFix prep,16.56
D12,GCFix prep,16.44
E12,GCFix prep,16.63
F12,GCFix prep,16.62
G12,GCFix prep,16.58
H12,GCFix prep,16.84
A2,GCFix prep,16.43
B2,GCFix prep,16.45
C2,GCFix prep,16.42
D2,GCFix prep,16.54
E2,GCFix prep,16.44
F2,GCFix prep,16.56
G2,GCFix prep,16.48
H2,GCFix prep,16.53
A3,GCFix prep,16.38
B3,GCFix prep,16.50
C3,GCFix prep,16.45
D3,GCFix prep,16.41
E3,GCFix prep,16.50
F3,GCFix prep,16.44
G3,GCFix prep,16.62
H3,GCFix prep,16.51
A4,GCFix prep,16.50
B4,GCFix prep,16.50
C4,GCFix prep,16.51
D4,GCFix prep,16.41
E4,GCFix prep,16.51
F4,GCFix prep,16.50
G4,GCFix prep,16.53
H4,GCFix prep,16.55
A5,GCFix prep,16.39
B5,GCFix prep,16.53
C5,GCFix prep,16.43
D5,GCFix prep,16.43
E5,GCFix prep,16.49
F5,GCFix prep,16.50
G5,GCFix prep,16.55
H5,GCFix prep,16.57
A6,GCFix prep,16.58
B6,GCFix prep,16.55
C6,GCFix prep,16.47
D6,GCFix prep,16.48
E6,GCFix prep,16.55
F6,GCFix prep,16.53
G6,GCFix prep,16.50
H6,GCFix prep,16.60
A7,GCFix prep,16.39
B7,GCFix prep,16.55
C7,GCFix prep,16.54
D7,GCFix prep,16.57
E7,GCFix prep,16.51
F7,GCFix prep,16.53
G7,GCFix prep,16.53
H7,GCFix prep,16.57
A8,GCFix prep,16.58
B8,GCFix prep,16.53
C8,GCFix prep,16.52
D8,GCFix prep,16.63
E8,GCFix prep,16.51
F8,GCFix prep,16.56
G8,GCFix prep,16.58
H8,GCFix prep,16.52
A9,GCFix prep,16.41
B9,GCFix prep,16.53
C9,GCFix prep,16.53
D9,GCFix prep,16.47
E9,GCFix prep,16.53
F9,GCFix prep,16.67
G9,GCFix prep,16.46
H9,GCFix prep,16.53
