id,name,Ct
A10,Sample 10,16.07
B10,Sample 22,16.03
C10,Sample 34,16.04
D10,Sample 46,16.03
E10,Sample 58,16.03
F10,Sample 70,16.03
G10,Sample 82,16.04
H10,Sample 94,16.10
A11,Sample 11,16.09
B11,Sample 23,16.02
C11,Sample 35,16.03
D11,Sample 47,16.04
E11,Sample 59,16.04
F11,Sample 71,16.05
G11,Sample 83,16.03
H11,Sample 95,16.09
A1,Sample 1,16.13
B1,Sample 13,16.11
C1,Sample 25,16.12
D1,Sample 37,16.13
E1,Sample 49,16.07
F1,Sample 61,16.10
G1,Sample 73,16.08
H1,Sample 85,16.13
A12,Sample 12,16.10
B12,Sample 24,16.05
C12,Sample 36,16.06
D12,Sample 48,16.05
E12,Sample 60,16.06
F12,Sample 72,16.06
G12,Sample 84,16.10
H12,Sample 96,16.12
A2,Sample 2,16.09
B2,Sample 14,16.06
C2,Sample 26,16.06
D2,Sample 38,16.08
E2,Sample 50,16.09
F2,Sample 62,16.08
G2,Sample 74,16.07
H2,Sample 86,16.13
A3,Sample 3,16.11
B3,Sample 15,16.04
C3,Sample 27,16.05
D3,Sample 39,16.07
E3,Sample 51,16.07
F3,Sample 63,16.06
G3,Sample 75,16.06
H3,Sample 87,16.12
A4,Sample 4,16.11
B4,Sample 16,16.07
C4,Sample 28,16.07
D4,Sample 40,16.05
E4,Sample 52,16.06
F4,Sample 64,16.06
G4,Sample 76,16.08
H4,Sample 88,16.14
A5,Sample 5,16.09
B5,Sample 17,16.06
C5,Sample 29,16.07
D5,Sample 41,16.06
E5,Sample 53,16.06
F5,Sample 65,16.07
G5,Sample 77,16.08
H5,Sample 89,16.12
A6,Sample 6,16.09
B6,Sample 18,16.06
C6,Sample 30,16.06
D6,Sample 42,16.05
E6,Sample 54,16.05
F6,Sample 66,16.04
G6,Sample 78,16.08
H6,Sample 90,16.13
A7,Sample 7,16.07
B7,Sample 19,16.06
C7,Sample 31,16.04
D7,Sample 43,16.04
E7,Sample 55,16.05
F7,Sample 67,16.06
G7,Sample 79,16.06
H7,Sample 91,16.12
A8,Sample 8,16.09
B8,Sample 20,16.05
C8,Sample 32,16.06
D8,Sample 44,16.03
E8,Sample 56,16.03
F8,Sample 68,16.05
G8,Sample 80,16.06
H8,Sample 92,16.11
A9,Sample 9,16.09
B9,Sample 21,16.03
C9,Sample 33,16.04
D9,Sample 45,16.02
E9,Sample 57,16.02
F9,Sample 69,16.04
G9,Sample 81,16.05
H9,Sample 93,16.11
