id,name,Ct
A10,Sample 10,15.50
B10,Sample 22,15.46
C10,Sample 34,15.47
D10,Sample 46,15.47
E10,Sample 58,15.46
F10,Sample 70,15.46
G10,Sample 82,15.47
H10,Sample 94,15.52
A11,Sample 11,15.50
B11,Sample 23,15.50
C11,Sample 35,15.46
D11,Sample 47,15.47
E11,Sample 59,15.47
F11,Sample 71,15.47
G11,Sample 83,15.47
H11,Sample 95,15.51
A1,Sample 1,15.54
B1,Sample 13,15.50
C1,Sample 25,15.51
D1,Sample 37,15.54
E1,Sample 49,15.51
F1,Sample 61,15.51
G1,Sample 73,15.55
H1,Sample 85,15.55
A12,Sample 12,15.49
B12,Sample 24,15.47
C12,Sample 36,15.46
D12,Sample 48,15.48
E12,Sample 60,15.47
F12,Sample 72,15.47
G12,Sample 84,15.51
H12,Sample 96,15.52
A2,Sample 2,15.53
B2,Sample 14,15.48
C2,Sample 26,15.49
D2,Sample 38,15.50
E2,Sample 50,15.51
F2,Sample 62,15.50
G2,Sample 74,15.50
H2,Sample 86,15.55
A3,Sample 3,15.52
B3,Sample 15,15.48
C3,Sample 27,15.49
D3,Sample 39,15.50
E3,Sample 51,15.50
F3,Sample 63,15.50
G3,Sample 75,15.50
H3,Sample 87,15.55
A4,Sample 4,15.52
B4,Sample 16,15.48
C4,Sample 28,15.48
D4,Sample 40,15.50
E4,Sample 52,15.50
F4,Sample 64,15.50
G4,Sample 76,15.52
H4,Sample 88,15.56
A5,Sample 5,15.52
B5,Sample 17,15.50
C5,Sample 29,15.50
D5,Sample 41,15.50
E5,Sample 53,15.50
F5,Sample 65,15.51
G5,Sample 77,15.51
H5,Sample 89,15.54
A6,Sample 6,15.52
B6,Sample 18,15.48
C6,Sample 30,15.49
D6,Sample 42,15.49
E6,Sample 54,15.47
F6,Sample 66,15.49
G6,Sample 78,15.50
H6,Sample 90,15.55
A7,Sample 7,15.52
B7,Sample 19,15.47
C7,Sample 31,15.49
D7,Sample 43,15.50
E7,Sample 55,15.48
F7,Sample 67,15.49
G7,Sample 79,15.50
H7,Sample 91,15.50
A8,Sample 8,15.52
B8,Sample 20,15.48
C8,Sample 32,15.48
D8,Sample 44,15.48
E8,Sample 56,15.48
F8,Sample 68,15.49
G8,Sample 80,15.49
H8,Sample 92,15.54
A9,Sample 9,15.52
B9,Sample 21,15.46
C9,Sample 33,15.45
D9,Sample 45,15.46
E9,Sample 57,15.47
F9,Sample 69,15.47
G9,Sample 81,15.48
H9,Sample 93,15.53
