Well,Name,Ct,Dilution,Abundance,Concentration
A7,50,5.54,1,0.9522127434195498,0.0441826712946671
B7,50,5.19,1,1.199304923414659,0.05564774844644018
C7,500,9.94,20,0.05237593854135206,0.0024302435483187354
D7,500,9.83,20,0.05631471266910123,0.002613002667846297
E7,5000,14.9,400,0.001991666615347816,9.241333095213866e-05
F7,5000,14.6,400,0.002427161138198955,0.0001126202768124315
G7,50000,19.41,8000,0.00010188832399951575,4.727618233577531e-06
H7,50000,19.06,8000,0.00012832759218519245,5.9544002773929294e-06
A8,500000,23.8,160000,5.6413751299626155e-06,2.6175980603026535e-07
B8,500000,23.79,160000,5.678684124462096e-06,2.6349094337504127e-07
C8,5000000,27.94,3200000,3.683102844555767e-07,1.7089597198738758e-08
D8,5000000,27.93,3200000,3.7074608885792394e-07,1.720261852300767e-08
