Well,Name,Ct,Dilution,Abundance,Concentration
A1,100x,4.18,100,0.010169116461509382,0.21965291556860267
B1,100x,4.3,100,0.00938973998105283,0.20281838359074114
C1,100x,4.25,100,0.009706945448821353,0.20967002169454124
D1,1000x,7.57,1000,0.001069043716375299,0.023091344273706457
E1,1000x,7.71,1000,0.000974079045619896,0.021040107385389754
F1,1000x,7.62,1000,0.001034109296077409,0.022336760795272036
G1,10000x,11.07,10000,0.00010446332829530207,0.002256407891178525
H1,10000x,11.09,10000,0.00010308423434212397,0.002226619461789878
A12,10000000x,21.4,10000000,1.0912586958532079e-07,2.3571187830429292e-06
B12,10000000x,21.6,10000000,9.554580540453193e-08,2.06378939673789e-06
C12,NTC,32.05,NA,9.216071370458712e-11,1.990671416019082e-09
D12,NTC,31.87,NA,1.0387004312727185e-10,2.243592931549072e-09
E12,NTC,31.86,NA,1.0456253809491568e-10,2.2585508228501788e-09
A6,10000x,11.15,10000,9.905523257624602e-05,0.0021395930236469143
B6,100000x,14.71,100000,9.30102877653663e-06,0.00020090222157319123
C6,100000x,14.57,100000,1.0207802348375706e-05,0.00022048853072491526
D6,100000x,14.57,100000,1.0207802348375706e-05,0.00022048853072491526
E6,1000000x,18.09,1000000,9.843035165725948e-07,2.1260955957968048e-05
F6,1000000x,18.06,1000000,1.0041219260643361e-06,2.1689033602989662e-05
G6,1000000x,18.12,1000000,9.648762641152606e-07,2.0841327304889632e-05
H6,10000000x,21.57,10000000,9.746956760271928e-08,2.1053426602187367e-06
