Well,Name,Ct,Dilution,Abundance,Concentration
A1,all D1,9.89,1,1.089900637920361,0.004904552870641625
B1,all D1,10.15,1,0.9254290099329306,0.004164430544698189
C1,all D1,10.1,1,0.955004412415124,0.004297519855868058
D1,all D10,13.65,10,0.10232559985034244,0.000460465199326541
E1,all D10,13.74,10,0.09669237229504832,0.0004351156753277175
F1,all D10,13.73,10,0.09730265022737795,0.00043786192602320083
G1,all D10^2,16.91,100,0.013158439223024275,5.9212976503609244e-05
H1,all D10^2,17.45,100,0.009368107738395637,4.215648482278037e-05
A2,all D10^2,17.43,100,0.009486735326023631,4.269030896710635e-05
B2,all D10^3,20.87,1000,0.0010893130247453474,4.9019086113540645e-06
C2,all D10^3,21.12,1000,0.000930767805255653,4.188455123650439e-06
D2,all D10^3,21.11,1000,0.0009366423849995157,4.214890732497821e-06
E2,all D10^4,24.49,10000,0.00011168746694644195,5.025936012589888e-07
F2,all D10^4,24.74,10000,9.543179611627707e-05,4.2944308252324684e-07
G2,all D10^4,24.81,10000,9.132000393475173e-05,4.1094001770638287e-07
H2,all D10^5,28.2,100000,1.0820917912636101e-05,4.869413060686246e-08
A3,all D10^5,28.36,100000,9.784639797975385e-06,4.403087909088924e-08
B3,all D10^5,28.42,100000,9.422152305012514e-06,4.2399685372556316e-08
