Name,Ct,Time
01,9.02,0
01,9.2,0
02,9.21,0
02,9.08,0
03,9.14,0
03,9.12,0
04,9.18,0
04,9.16,0
11,12.91,51.166
11,12.81,51.166
12,12.53,51.166
12,12.49,51.166
13,12.96,51.166
13,12.9,51.166
14,13.27,51.166
14,13.38,51.166
21,14.1,119.333
21,14.24,119.333
22,14.85,119.333
22,14.86,119.333
23,14.81,119.333
23,14.77,119.333
24,14.55,119.333
24,14.52,119.333
31,16.32,165.75
31,16.26,165.75
32,16.04,165.75
32,16.05,165.75
33,16.01,165.75
33,16.04,165.75
34,16.29,165.75
34,16.3,165.75
