Name,Ct,Time
all 0a,10.52,0
all 0a,10.83,0
all 0b,9.41,0
all 0b,9.37,0
all 0c,9.54,0
all 0c,9.59,0
all 0d,9.54,0
all 0d,9.56,0
all 1a,13.87,48.249
all 1a,13.80,48.249
all 1b,14.08,48.249
all 1b,14.06,48.249
all 1c,13.94,48.249
all 1c,13.95,48.249
all 1d,13.63,48.249
all 1d,13.67,48.249
all 2a,15.65,96.672
all 2a,15.79,96.672
all 2b,16.26,96.672
all 2b,16.22,96.672
all 2c,15.63,96.672
all 2c,15.65,96.672
all 2d,14.57,96.672
all 2d,14.60,96.672
all 3a,16.26,168.084
all 3a,16.28,168.084
all 3b,15.83,168.084
all 3b,15.94,168.084
all 3c,15.80,168.084
all 3c,15.76,168.084
all 3d,17.16,168.084
all 3d,17.21,168.084
