#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
1962	0.05575	0.121052	0.00000	0.000000	1197	0	1200	121378
5414	0.05510	0.119166	0.00000	0.000000	1183	0	1188	119732
2483	0.05096	0.109299	0.00000	0.000000	1094	0	1100	109912
633	0.04993	0.106216	0.00000	0.000000	1072	0	1076	106630
10408	0.04830	0.104318	0.00000	0.000000	1037	0	1046	105238
1202	0.04811	0.103727	0.00000	0.000000	1033	0	1034	103836
7425	0.04644	0.100913	0.00000	0.000000	997	0	1000	101218
10311	0.04607	0.099675	0.00000	0.000000	989	0	994	100190
293	0.04560	0.098781	0.00000	0.000000	979	0	984	99312
3451	0.04555	0.098358	0.00000	0.000000	978	0	978	98358
10149	0.04425	0.095441	0.00000	0.000000	950	0	954	95876
6753	0.04397	0.095149	0.00000	0.000000	944	0	948	95566
425	0.04332	0.093633	0.00000	0.000000	930	0	932	93834
194	0.04313	0.093527	0.00000	0.000000	926	0	932	94184
1355	0.04313	0.093160	0.00000	0.000000	926	0	926	93160
2281	0.04280	0.092025	0.00000	0.000000	919	0	922	92342
3121	0.04192	0.089807	0.00000	0.000000	900	0	906	90408
11909	0.04192	0.090547	0.00000	0.000000	900	0	904	90976
10295	0.04187	0.090234	0.00000	0.000000	899	0	906	90960
10691	0.04183	0.090063	0.00000	0.000000	898	0	900	90266
4377	0.04127	0.089076	0.00000	0.000000	886	0	888	89290
7302	0.04122	0.089014	0.00000	0.000000	885	0	888	89322
1921	0.04094	0.088495	0.00000	0.000000	879	0	882	88810
9988	0.04076	0.088292	0.00000	0.000000	875	0	878	88600
10373	0.04066	0.086243	0.00000	0.000000	873	0	880	87056
131	0.04062	0.088064	0.00000	0.000000	872	0	876	88454
3184	0.04057	0.087254	0.00000	0.000000	871	0	872	87356
1204	0.03992	0.086774	0.00000	0.000000	857	0	858	86876
7753	0.03987	0.085686	0.00000	0.000000	856	0	860	86114
6935	0.03968	0.085092	0.00000	0.000000	852	0	853	85200
6706	0.03968	0.085868	0.00000	0.000000	852	0	856	86260
11151	0.03964	0.085224	0.00000	0.000000	851	0	854	85560
6962	0.03954	0.085310	0.00000	0.000000	849	0	852	85622
3383	0.03926	0.085468	0.00000	0.000000	843	0	848	85968
7264	0.03917	0.084163	0.00000	0.000000	841	0	846	84656
24	0.03917	0.083928	0.00000	0.000000	841	0	848	84634
721	0.03889	0.084613	0.00000	0.000000	835	0	836	84722
7832	0.03875	0.083804	0.00000	0.000000	832	0	834	84022
2372	0.03833	0.082694	0.00000	0.000000	823	0	826	82988
4123	0.03796	0.082116	0.00000	0.000000	815	0	818	82422
11129	0.03796	0.081694	0.00000	0.000000	815	0	820	82268
171	0.03791	0.081658	0.00000	0.000000	814	0	816	81870
10281	0.03787	0.081584	0.00000	0.000000	813	0	818	82118
5863	0.03782	0.081440	0.00000	0.000000	812	0	812	81440
591	0.03740	0.080586	0.00000	0.000000	803	0	806	80886
1197	0.03731	0.080531	0.00000	0.000000	801	0	803	80742
12337	0.03722	0.080175	0.00000	0.000000	799	0	802	80482
8232	0.03712	0.079591	0.00000	0.000000	797	0	802	80138
12311	0.03712	0.079589	0.00000	0.000000	797	0	800	79902
5211	0.03708	0.080434	0.00000	0.000000	796	0	796	80434
8263	0.03703	0.078881	0.00000	0.000000	795	0	802	79630
6315	0.03703	0.079957	0.00000	0.000000	795	0	798	80236
2450	0.03703	0.079425	0.00000	0.000000	795	0	796	79534
8369	0.03694	0.079587	0.00000	0.000000	793	0	802	80712
9285	0.03689	0.079540	0.00000	0.000000	792	0	798	80172
3115	0.03689	0.079532	0.00000	0.000000	792	0	794	79742
10762	0.03684	0.079091	0.00000	0.000000	791	0	794	79400
7523	0.03675	0.079392	0.00000	0.000000	789	0	794	79902
2919	0.03670	0.079156	0.00000	0.000000	788	0	792	79566
3448	0.03666	0.079125	0.00000	0.000000	787	0	790	79430
2197	0.03666	0.079515	0.00000	0.000000	787	0	792	80040
6194	0.03661	0.078608	0.00000	0.000000	786	0	786	78608
10353	0.03656	0.078969	0.00000	0.000000	785	0	787	79175
12356	0.03652	0.079060	0.00000	0.000000	784	0	790	79688
11556	0.03652	0.078682	0.00000	0.000000	784	0	786	78800
10519	0.03652	0.078836	0.00000	0.000000	784	0	786	79054
9461	0.03633	0.078260	0.00000	0.000000	780	0	784	78732
11536	0.03628	0.078325	0.00000	0.000000	779	0	784	78830
681	0.03614	0.077654	0.00000	0.000000	776	0	784	78514
8821	0.03610	0.077960	0.00000	0.000000	775	0	780	78542
7584	0.03605	0.078044	0.00000	0.000000	774	0	778	78476
5815	0.03605	0.077449	0.00000	0.000000	774	0	780	78056
8817	0.03596	0.077736	0.00000	0.000000	772	0	778	78350
10312	0.03586	0.077066	0.00000	0.000000	770	0	770	77066
8786	0.03582	0.076258	0.00000	0.000000	769	0	772	76586
5701	0.03582	0.077862	0.00000	0.000000	769	0	770	77982
11381	0.03572	0.076666	0.00000	0.000000	767	0	774	77398
4218	0.03568	0.076634	0.00000	0.000000	766	0	768	76854
10334	0.03568	0.076601	0.00000	0.000000	766	0	768	76860
