#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
10895	0.05004	0.137049	0.00000	0.000000	1183	0	1186	137400
01454	0.04966	0.135962	0.00000	0.000000	1174	0	1182	136880
02533	0.04742	0.128278	0.00000	0.000000	1121	0	1128	129038
07964	0.04183	0.113553	0.00000	0.000000	989	0	994	114136
08590	0.03980	0.108011	0.00000	0.000000	941	0	945	108471
07825	0.03946	0.105875	0.00000	0.000000	933	0	936	106212
01383	0.03887	0.105460	0.00000	0.000000	919	0	920	105610
04105	0.03769	0.101957	0.00000	0.000000	891	0	896	102516
10813	0.03676	0.100599	0.00000	0.000000	869	0	872	100948
00918	0.03528	0.094160	0.00000	0.000000	834	0	834	94160
10967	0.03481	0.091348	0.00000	0.000000	823	0	828	91902
02124	0.03456	0.092206	0.00000	0.000000	817	0	820	92558
06130	0.03443	0.094010	0.00000	0.000000	814	0	818	94478
01865	0.03443	0.091573	0.00000	0.000000	814	0	816	91778
07814	0.03422	0.093733	0.00000	0.000000	809	0	810	93850
08438	0.03405	0.092147	0.00000	0.000000	805	0	810	92722
07817	0.03308	0.089474	0.00000	0.000000	782	0	792	90568
09559	0.03282	0.089702	0.00000	0.000000	776	0	780	90166
07971	0.03270	0.087719	0.00000	0.000000	773	0	780	88490
11622	0.03223	0.087456	0.00000	0.000000	762	0	764	87660
08137	0.03206	0.085284	0.00000	0.000000	758	0	762	85756
09616	0.03194	0.087157	0.00000	0.000000	755	0	758	87498
00818	0.03189	0.085477	0.00000	0.000000	754	0	758	85922
05075	0.03177	0.086816	0.00000	0.000000	751	0	756	87384
10226	0.03143	0.085164	0.00000	0.000000	743	0	746	85516
10271	0.03130	0.084782	0.00000	0.000000	740	0	742	85016
09239	0.03130	0.084702	0.00000	0.000000	740	0	744	85202
01369	0.03113	0.083602	0.00000	0.000000	736	0	742	84298
01178	0.03109	0.083983	0.00000	0.000000	735	0	738	84334
02427	0.03096	0.083659	0.00000	0.000000	732	0	736	84100
03540	0.03084	0.081942	0.00000	0.000000	729	0	732	82264
00551	0.03079	0.082633	0.00000	0.000000	728	0	732	83064
03771	0.03062	0.081847	0.00000	0.000000	724	0	726	82066
12392	0.03054	0.081901	0.00000	0.000000	722	0	724	82168
06369	0.03016	0.081017	0.00000	0.000000	713	0	718	81602
00758	0.03007	0.080587	0.00000	0.000000	711	0	714	80938
08161	0.03003	0.080509	0.00000	0.000000	710	0	714	80964
12030	0.02986	0.079108	0.00000	0.000000	706	0	708	79310
04315	0.02978	0.079963	0.00000	0.000000	704	0	708	80412
08671	0.02969	0.081061	0.00000	0.000000	702	0	706	81520
12044	0.02952	0.078745	0.00000	0.000000	698	0	702	79214
05577	0.02931	0.079434	0.00000	0.000000	693	0	698	80020
00260	0.02923	0.079013	0.00000	0.000000	691	0	694	79356
09649	0.02919	0.078212	0.00000	0.000000	690	0	692	78438
01575	0.02902	0.078288	0.00000	0.000000	686	0	690	78754
11652	0.02897	0.079064	0.00000	0.000000	685	0	686	79170
11032	0.02881	0.078020	0.00000	0.000000	681	0	682	78136
07946	0.02881	0.076749	0.00000	0.000000	681	0	688	77532
08747	0.02876	0.077690	0.00000	0.000000	680	0	682	77924
01912	0.02872	0.078548	0.00000	0.000000	679	0	680	78698
03372	0.02859	0.077855	0.00000	0.000000	676	0	678	78078
09004	0.02851	0.076732	0.00000	0.000000	674	0	676	76952
00987	0.02830	0.076905	0.00000	0.000000	669	0	672	77288
00453	0.02826	0.075787	0.00000	0.000000	668	0	672	76238
04624	0.02821	0.076894	0.00000	0.000000	667	0	670	77236
03456	0.02817	0.075080	0.00000	0.000000	666	0	666	75080
10582	0.02809	0.074015	0.00000	0.000000	664	0	674	75092
