#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
007282	0.02043	0.051740	0.00000	0.000000	477	0	480	52190
011687	0.01889	0.047980	0.00000	0.000000	441	0	444	48390
008310	0.01859	0.046974	0.00000	0.000000	434	0	438	47574
002358	0.01859	0.046918	0.00000	0.000000	434	0	434	46918
002924	0.01842	0.046548	0.00000	0.000000	430	0	432	46848
001389	0.01821	0.046054	0.00000	0.000000	425	0	426	46204
003574	0.01795	0.045304	0.00000	0.000000	419	0	422	45714
000576	0.01786	0.045148	0.00000	0.000000	417	0	420	45598
004122	0.01782	0.045172	0.00000	0.000000	416	0	418	45472
002268	0.01774	0.044864	0.00000	0.000000	414	0	414	44864
001371	0.01748	0.043924	0.00000	0.000000	408	0	410	44224
009855	0.01735	0.044021	0.00000	0.000000	405	0	414	45334
007615	0.01718	0.043491	0.00000	0.000000	401	0	404	43900
010833	0.01692	0.042884	0.00000	0.000000	395	0	398	43334
009882	0.01671	0.042372	0.00000	0.000000	390	0	392	42672
003292	0.01671	0.042376	0.00000	0.000000	390	0	392	42676
005460	0.01662	0.042358	0.00000	0.000000	388	0	390	42658
004788	0.01658	0.041826	0.00000	0.000000	387	0	388	41976
007723	0.01649	0.042716	0.00000	0.000000	385	0	386	42866
004981	0.01645	0.041733	0.00000	0.000000	384	0	390	42566
001046	0.01645	0.041448	0.00000	0.000000	384	0	384	41448
000632	0.01636	0.041461	0.00000	0.000000	382	0	386	42026
007609	0.01632	0.041120	0.00000	0.000000	381	0	382	41270
004019	0.01632	0.041084	0.00000	0.000000	381	0	382	41234
004442	0.01611	0.040680	0.00000	0.000000	376	0	378	40980
001167	0.01611	0.040680	0.00000	0.000000	376	0	378	40980
005107	0.01606	0.040596	0.00000	0.000000	375	0	376	40746
009723	0.01602	0.040272	0.00000	0.000000	374	0	378	40872
003884	0.01602	0.040514	0.00000	0.000000	374	0	376	40814
000459	0.01602	0.040466	0.00000	0.000000	374	0	376	40766
009880	0.01598	0.040276	0.00000	0.000000	373	0	374	40426
006000	0.01598	0.040286	0.00000	0.000000	373	0	374	40436
007951	0.01589	0.040139	0.00000	0.000000	371	0	374	40522
010123	0.01585	0.039900	0.00000	0.000000	370	0	370	39900
002343	0.01585	0.040084	0.00000	0.000000	370	0	372	40384
000619	0.01581	0.040048	0.00000	0.000000	369	0	372	40498
001821	0.01572	0.039972	0.00000	0.000000	367	0	368	40122
000296	0.01572	0.039748	0.00000	0.000000	367	0	370	40136
007835	0.01568	0.039602	0.00000	0.000000	366	0	368	39902
007684	0.01568	0.039694	0.00000	0.000000	366	0	368	39994
003518	0.01568	0.039734	0.00000	0.000000	366	0	368	40034
000860	0.01568	0.039502	0.00000	0.000000	366	0	366	39502
010770	0.01564	0.039472	0.00000	0.000000	365	0	366	39622
010314	0.01564	0.039570	0.00000	0.000000	365	0	368	39988
005469	0.01564	0.039613	0.00000	0.000000	365	0	372	40582
004773	0.01564	0.039454	0.00000	0.000000	365	0	368	39862
000173	0.01564	0.039510	0.00000	0.000000	365	0	366	39660
003968	0.01551	0.039114	0.00000	0.000000	362	0	362	39114
002180	0.01551	0.039307	0.00000	0.000000	362	0	364	39576
000466	0.01547	0.038987	0.00000	0.000000	361	0	364	39406
011212	0.01542	0.039142	0.00000	0.000000	360	0	362	39442
010158	0.01542	0.039064	0.00000	0.000000	360	0	360	39064
010142	0.01542	0.038856	0.00000	0.000000	360	0	360	38856
