#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
007773	0.03189	0.066388	0.00000	0.000000	615	0	616	66496
009248	0.01898	0.039619	0.00000	0.000000	366	0	370	40194
000952	0.01825	0.029987	0.00000	0.000000	352	0	354	30214
011443	0.01820	0.038001	0.00000	0.000000	351	0	352	38126
008720	0.01753	0.036656	0.00000	0.000000	338	0	342	37256
005933	0.01706	0.035702	0.00000	0.000000	329	0	330	35810
003352	0.01696	0.035320	0.00000	0.000000	327	0	328	35470
010500	0.01675	0.034874	0.00000	0.000000	323	0	324	34992
011351	0.01659	0.034558	0.00000	0.000000	320	0	320	34558
011827	0.01649	0.034416	0.00000	0.000000	318	0	318	34416
010341	0.01649	0.034480	0.00000	0.000000	318	0	318	34480
010050	0.01649	0.034390	0.00000	0.000000	318	0	318	34390
002529	0.01644	0.034318	0.00000	0.000000	317	0	318	34468
010595	0.01628	0.033898	0.00000	0.000000	314	0	314	33898
008205	0.01628	0.034013	0.00000	0.000000	314	0	316	34238
006134	0.01618	0.033988	0.00000	0.000000	312	0	312	33988
007557	0.01613	0.033696	0.00000	0.000000	311	0	312	33846
011365	0.01608	0.033626	0.00000	0.000000	310	0	312	33926
011094	0.01608	0.033626	0.00000	0.000000	310	0	310	33626
002681	0.01592	0.033192	0.00000	0.000000	307	0	308	33342
004773	0.01587	0.033120	0.00000	0.000000	306	0	308	33420
009767	0.01582	0.033034	0.00000	0.000000	305	0	306	33184
006490	0.01582	0.033062	0.00000	0.000000	305	0	306	33212
009208	0.01576	0.033044	0.00000	0.000000	304	0	304	33044
008448	0.01576	0.033006	0.00000	0.000000	304	0	306	33306
004361	0.01576	0.032772	0.00000	0.000000	304	0	304	32772
011509	0.01566	0.032732	0.00000	0.000000	302	0	302	32732
004309	0.01566	0.032644	0.00000	0.000000	302	0	302	32644
010482	0.01556	0.032460	0.00000	0.000000	300	0	300	32460
008981	0.01556	0.032466	0.00000	0.000000	300	0	302	32766
006517	0.01556	0.032400	0.00000	0.000000	300	0	302	32660
005225	0.01556	0.032460	0.00000	0.000000	300	0	302	32760
006285	0.01545	0.032170	0.00000	0.000000	298	0	298	32170
005859	0.01545	0.032246	0.00000	0.000000	298	0	298	32246
005572	0.01545	0.032252	0.00000	0.000000	298	0	298	32252
011659	0.01535	0.032004	0.00000	0.000000	296	0	296	32004
009472	0.01535	0.032106	0.00000	0.000000	296	0	300	32706
004454	0.01535	0.031928	0.00000	0.000000	296	0	296	31928
004118	0.01535	0.031936	0.00000	0.000000	296	0	296	31936
003151	0.01535	0.032196	0.00000	0.000000	296	0	296	32196
000672	0.01535	0.032020	0.00000	0.000000	296	0	298	32288
010806	0.01530	0.031712	0.00000	0.000000	295	0	295	31712
006258	0.01530	0.031928	0.00000	0.000000	295	0	298	32312
011331	0.01519	0.031711	0.00000	0.000000	293	0	296	32136
009343	0.01519	0.031819	0.00000	0.000000	293	0	298	32548
000022	0.01519	0.031882	0.00000	0.000000	293	0	294	31994
010893	0.01514	0.031740	0.00000	0.000000	292	0	294	32040
005187	0.01514	0.031594	0.00000	0.000000	292	0	292	31594
008714	0.01509	0.031532	0.00000	0.000000	291	0	292	31682
001910	0.01509	0.031332	0.00000	0.000000	291	0	292	31482
007501	0.01504	0.031372	0.00000	0.000000	290	0	292	31672
005299	0.01504	0.031478	0.00000	0.000000	290	0	292	31778
007733	0.01499	0.031340	0.00000	0.000000	289	0	290	31490
004825	0.01499	0.031116	0.00000	0.000000	289	0	290	31266
003351	0.01499	0.031250	0.00000	0.000000	289	0	290	31400
002232	0.01499	0.031318	0.00000	0.000000	289	0	290	31468
010986	0.01488	0.031046	0.00000	0.000000	287	0	288	31196
010596	0.01488	0.031184	0.00000	0.000000	287	0	288	31334
002804	0.01488	0.031066	0.00000	0.000000	287	0	290	31460
011095	0.01483	0.030846	0.00000	0.000000	286	0	288	31106
010560	0.01483	0.030904	0.00000	0.000000	286	0	286	30904
007294	0.01483	0.031044	0.00000	0.000000	286	0	286	31044
005555	0.01483	0.030995	0.00000	0.000000	286	0	290	31534
009205	0.01478	0.030903	0.00000	0.000000	285	0	290	31620
003377	0.01478	0.030720	0.00000	0.000000	285	0	286	30870
003301	0.01478	0.031000	0.00000	0.000000	285	0	286	31150
001312	0.01478	0.030894	0.00000	0.000000	285	0	286	31044
010983	0.01473	0.030894	0.00000	0.000000	284	0	286	31194
003565	0.01473	0.030760	0.00000	0.000000	284	0	284	30760
001628	0.01473	0.030720	0.00000	0.000000	284	0	284	30720
011987	0.01468	0.030676	0.00000	0.000000	283	0	284	30826
011057	0.01468	0.030668	0.00000	0.000000	283	0	284	30818
007565	0.01468	0.030822	0.00000	0.000000	283	0	284	30972
002582	0.01468	0.030596	0.00000	0.000000	283	0	284	30746
011144	0.01462	0.030550	0.00000	0.000000	282	0	282	30550
003461	0.01462	0.030430	0.00000	0.000000	282	0	284	30730
000689	0.01462	0.030462	0.00000	0.000000	282	0	282	30462
009935	0.01457	0.030426	0.00000	0.000000	281	0	282	30576
001668	0.01457	0.030442	0.00000	0.000000	281	0	284	30892
010709	0.01452	0.030310	0.00000	0.000000	280	0	280	30310
007049	0.01452	0.030271	0.00000	0.000000	280	0	282	30540
004418	0.01452	0.030260	0.00000	0.000000	280	0	282	30560
000189	0.01452	0.030380	0.00000	0.000000	280	0	282	30648
000188	0.01452	0.030472	0.00000	0.000000	280	0	284	31072
009909	0.01447	0.030404	0.00000	0.000000	279	0	282	30854
007665	0.01447	0.030252	0.00000	0.000000	279	0	280	30402
007169	0.01447	0.030131	0.00000	0.000000	279	0	280	30250
003923	0.01447	0.030502	0.00000	0.000000	279	0	284	31252
001633	0.01447	0.030174	0.00000	0.000000	279	0	280	30292
011398	0.01442	0.030055	0.00000	0.000000	278	0	280	30322
010779	0.01442	0.030152	0.00000	0.000000	278	0	280	30422
