#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
1962	0.06008	0.114713	0.00000	0.000000	1135	0	1140	115252
1202	0.05807	0.110379	0.00000	0.000000	1097	0	1104	111160
10311	0.05468	0.103818	0.00000	0.000000	1033	0	1034	103922
5414	0.05362	0.101825	0.00000	0.000000	1013	0	1018	102344
2372	0.04896	0.092853	0.00000	0.000000	925	0	930	93370
10149	0.04833	0.091684	0.00000	0.000000	913	0	918	92168
2483	0.04796	0.089952	0.00000	0.000000	906	0	908	90156
7425	0.04785	0.091541	0.00000	0.000000	904	0	908	91958
10408	0.04637	0.087935	0.00000	0.000000	876	0	882	88566
2281	0.04425	0.083595	0.00000	0.000000	836	0	842	84200
6753	0.04415	0.083867	0.00000	0.000000	834	0	840	84490
425	0.04404	0.083438	0.00000	0.000000	832	0	836	83900
6935	0.04351	0.082016	0.00000	0.000000	822	0	832	83038
633	0.04346	0.081397	0.00000	0.000000	821	0	830	82322
3121	0.04309	0.081107	0.00000	0.000000	814	0	816	81318
293	0.04304	0.082073	0.00000	0.000000	813	0	814	82176
171	0.04272	0.081095	0.00000	0.000000	807	0	812	81612
11129	0.04261	0.080847	0.00000	0.000000	805	0	808	81190
3451	0.04230	0.080001	0.00000	0.000000	799	0	802	80298
6315	0.04208	0.079877	0.00000	0.000000	795	0	802	80592
7302	0.04192	0.079612	0.00000	0.000000	792	0	798	80262
6706	0.04192	0.079698	0.00000	0.000000	792	0	798	80312
1921	0.04187	0.079604	0.00000	0.000000	791	0	798	80410
11044	0.04081	0.076799	0.00000	0.000000	771	0	778	77566
6682	0.04065	0.076772	0.00000	0.000000	768	0	774	77404
591	0.04060	0.077125	0.00000	0.000000	767	0	770	77440
2197	0.04050	0.077160	0.00000	0.000000	765	0	774	78064
746	0.04044	0.076742	0.00000	0.000000	764	0	770	77354
9131	0.04028	0.076433	0.00000	0.000000	761	0	764	76750
4849	0.03997	0.075959	0.00000	0.000000	755	0	760	76466
6194	0.03991	0.075120	0.00000	0.000000	754	0	760	75740
1197	0.03981	0.075475	0.00000	0.000000	752	0	756	75882
7287	0.03965	0.074798	0.00000	0.000000	749	0	750	74886
