#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
01454	0.05104	0.135819	0.00000	0.000000	1173	0	1174	135924
10895	0.04512	0.120001	0.00000	0.000000	1037	0	1038	120116
07825	0.04386	0.114708	0.00000	0.000000	1008	0	1012	115152
02533	0.04377	0.114919	0.00000	0.000000	1006	0	1012	115596
07964	0.04160	0.109633	0.00000	0.000000	956	0	958	109866
04105	0.03973	0.104578	0.00000	0.000000	913	0	918	105210
08590	0.03912	0.102897	0.00000	0.000000	899	0	904	103490
07814	0.03890	0.103209	0.00000	0.000000	894	0	896	103444
10967	0.03859	0.098311	0.00000	0.000000	887	0	890	98650
08438	0.03664	0.096361	0.00000	0.000000	842	0	847	96926
09559	0.03655	0.097190	0.00000	0.000000	840	0	840	97190
05709	0.03638	0.093371	0.00000	0.000000	836	0	838	93590
01383	0.03620	0.095365	0.00000	0.000000	832	0	834	95618
00918	0.03598	0.093351	0.00000	0.000000	827	0	830	93702
07817	0.03498	0.092009	0.00000	0.000000	804	0	806	92230
01575	0.03450	0.090875	0.00000	0.000000	793	0	796	91218
04624	0.03433	0.091018	0.00000	0.000000	789	0	794	91580
06130	0.03424	0.091004	0.00000	0.000000	787	0	790	91340
01865	0.03390	0.087637	0.00000	0.000000	779	0	780	87736
00818	0.03385	0.088276	0.00000	0.000000	778	0	780	88476
09448	0.03368	0.088495	0.00000	0.000000	774	0	778	88954
03540	0.03350	0.086520	0.00000	0.000000	770	0	772	86740
08671	0.03298	0.087308	0.00000	0.000000	758	0	758	87308
00551	0.03233	0.083979	0.00000	0.000000	743	0	748	84508
10813	0.03198	0.084987	0.00000	0.000000	735	0	736	85104
08137	0.03168	0.082154	0.00000	0.000000	728	0	728	82154
05075	0.03146	0.083455	0.00000	0.000000	723	0	726	83804
06247	0.03133	0.081778	0.00000	0.000000	720	0	722	82040
10271	0.03128	0.082269	0.00000	0.000000	719	0	720	82376
02427	0.03124	0.082158	0.00000	0.000000	718	0	722	82600
12044	0.03089	0.080142	0.00000	0.000000	710	0	712	80380
07303	0.03085	0.080362	0.00000	0.000000	709	0	710	80478
02124	0.03085	0.079935	0.00000	0.000000	709	0	710	80034
07971	0.03068	0.080066	0.00000	0.000000	705	0	708	80448
12308	0.03063	0.080113	0.00000	0.000000	704	0	708	80532
11622	0.03059	0.080579	0.00000	0.000000	703	0	706	80920
03456	0.03059	0.079309	0.00000	0.000000	703	0	704	79410
