#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
001389	0.01990	0.053680	0.00000	0.000000	496	0	500	54214
011687	0.01905	0.051460	0.00000	0.000000	475	0	478	51910
002358	0.01889	0.051298	0.00000	0.000000	471	0	474	51748
009855	0.01881	0.050701	0.00000	0.000000	469	0	470	50820
000576	0.01849	0.049653	0.00000	0.000000	461	0	464	50042
008872	0.01841	0.049756	0.00000	0.000000	459	0	464	50438
008310	0.01841	0.049579	0.00000	0.000000	459	0	464	50232
000210	0.01829	0.049434	0.00000	0.000000	456	0	460	49992
003574	0.01809	0.048716	0.00000	0.000000	451	0	452	48866
011080	0.01749	0.047092	0.00000	0.000000	436	0	438	47392
004122	0.01749	0.047356	0.00000	0.000000	436	0	440	47956
010770	0.01745	0.047262	0.00000	0.000000	435	0	436	47412
009785	0.01741	0.047160	0.00000	0.000000	434	0	440	47962
005460	0.01733	0.046964	0.00000	0.000000	432	0	436	47502
002268	0.01717	0.046346	0.00000	0.000000	428	0	430	46646
010833	0.01713	0.046483	0.00000	0.000000	427	0	428	46594
004468	0.01705	0.046172	0.00000	0.000000	425	0	428	46622
007684	0.01697	0.046131	0.00000	0.000000	423	0	426	46550
003033	0.01685	0.045564	0.00000	0.000000	420	0	422	45822
004965	0.01681	0.045384	0.00000	0.000000	419	0	422	45834
008475	0.01673	0.045094	0.00000	0.000000	417	0	420	45502
004788	0.01673	0.045286	0.00000	0.000000	417	0	422	46004
009882	0.01657	0.044756	0.00000	0.000000	413	0	414	44864
005872	0.01653	0.044636	0.00000	0.000000	412	0	414	44936
003518	0.01649	0.044570	0.00000	0.000000	411	0	412	44720
009042	0.01641	0.044440	0.00000	0.000000	409	0	410	44590
001309	0.01641	0.044104	0.00000	0.000000	409	0	410	44224
001371	0.01625	0.044163	0.00000	0.000000	405	0	408	44578
008190	0.01621	0.043650	0.00000	0.000000	404	0	406	43908
007835	0.01621	0.043710	0.00000	0.000000	404	0	406	43946
006000	0.01621	0.043890	0.00000	0.000000	404	0	408	44490
000702	0.01621	0.043605	0.00000	0.000000	404	0	406	43838
001525	0.01613	0.043538	0.00000	0.000000	402	0	404	43806
005047	0.01609	0.043409	0.00000	0.000000	401	0	404	43778
004981	0.01609	0.043487	0.00000	0.000000	401	0	404	43866
003436	0.01609	0.043462	0.00000	0.000000	401	0	404	43880
003379	0.01609	0.043398	0.00000	0.000000	401	0	402	43548
007462	0.01605	0.043032	0.00000	0.000000	400	0	402	43332
000296	0.01605	0.043393	0.00000	0.000000	400	0	404	43962
002343	0.01601	0.043462	0.00000	0.000000	399	0	404	44212
008037	0.01597	0.043254	0.00000	0.000000	398	0	400	43514
004125	0.01597	0.043112	0.00000	0.000000	398	0	402	43712
006006	0.01588	0.042626	0.00000	0.000000	396	0	398	42876
001878	0.01588	0.042996	0.00000	0.000000	396	0	400	43596
004960	0.01584	0.042735	0.00000	0.000000	395	0	396	42860
003696	0.01584	0.042869	0.00000	0.000000	395	0	398	43286
010867	0.01572	0.042308	0.00000	0.000000	392	0	392	42308
004753	0.01572	0.042422	0.00000	0.000000	392	0	394	42722
001291	0.01572	0.042650	0.00000	0.000000	392	0	398	43404
007671	0.01568	0.042418	0.00000	0.000000	391	0	392	42568
