#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
01454	0.04860	0.118514	0.00000	0.000000	1029	0	1032	118848
10895	0.04520	0.110852	0.00000	0.000000	957	0	960	111190
02533	0.04478	0.108295	0.00000	0.000000	948	0	954	108968
07825	0.04360	0.105239	0.00000	0.000000	923	0	926	105586
01383	0.04090	0.099167	0.00000	0.000000	866	0	870	99594
07964	0.03883	0.094144	0.00000	0.000000	822	0	824	94410
09559	0.03864	0.094450	0.00000	0.000000	818	0	820	94684
08590	0.03708	0.089573	0.00000	0.000000	785	0	785	89573
06130	0.03661	0.089700	0.00000	0.000000	775	0	776	89818
04105	0.03642	0.088209	0.00000	0.000000	771	0	776	88804
10967	0.03604	0.084803	0.00000	0.000000	763	0	764	84918
04624	0.03514	0.085862	0.00000	0.000000	744	0	744	85862
07817	0.03453	0.083952	0.00000	0.000000	731	0	736	84580
12030	0.03410	0.080577	0.00000	0.000000	722	0	724	80778
09239	0.03401	0.082448	0.00000	0.000000	720	0	720	82448
00818	0.03354	0.080741	0.00000	0.000000	710	0	713	81120
03456	0.03330	0.079393	0.00000	0.000000	705	0	708	79730
08781	0.03316	0.079709	0.00000	0.000000	702	0	704	79942
11652	0.03297	0.080737	0.00000	0.000000	698	0	700	80964
09616	0.03283	0.080295	0.00000	0.000000	695	0	696	80412
02124	0.03278	0.078224	0.00000	0.000000	694	0	696	78444
01865	0.03259	0.077873	0.00000	0.000000	690	0	694	78380
10813	0.03254	0.079902	0.00000	0.000000	689	0	692	80282
07814	0.03254	0.079422	0.00000	0.000000	689	0	692	79756
08438	0.03250	0.078602	0.00000	0.000000	688	0	690	78808
11622	0.03231	0.078322	0.00000	0.000000	684	0	684	78322
07946	0.03217	0.076941	0.00000	0.000000	681	0	686	77494
07971	0.03193	0.076896	0.00000	0.000000	676	0	676	76896
06369	0.03183	0.076390	0.00000	0.000000	674	0	676	76614
00918	0.03174	0.075986	0.00000	0.000000	672	0	672	75986
04315	0.03117	0.075023	0.00000	0.000000	660	0	664	75450
08137	0.03108	0.073979	0.00000	0.000000	658	0	660	74178
00451	0.03108	0.074702	0.00000	0.000000	658	0	660	74942
02427	0.03084	0.074669	0.00000	0.000000	653	0	656	75048
01178	0.03080	0.074440	0.00000	0.000000	652	0	654	74698
11884	0.03070	0.074568	0.00000	0.000000	650	0	652	74790
03292	0.03070	0.074440	0.00000	0.000000	650	0	652	74668
10271	0.03056	0.074281	0.00000	0.000000	647	0	650	74614
08671	0.03056	0.074659	0.00000	0.000000	647	0	648	74776
10435	0.03051	0.073398	0.00000	0.000000	646	0	646	73398
09448	0.03051	0.073649	0.00000	0.000000	646	0	650	74112
03540	0.03004	0.071254	0.00000	0.000000	636	0	636	71254
05577	0.02999	0.072756	0.00000	0.000000	635	0	636	72862
09004	0.02976	0.071695	0.00000	0.000000	630	0	632	71924
08161	0.02966	0.071269	0.00000	0.000000	628	0	630	71504
03771	0.02966	0.070622	0.00000	0.000000	628	0	630	70826
06256	0.02952	0.070285	0.00000	0.000000	625	0	628	70590
05075	0.02952	0.071983	0.00000	0.000000	625	0	630	72542
10095	0.02943	0.070095	0.00000	0.000000	623	0	624	70210
00230	0.02938	0.070622	0.00000	0.000000	622	0	622	70622
01912	0.02928	0.071842	0.00000	0.000000	620	0	622	72076
00574	0.02928	0.070554	0.00000	0.000000	620	0	624	70998
01629	0.02914	0.070294	0.00000	0.000000	617	0	620	70646
01369	0.02914	0.070163	0.00000	0.000000	617	0	620	70518
01575	0.02910	0.070586	0.00000	0.000000	616	0	618	70820
00469	0.02910	0.069716	0.00000	0.000000	616	0	616	69716
10749	0.02900	0.070400	0.00000	0.000000	614	0	614	70400
11121	0.02895	0.070755	0.00000	0.000000	613	0	614	70872
03372	0.02872	0.069641	0.00000	0.000000	608	0	614	70314
12308	0.02858	0.069104	0.00000	0.000000	605	0	608	69448
10226	0.02858	0.069179	0.00000	0.000000	605	0	608	69528
08627	0.02858	0.069753	0.00000	0.000000	605	0	608	70098
06806	0.02858	0.068365	0.00000	0.000000	605	0	608	68692
04256	0.02820	0.068810	0.00000	0.000000	597	0	598	68910
10632	0.02801	0.067202	0.00000	0.000000	593	0	596	67536
11543	0.02791	0.068331	0.00000	0.000000	591	0	592	68446
10582	0.02791	0.065490	0.00000	0.000000	591	0	598	66256
07513	0.02791	0.068289	0.00000	0.000000	591	0	596	68872
02927	0.02791	0.067621	0.00000	0.000000	591	0	592	67736
11032	0.02777	0.067200	0.00000	0.000000	588	0	588	67200
10012	0.02749	0.066944	0.00000	0.000000	582	0	582	66944
00421	0.02739	0.066293	0.00000	0.000000	580	0	584	66750
05495	0.02735	0.065858	0.00000	0.000000	579	0	580	65976
10394	0.02725	0.065845	0.00000	0.000000	577	0	582	66418
00453	0.02725	0.065421	0.00000	0.000000	577	0	578	65538
00260	0.02725	0.066021	0.00000	0.000000	577	0	580	66412
05709	0.02706	0.063985	0.00000	0.000000	573	0	574	64102
09994	0.02692	0.065609	0.00000	0.000000	570	0	572	65818
08314	0.02692	0.064830	0.00000	0.000000	570	0	570	64830
06247	0.02664	0.063975	0.00000	0.000000	564	0	566	64192
00758	0.02645	0.063212	0.00000	0.000000	560	0	560	63212
12044	0.02640	0.062877	0.00000	0.000000	559	0	560	62994
06463	0.02640	0.063410	0.00000	0.000000	559	0	562	63780
10690	0.02636	0.062860	0.00000	0.000000	558	0	560	63094
05442	0.02636	0.063776	0.00000	0.000000	558	0	558	63776
09649	0.02631	0.063165	0.00000	0.000000	557	0	562	63738
05712	0.02612	0.063846	0.00000	0.000000	553	0	554	63962
08508	0.02607	0.062956	0.00000	0.000000	552	0	552	62956
08395	0.02607	0.062798	0.00000	0.000000	552	0	556	63276
06852	0.02607	0.062931	0.00000	0.000000	552	0	554	63182
05205	0.02607	0.063709	0.00000	0.000000	552	0	556	64158
00987	0.02603	0.063173	0.00000	0.000000	551	0	558	63982
06058	0.02598	0.063026	0.00000	0.000000	550	0	550	63026
02899	0.02598	0.063569	0.00000	0.000000	550	0	554	64022
08747	0.02593	0.062897	0.00000	0.000000	549	0	550	63012
