#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
10311	0.05597	0.124377	0.00000	0.000000	1238	0	1244	125050
1202	0.05515	0.122859	0.00000	0.000000	1220	0	1228	123688
1962	0.05506	0.122866	0.00000	0.000000	1218	0	1222	123300
5414	0.05484	0.121469	0.00000	0.000000	1213	0	1216	121782
10408	0.05357	0.119037	0.00000	0.000000	1185	0	1192	119804
3451	0.05208	0.114861	0.00000	0.000000	1152	0	1158	115528
4377	0.05131	0.113674	0.00000	0.000000	1135	0	1142	114402
633	0.05081	0.111594	0.00000	0.000000	1124	0	1132	112450
10149	0.04959	0.109772	0.00000	0.000000	1097	0	1103	110370
3121	0.04756	0.104543	0.00000	0.000000	1052	0	1060	105344
2483	0.04711	0.103631	0.00000	0.000000	1042	0	1048	104298
194	0.04684	0.104126	0.00000	0.000000	1036	0	1042	104766
4849	0.04634	0.102759	0.00000	0.000000	1025	0	1029	103131
9988	0.04602	0.102462	0.00000	0.000000	1018	0	1018	102462
131	0.04602	0.102796	0.00000	0.000000	1018	0	1020	103096
293	0.04571	0.101693	0.00000	0.000000	1011	0	1016	102252
11581	0.04507	0.098936	0.00000	0.000000	997	0	1004	99646
7425	0.04426	0.098630	0.00000	0.000000	979	0	982	98938
7302	0.04403	0.097720	0.00000	0.000000	974	0	976	97920
6706	0.04403	0.097786	0.00000	0.000000	974	0	980	98380
8263	0.04385	0.095393	0.00000	0.000000	970	0	974	95776
171	0.04358	0.096698	0.00000	0.000000	964	0	968	97154
9278	0.04317	0.094750	0.00000	0.000000	955	0	964	95694
61	0.04268	0.094188	0.00000	0.000000	944	0	948	94618
6475	0.04241	0.093042	0.00000	0.000000	938	0	944	93582
2372	0.04227	0.093702	0.00000	0.000000	935	0	938	94016
1204	0.04186	0.093661	0.00000	0.000000	926	0	930	94078
591	0.04182	0.092577	0.00000	0.000000	925	0	930	93154
3184	0.04182	0.092521	0.00000	0.000000	925	0	932	93264
10373	0.04182	0.091622	0.00000	0.000000	925	0	928	91930
7832	0.04150	0.092139	0.00000	0.000000	918	0	926	92984
11874	0.04146	0.092023	0.00000	0.000000	917	0	924	92776
746	0.04137	0.091982	0.00000	0.000000	915	0	918	92294
8737	0.04114	0.091482	0.00000	0.000000	910	0	920	92518
7287	0.04096	0.090034	0.00000	0.000000	906	0	912	90668
425	0.04091	0.090868	0.00000	0.000000	905	0	910	91388
2281	0.04082	0.090369	0.00000	0.000000	903	0	910	91094
641	0.04037	0.089725	0.00000	0.000000	893	0	896	90088
6194	0.04028	0.088647	0.00000	0.000000	891	0	896	89156
721	0.04014	0.089199	0.00000	0.000000	888	0	892	89560
6315	0.04005	0.088792	0.00000	0.000000	886	0	888	89028
5815	0.04001	0.088444	0.00000	0.000000	885	0	888	88762
11556	0.03996	0.088696	0.00000	0.000000	884	0	890	89364
1355	0.03978	0.088431	0.00000	0.000000	880	0	890	89506
2919	0.03974	0.088316	0.00000	0.000000	879	0	886	89048
10295	0.03969	0.088053	0.00000	0.000000	878	0	884	88678
8526	0.03960	0.087897	0.00000	0.000000	876	0	884	88748
1197	0.03960	0.088177	0.00000	0.000000	876	0	880	88594
10691	0.03942	0.087432	0.00000	0.000000	872	0	876	87902
11129	0.03938	0.087425	0.00000	0.000000	871	0	876	88014
8365	0.03933	0.086223	0.00000	0.000000	870	0	874	86642
8498	0.03929	0.086783	0.00000	0.000000	869	0	870	86888
7753	0.03910	0.086349	0.00000	0.000000	865	0	872	87064
2197	0.03901	0.086742	0.00000	0.000000	863	0	864	86864
2470	0.03888	0.086294	0.00000	0.000000	860	0	866	86910
10281	0.03879	0.085630	0.00000	0.000000	858	0	864	86236
10334	0.03861	0.085335	0.00000	0.000000	854	0	868	86982
869	0.03820	0.084766	0.00000	0.000000	845	0	850	85256
829	0.03820	0.084451	0.00000	0.000000	845	0	850	84974
9285	0.03802	0.084116	0.00000	0.000000	841	0	844	84412
8073	0.03802	0.083809	0.00000	0.000000	841	0	848	84546
681	0.03793	0.083812	0.00000	0.000000	839	0	844	84386
3723	0.03788	0.084198	0.00000	0.000000	838	0	842	84598
3115	0.03770	0.083630	0.00000	0.000000	834	0	834	83630
10353	0.03752	0.083364	0.00000	0.000000	830	0	834	83780
8598	0.03748	0.082700	0.00000	0.000000	829	0	834	83238
3383	0.03743	0.083349	0.00000	0.000000	828	0	832	83790
6753	0.03739	0.083086	0.00000	0.000000	827	0	830	83392
3430	0.03725	0.082962	0.00000	0.000000	824	0	832	83722
11909	0.03721	0.082756	0.00000	0.000000	823	0	826	83084
11044	0.03721	0.081469	0.00000	0.000000	823	0	826	81810
10331	0.03716	0.081681	0.00000	0.000000	822	0	830	82516
