#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
002358	0.02156	0.055655	0.00000	0.000000	512	0	520	56748
009855	0.02106	0.054061	0.00000	0.000000	500	0	504	54596
007609	0.02072	0.053416	0.00000	0.000000	492	0	494	53716
007282	0.02068	0.053153	0.00000	0.000000	491	0	494	53572
010833	0.02013	0.051608	0.00000	0.000000	478	0	480	51908
001389	0.01942	0.049801	0.00000	0.000000	461	0	462	49916
011687	0.01929	0.049780	0.00000	0.000000	458	0	466	50918
003574	0.01878	0.048304	0.00000	0.000000	446	0	448	48604
001371	0.01870	0.048200	0.00000	0.000000	444	0	446	48468
003968	0.01866	0.047736	0.00000	0.000000	443	0	444	47886
001525	0.01807	0.046534	0.00000	0.000000	429	0	434	47284
002268	0.01803	0.046238	0.00000	0.000000	428	0	430	46496
009882	0.01798	0.046636	0.00000	0.000000	427	0	434	47686
004079	0.01790	0.046022	0.00000	0.000000	425	0	430	46666
010718	0.01782	0.045980	0.00000	0.000000	423	0	428	46730
008310	0.01769	0.045340	0.00000	0.000000	420	0	422	45640
006762	0.01769	0.045600	0.00000	0.000000	420	0	422	45900
001774	0.01765	0.045396	0.00000	0.000000	419	0	420	45546
007684	0.01761	0.045632	0.00000	0.000000	418	0	418	45632
009014	0.01752	0.045163	0.00000	0.000000	416	0	418	45424
007728	0.01752	0.045006	0.00000	0.000000	416	0	416	45006
006549	0.01748	0.044929	0.00000	0.000000	415	0	418	45302
003518	0.01739	0.044940	0.00000	0.000000	413	0	414	45090
002087	0.01731	0.044528	0.00000	0.000000	411	0	414	44946
008263	0.01723	0.044240	0.00000	0.000000	409	0	412	44658
007723	0.01723	0.045804	0.00000	0.000000	409	0	420	47454
003033	0.01723	0.044294	0.00000	0.000000	409	0	410	44444
008872	0.01718	0.044545	0.00000	0.000000	408	0	414	45414
003379	0.01718	0.044203	0.00000	0.000000	408	0	412	44770
004765	0.01710	0.043938	0.00000	0.000000	406	0	408	44206
006006	0.01706	0.044014	0.00000	0.000000	405	0	410	44728
003724	0.01706	0.043861	0.00000	0.000000	405	0	408	44238
010649	0.01702	0.043718	0.00000	0.000000	404	0	406	44018
000466	0.01702	0.043698	0.00000	0.000000	404	0	404	43698
004965	0.01697	0.043918	0.00000	0.000000	403	0	408	44668
009610	0.01693	0.043514	0.00000	0.000000	402	0	402	43514
008475	0.01693	0.043703	0.00000	0.000000	402	0	404	43968
010770	0.01681	0.043148	0.00000	0.000000	399	0	402	43534
004215	0.01681	0.043290	0.00000	0.000000	399	0	400	43440
011596	0.01668	0.042941	0.00000	0.000000	396	0	400	43424
004061	0.01668	0.042890	0.00000	0.000000	396	0	398	43190
003595	0.01659	0.042878	0.00000	0.000000	394	0	396	43178
002859	0.01659	0.042664	0.00000	0.000000	394	0	394	42664
001212	0.01659	0.042572	0.00000	0.000000	394	0	394	42572
003453	0.01651	0.042716	0.00000	0.000000	392	0	398	43542
002710	0.01651	0.042427	0.00000	0.000000	392	0	394	42696
003757	0.01647	0.042381	0.00000	0.000000	391	0	394	42796
000632	0.01647	0.042285	0.00000	0.000000	391	0	392	42400
005538	0.01643	0.042266	0.00000	0.000000	390	0	394	42824
011283	0.01638	0.042242	0.00000	0.000000	389	0	390	42360
011206	0.01638	0.042198	0.00000	0.000000	389	0	390	42348
006000	0.01634	0.041898	0.00000	0.000000	388	0	390	42198
004566	0.01630	0.041962	0.00000	0.000000	387	0	388	42112
006780	0.01622	0.041754	0.00000	0.000000	385	0	386	41904
004572	0.01622	0.041629	0.00000	0.000000	385	0	390	42346
010982	0.01617	0.041624	0.00000	0.000000	384	0	386	41924
010349	0.01617	0.041573	0.00000	0.000000	384	0	388	42132
007309	0.01617	0.041494	0.00000	0.000000	384	0	386	41794
006317	0.01617	0.041526	0.00000	0.000000	384	0	384	41526
004981	0.01617	0.041566	0.00000	0.000000	384	0	386	41826
004292	0.01617	0.041776	0.00000	0.000000	384	0	386	42076
010867	0.01613	0.041374	0.00000	0.000000	383	0	386	41728
007731	0.01609	0.041288	0.00000	0.000000	382	0	382	41288
004844	0.01609	0.041566	0.00000	0.000000	382	0	386	42084
003292	0.01605	0.041354	0.00000	0.000000	381	0	382	41504
007627	0.01601	0.041137	0.00000	0.000000	380	0	384	41706
003909	0.01601	0.041361	0.00000	0.000000	380	0	388	42414
005216	0.01596	0.040960	0.00000	0.000000	379	0	380	41110
005163	0.01596	0.041050	0.00000	0.000000	379	0	380	41200
