#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
000952	0.04848	0.087802	0.00000	0.000000	1094	0	1100	88340
007773	0.03178	0.077320	0.00000	0.000000	717	0	718	77428
000890	0.02061	0.050478	0.00000	0.000000	465	0	466	50628
011365	0.01985	0.048387	0.00000	0.000000	448	0	450	48654
003352	0.01941	0.047379	0.00000	0.000000	438	0	440	47654
006745	0.01861	0.045628	0.00000	0.000000	420	0	420	45628
006134	0.01839	0.044768	0.00000	0.000000	415	0	416	44886
003351	0.01790	0.043696	0.00000	0.000000	404	0	404	43696
010341	0.01782	0.043366	0.00000	0.000000	402	0	402	43366
008720	0.01777	0.043438	0.00000	0.000000	401	0	404	43888
002227	0.01777	0.043511	0.00000	0.000000	401	0	404	43898
010050	0.01764	0.043208	0.00000	0.000000	398	0	398	43208
009935	0.01764	0.043052	0.00000	0.000000	398	0	400	43352
002925	0.01759	0.042877	0.00000	0.000000	397	0	400	43294
001633	0.01742	0.042651	0.00000	0.000000	393	0	396	43070
010595	0.01733	0.042022	0.00000	0.000000	391	0	392	42140
009767	0.01728	0.042248	0.00000	0.000000	390	0	392	42516
002862	0.01697	0.041470	0.00000	0.000000	383	0	386	41826
004825	0.01684	0.040952	0.00000	0.000000	380	0	382	41220
005933	0.01662	0.040668	0.00000	0.000000	375	0	378	41078
007049	0.01658	0.040438	0.00000	0.000000	374	0	376	40662
008040	0.01653	0.040650	0.00000	0.000000	373	0	376	41100
006439	0.01653	0.040606	0.00000	0.000000	373	0	374	40756
009248	0.01644	0.040232	0.00000	0.000000	371	0	372	40382
005299	0.01644	0.040092	0.00000	0.000000	371	0	374	40438
009343	0.01631	0.039875	0.00000	0.000000	368	0	370	40150
011095	0.01626	0.039794	0.00000	0.000000	367	0	372	40478
011987	0.01622	0.039516	0.00000	0.000000	366	0	366	39516
004418	0.01622	0.039658	0.00000	0.000000	366	0	368	39926
