#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
053955	0.01280	0.742673	0.00000	0.000034	6238	2	6421	759025
011174	0.01138	0.728536	0.00000	0.000000	5549	0	5689	743581
026073	0.01066	0.651795	0.00001	0.000078	5195	4	5339	666770
008758	0.01064	0.711439	0.00001	0.000107	5187	6	5341	729470
029847	0.01009	0.688046	0.00001	0.000051	4918	3	5005	698517
053702	0.00994	0.649917	0.00000	0.000042	4846	2	4926	658217
070146	0.00983	0.644142	0.00001	0.000096	4791	6	4901	657282
042919	0.00960	0.626784	0.00001	0.000126	4679	7	4828	643605
003490	0.00915	0.563160	0.00000	0.000030	4460	2	4554	572597
015846	0.00887	0.563790	0.00002	0.000149	4324	9	4426	572880
070579	0.00882	0.447389	0.00002	0.000150	4300	10	4459	460683
068495	0.00879	0.587595	0.00001	0.000112	4286	6	4376	597582
036967	0.00870	0.579809	0.00002	0.000113	4239	8	4323	589205
026882	0.00841	0.569356	0.00000	0.000014	4100	1	4172	578509
012850	0.00840	0.517271	0.00001	0.000057	4095	3	4203	527195
071147	0.00830	0.531016	0.00001	0.000120	4047	7	4133	540677
051170	0.00823	0.497296	0.00001	0.000074	4011	4	4114	507685
050586	0.00821	0.484899	0.00001	0.000054	4001	3	4105	494518
063380	0.00819	0.544174	0.00001	0.000051	3994	3	4097	556292
053954	0.00815	0.480800	0.00000	0.000032	3975	2	4079	490431
068117	0.00811	0.486277	0.00003	0.000249	3953	15	4055	495705
031096	0.00794	0.542650	0.00000	0.000000	3868	0	3946	552229
062029	0.00788	0.514271	0.00000	0.000017	3843	1	3940	524363
057843	0.00786	0.537384	0.00001	0.000086	3832	5	3910	545739
067825	0.00786	0.518534	0.00000	0.000036	3830	2	3904	526705
017285	0.00785	0.517921	0.00001	0.000095	3827	6	3936	530671
048753	0.00781	0.492185	0.00001	0.000042	3806	3	3900	501429
050549	0.00780	0.485717	0.00003	0.000270	3802	16	3900	494356
021083	0.00774	0.524165	0.00001	0.000060	3771	4	3857	533796
024172	0.00766	0.499728	0.00000	0.000038	3736	2	3808	507374
035082	0.00759	0.454786	0.00000	0.000017	3702	1	3797	464390
019731	0.00759	0.494200	0.00000	0.000000	3702	0	3771	501283
035177	0.00753	0.499255	0.00001	0.000071	3670	4	3761	510170
071549	0.00752	0.430340	0.00001	0.000087	3665	5	3768	438615
041092	0.00750	0.460313	0.00002	0.000194	3654	12	3769	470550
033759	0.00748	0.451043	0.00000	0.000017	3647	1	3758	462340
060685	0.00744	0.494326	0.00002	0.000129	3628	8	3699	501226
017794	0.00744	0.485274	0.00001	0.000060	3628	4	3688	491658
052702	0.00743	0.455863	0.00001	0.000042	3623	3	3733	467528
069628	0.00743	0.353083	0.00002	0.000136	3620	9	3703	358528
045677	0.00740	0.458866	0.00001	0.000092	3609	6	3692	467830
010168	0.00735	0.462290	0.00003	0.000328	3585	17	3702	473165
002798	0.00733	0.476919	0.00001	0.000052	3573	3	3654	487059
011737	0.00731	0.481337	0.00001	0.000051	3563	3	3636	489531
049183	0.00722	0.433474	0.00002	0.000169	3521	10	3623	442577
064139	0.00718	0.443040	0.00001	0.000084	3499	5	3602	452125
042291	0.00715	0.449675	0.00000	0.000018	3483	1	3554	456480
069490	0.00714	0.434578	0.00001	0.000083	3479	5	3589	444651
042508	0.00714	0.462158	0.00001	0.000102	3478	5	3572	471853
023214	0.00713	0.466183	0.00001	0.000061	3476	4	3574	477138
058487	0.00711	0.479695	0.00002	0.000131	3465	8	3511	485481
029428	0.00710	0.473221	0.00001	0.000081	3461	4	3548	482888
027223	0.00707	0.421671	0.00001	0.000068	3447	4	3529	428672
064296	0.00705	0.418838	0.00000	0.000035	3436	2	3502	424502
060563	0.00705	0.445712	0.00001	0.000066	3434	4	3502	452164
064958	0.00704	0.429986	0.00002	0.000162	3433	10	3518	438681
016096	0.00704	0.465768	0.00001	0.000118	3432	6	3493	472690
071270	0.00702	0.440529	0.00001	0.000075	3423	4	3481	445658
047678	0.00701	0.461109	0.00001	0.000042	3419	3	3507	471839
021759	0.00698	0.461701	0.00002	0.000140	3403	8	3480	471377
048000	0.00694	0.423297	0.00003	0.000268	3384	14	3487	432993
013779	0.00693	0.396692	0.00000	0.000000	3377	0	3484	406340
012621	0.00693	0.430064	0.00003	0.000198	3376	13	3475	439684
031437	0.00692	0.452383	0.00000	0.000034	3372	2	3438	459212
053390	0.00682	0.453888	0.00001	0.000100	3325	6	3384	460482
032535	0.00682	0.424753	0.00000	0.000032	3324	2	3422	434304
060297	0.00681	0.446701	0.00001	0.000084	3319	6	3402	456016
052322	0.00670	0.417954	0.00001	0.000057	3267	3	3324	423998
033332	0.00670	0.432845	0.00001	0.000094	3266	4	3359	443396
021847	0.00669	0.421708	0.00001	0.000060	3262	4	3324	427351
026428	0.00668	0.400938	0.00001	0.000084	3254	5	3322	407399
002673	0.00667	0.455226	0.00001	0.000067	3251	3	3341	466324
039957	0.00665	0.426459	0.00003	0.000279	3242	17	3338	437171
037276	0.00665	0.424832	0.00001	0.000076	3242	5	3323	433945
042131	0.00664	0.421133	0.00002	0.000162	3238	9	3328	429692
052169	0.00664	0.393121	0.00001	0.000142	3238	6	3306	399155
022474	0.00664	0.431859	0.00001	0.000094	3235	6	3333	442349
038638	0.00662	0.402558	0.00001	0.000087	3229	5	3320	411050
046317	0.00660	0.411613	0.00000	0.000015	3217	1	3303	421558
047108	0.00660	0.384694	0.00001	0.000066	3215	3	3291	391214
050074	0.00658	0.394825	0.00002	0.000134	3206	8	3293	402887
029149	0.00656	0.427321	0.00002	0.000149	3198	10	3285	435852
052855	0.00656	0.379029	0.00002	0.000179	3197	11	3327	390723
066005	0.00654	0.393702	0.00001	0.000043	3188	3	3280	403097
046924	0.00652	0.392684	0.00002	0.000162	3179	10	3301	405924
046725	0.00652	0.385976	0.00001	0.000062	3177	4	3264	394048
027084	0.00651	0.410824	0.00001	0.000049	3174	3	3249	418675
026044	0.00650	0.435156	0.00002	0.000196	3166	12	3236	443350
047319	0.00648	0.393315	0.00002	0.000187	3159	12	3233	400623
027767	0.00647	0.418743	0.00001	0.000072	3156	4	3202	423256
025012	0.00647	0.402133	0.00002	0.000184	3155	10	3643	463588
032703	0.00644	0.410736	0.00001	0.000093	3138	5	3204	417655
015571	0.00644	0.401765	0.00001	0.000107	3137	7	3212	408673
024117	0.00644	0.388203	0.00001	0.000049	3137	3	3224	396709
017243	0.00643	0.402618	0.00001	0.000052	3133	4	3223	411653
004609	0.00641	0.414207	0.00001	0.000097	3123	5	3217	425180
039994	0.00638	0.393275	0.00002	0.000152	3109	10	3173	399371
041527	0.00636	0.385251	0.00000	0.000036	3098	2	3204	395475
049189	0.00635	0.399294	0.00001	0.000058	3096	3	3174	407645
042633	0.00633	0.378124	0.00000	0.000017	3086	1	3180	387253
041076	0.00633	0.400609	0.00000	0.000000	3084	0	3135	405978
050430	0.00630	0.399304	0.00001	0.000100	3072	6	3139	405938
044552	0.00630	0.413881	0.00002	0.000125	3069	8	3135	421421
043426	0.00629	0.387466	0.00000	0.000038	3068	2	3127	393294
071321	0.00627	0.382928	0.00001	0.000109	3055	7	3124	389707
070955	0.00626	0.412863	0.00001	0.000087	3052	5	3128	420881
068821	0.00625	0.381253	0.00001	0.000068	3048	5	3115	386774
015296	0.00625	0.383376	0.00002	0.000129	3047	8	3134	391721
040957	0.00625	0.366400	0.00000	0.000034	3047	2	3121	373395
022451	0.00618	0.395773	0.00000	0.000039	3010	2	3092	404414
037865	0.00616	0.300292	0.00003	0.000246	3002	14	3154	311615
015350	0.00616	0.370180	0.00001	0.000076	3002	5	3089	379098
061144	0.00613	0.404173	0.00002	0.000178	2987	12	3047	411323
000365	0.00613	0.394873	0.00001	0.000050	2986	3	3066	403870
059016	0.00610	0.372741	0.00000	0.000034	2975	2	3056	381269
017523	0.00608	0.338563	0.00001	0.000075	2964	5	3056	347210
058760	0.00607	0.393190	0.00001	0.000074	2959	4	3065	405231
049266	0.00606	0.387251	0.00001	0.000057	2955	3	3014	393357
022812	0.00603	0.349780	0.00000	0.000000	2940	0	3011	356822
041278	0.00603	0.345677	0.00000	0.000028	2939	2	3012	352157
022399	0.00602	0.356941	0.00001	0.000048	2933	3	3007	363697
048013	0.00599	0.356921	0.00001	0.000108	2920	7	3002	364020
001863	0.00598	0.355511	0.00002	0.000164	2916	10	3027	364652
027478	0.00598	0.382479	0.00002	0.000176	2916	9	2984	389795
061043	0.00598	0.329139	0.00001	0.000086	2914	6	2970	334274
048191	0.00597	0.402828	0.00001	0.000104	2912	6	2965	409260
017044	0.00597	0.335570	0.00001	0.000053	2910	3	3002	342821
068875	0.00597	0.361555	0.00000	0.000000	2908	0	2972	368018
030793	0.00596	0.390515	0.00000	0.000032	2907	2	2961	395877
046282	0.00596	0.349767	0.00000	0.000028	2906	2	3007	358319
046692	0.00594	0.365779	0.00001	0.000084	2897	5	2963	372672
032890	0.00594	0.368405	0.00002	0.000126	2895	8	2942	373019
038509	0.00592	0.387777	0.00001	0.000088	2888	5	2965	394885
038572	0.00592	0.371501	0.00001	0.000048	2888	3	2976	380759
051505	0.00592	0.382151	0.00001	0.000111	2886	7	2948	388384
054444	0.00591	0.357372	0.00002	0.000112	2883	8	2970	366388
051893	0.00591	0.361253	0.00003	0.000302	2882	17	2962	370150
058384	0.00591	0.331251	0.00001	0.000103	2882	7	2965	338040
038451	0.00591	0.331034	0.00001	0.000058	2880	3	2975	339372
053233	0.00589	0.342500	0.00000	0.000030	2872	2	2959	350113
068923	0.00589	0.329673	0.00001	0.000066	2869	4	2967	337580
035064	0.00587	0.375421	0.00003	0.000222	2863	14	2924	381244
068063	0.00587	0.367726	0.00001	0.000138	2863	7	2964	378305
054118	0.00587	0.394430	0.00001	0.000060	2863	4	2928	400798
033883	0.00586	0.325254	0.00002	0.000158	2855	10	2963	335028
058965	0.00583	0.378314	0.00000	0.000000	2842	0	2892	383958
043109	0.00583	0.357471	0.00000	0.000000	2841	0	2898	362618
015119	0.00582	0.374269	0.00001	0.000111	2837	7	2910	382509
013503	0.00582	0.392552	0.00001	0.000082	2836	6	2906	400706
030863	0.00581	0.343460	0.00000	0.000040	2831	2	2899	348615
068918	0.00580	0.373599	0.00001	0.000060	2828	4	2905	381385
040165	0.00580	0.316934	0.00001	0.000068	2826	4	2908	323520
054509	0.00579	0.366255	0.00000	0.000014	2824	1	2891	373929
024497	0.00579	0.370364	0.00002	0.000112	2821	8	2901	378079
045813	0.00577	0.345887	0.00001	0.000184	2811	7	2880	352307
052462	0.00576	0.309882	0.00002	0.000151	2810	8	2877	315007
032320	0.00576	0.356575	0.00001	0.000064	2808	4	2883	364047
036979	0.00576	0.320433	0.00000	0.000017	2806	1	2891	327917
043305	0.00575	0.356366	0.00000	0.000015	2805	1	2881	363950
026251	0.00575	0.387028	0.00002	0.000130	2804	8	2877	395056
053410	0.00575	0.331023	0.00000	0.000017	2804	1	2886	338585
029700	0.00575	0.172782	0.00001	0.000066	2803	4	2902	177435
000572	0.00575	0.334143	0.00003	0.000260	2802	16	2896	342190
049383	0.00575	0.367079	0.00001	0.000066	2801	4	2871	374616
067316	0.00574	0.301797	0.00000	0.000052	2799	2	2876	307664
048640	0.00573	0.323582	0.00001	0.000088	2792	6	2906	333116
046128	0.00572	0.282111	0.00001	0.000080	2790	6	2918	292364
036703	0.00571	0.276820	0.00002	0.000163	2784	9	2880	283749
056621	0.00569	0.357554	0.00002	0.000156	2772	9	2836	363929
066554	0.00568	0.315578	0.00001	0.000082	2771	5	2851	320973
053973	0.00568	0.350076	0.00000	0.000000	2768	0	2847	357312
003853	0.00567	0.373775	0.00001	0.000082	2765	4	2823	380392
023500	0.00567	0.370896	0.00003	0.000281	2764	16	2831	377431
019111	0.00567	0.321297	0.00001	0.000105	2763	6	2850	328423
065973	0.00567	0.370758	0.00001	0.000094	2762	6	2830	377590
043859	0.00565	0.290806	0.00002	0.000182	2755	10	2855	298228
025950	0.00565	0.325803	0.00000	0.000000	2755	0	2830	332336
049155	0.00565	0.337001	0.00000	0.000026	2753	2	2851	347029
020615	0.00565	0.351835	0.00002	0.000182	2752	12	2815	357302
048950	0.00564	0.373597	0.00000	0.000017	2751	1	2809	380134
002826	0.00564	0.351455	0.00001	0.000067	2749	3	2820	358484
071578	0.00564	0.338298	0.00001	0.000088	2748	4	2841	345916
028417	0.00563	0.344908	0.00000	0.000034	2743	2	2790	349740
053056	0.00562	0.308712	0.00001	0.000064	2737	4	2812	314852
017246	0.00561	0.372790	0.00001	0.000058	2735	4	2815	381832
062612	0.00561	0.358992	0.00001	0.000072	2734	4	2806	366295
020724	0.00559	0.354985	0.00000	0.000000	2723	0	2797	363664
059992	0.00558	0.323883	0.00001	0.000119	2722	7	2799	330749
026473	0.00558	0.353519	0.00001	0.000064	2721	4	2771	358167
041523	0.00558	0.366469	0.00001	0.000052	2721	3	2772	372389
014593	0.00558	0.349531	0.00002	0.000172	2720	10	2799	357230
000728	0.00558	0.359349	0.00000	0.000034	2719	2	2783	365841
