#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
004609	0.00458	0.222955	0.00000	0.000000	1529	0	1546	225266
021083	0.00442	0.216042	0.00000	0.000000	1473	0	1482	217258
055761	0.00438	0.213899	0.00000	0.000000	1462	0	1471	215209
028395	0.00419	0.203971	0.00000	0.000000	1397	0	1400	204424
009344	0.00418	0.203994	0.00000	0.000000	1395	0	1407	205692
031096	0.00412	0.201850	0.00000	0.000000	1376	0	1383	202768
031375	0.00402	0.196825	0.00000	0.000000	1341	0	1347	197645
018213	0.00399	0.190145	0.00000	0.000016	1332	1	1346	191782
017913	0.00397	0.194116	0.00000	0.000000	1324	0	1330	194840
000365	0.00392	0.190687	0.00000	0.000000	1309	0	1322	192446
029974	0.00384	0.187034	0.00000	0.000000	1280	0	1285	187789
042066	0.00383	0.185929	0.00000	0.000000	1277	0	1286	187171
009578	0.00382	0.187762	0.00000	0.000000	1274	0	1295	190605
026044	0.00382	0.186639	0.00000	0.000000	1273	0	1279	187435
022498	0.00380	0.184708	0.00000	0.000000	1269	0	1282	186395
033916	0.00380	0.182765	0.00000	0.000000	1268	0	1273	183520
031608	0.00379	0.184562	0.00000	0.000000	1266	0	1270	185152
066005	0.00379	0.183957	0.00000	0.000000	1265	0	1273	184907
039994	0.00379	0.184032	0.00000	0.000000	1264	0	1270	184889
028278	0.00379	0.184729	0.00000	0.000000	1264	0	1267	185146
042697	0.00378	0.185289	0.00000	0.000000	1262	0	1268	186076
006871	0.00376	0.180095	0.00000	0.000000	1255	0	1260	180792
002798	0.00376	0.181584	0.00000	0.000000	1255	0	1259	182051
071578	0.00375	0.182571	0.00000	0.000020	1252	1	1259	183628
056404	0.00375	0.182187	0.00000	0.000000	1250	0	1252	182388
020614	0.00375	0.182709	0.00000	0.000000	1250	0	1260	184002
015846	0.00375	0.181304	0.00000	0.000000	1250	0	1254	181908
002347	0.00375	0.185189	0.00000	0.000000	1250	0	1253	185642
052910	0.00374	0.181829	0.00000	0.000000	1249	0	1253	182433
042633	0.00373	0.180032	0.00000	0.000000	1245	0	1258	181672
031135	0.00373	0.182132	0.00000	0.000000	1243	0	1253	183604
058723	0.00372	0.178964	0.00000	0.000000	1242	0	1252	179899
050075	0.00369	0.178935	0.00000	0.000000	1230	0	1233	179314
017827	0.00369	0.180564	0.00000	0.000000	1230	0	1244	182572
062419	0.00368	0.178915	0.00000	0.000000	1227	0	1233	179713
061915	0.00365	0.176448	0.00000	0.000000	1218	0	1224	177134
020949	0.00365	0.176365	0.00000	0.000000	1217	0	1225	177519
012621	0.00362	0.176228	0.00000	0.000000	1207	0	1215	177281
063842	0.00361	0.173288	0.00000	0.000000	1204	0	1218	175052
068955	0.00361	0.175786	0.00000	0.000000	1203	0	1207	176356
007407	0.00359	0.177163	0.00000	0.000000	1198	0	1204	178010
069326	0.00359	0.173939	0.00000	0.000000	1197	0	1202	174550
019514	0.00358	0.175124	0.00000	0.000000	1195	0	1202	176068
030456	0.00357	0.174808	0.00000	0.000000	1192	0	1194	175110
020420	0.00355	0.174554	0.00000	0.000000	1184	0	1191	175536
049367	0.00354	0.172966	0.00000	0.000000	1181	0	1191	174167
007098	0.00353	0.173168	0.00000	0.000000	1179	0	1188	174326
047624	0.00353	0.171708	0.00000	0.000000	1177	0	1188	173264
037333	0.00352	0.172068	0.00000	0.000000	1175	0	1180	172688
058470	0.00352	0.172163	0.00000	0.000000	1174	0	1182	173154
050494	0.00352	0.169704	0.00000	0.000000	1174	0	1185	171177
004002	0.00351	0.170514	0.00001	0.000063	1171	3	1181	171912
063478	0.00351	0.172682	0.00000	0.000000	1170	0	1178	173584
065973	0.00350	0.172275	0.00000	0.000000	1169	0	1181	173679
058479	0.00350	0.170675	0.00000	0.000000	1167	0	1168	170826
049155	0.00350	0.170271	0.00000	0.000000	1167	0	1176	171438
032791	0.00349	0.169930	0.00000	0.000000	1166	0	1172	170640
028427	0.00348	0.167879	0.00000	0.000000	1160	0	1170	168990
032229	0.00347	0.167614	0.00000	0.000000	1159	0	1170	168888
063010	0.00347	0.167643	0.00001	0.000032	1158	2	1171	169403
032842	0.00344	0.168354	0.00000	0.000000	1148	0	1154	169162
055726	0.00343	0.167813	0.00000	0.000000	1146	0	1152	168686
001620	0.00343	0.166751	0.00000	0.000000	1144	0	1152	167842
037301	0.00343	0.166637	0.00000	0.000015	1143	1	1149	167407
045161	0.00342	0.164243	0.00000	0.000000	1141	0	1148	165098
053490	0.00342	0.163839	0.00001	0.000038	1140	2	1153	165707
032676	0.00341	0.164836	0.00000	0.000000	1138	0	1148	166146
039167	0.00341	0.165204	0.00000	0.000000	1137	0	1150	166866
051351	0.00340	0.164128	0.00000	0.000000	1136	0	1142	164860
020142	0.00340	0.163224	0.00000	0.000000	1134	0	1138	163696
019811	0.00339	0.165355	0.00000	0.000000	1131	0	1144	167166
042651	0.00338	0.165570	0.00000	0.000000	1129	0	1135	166476
024880	0.00338	0.163140	0.00000	0.000000	1128	0	1135	164048
002218	0.00338	0.164871	0.00000	0.000000	1128	0	1133	165547
030793	0.00338	0.165576	0.00000	0.000000	1127	0	1130	165918
061816	0.00337	0.164790	0.00000	0.000000	1126	0	1136	166178
058720	0.00337	0.163894	0.00000	0.000000	1126	0	1132	164800
038105	0.00337	0.163611	0.00000	0.000000	1126	0	1137	164940
029649	0.00337	0.167134	0.00000	0.000000	1126	0	1134	168158
043936	0.00337	0.161874	0.00000	0.000000	1124	0	1132	162963
036252	0.00337	0.164781	0.00000	0.000000	1124	0	1130	165576
