#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
004135	0.05020	0.014664	0.00000	0.000000	141	0	141	14664
002209	0.04914	0.014352	0.00000	0.000000	138	0	138	14352
005138	0.04415	0.012896	0.00000	0.000000	124	0	124	12896
003808	0.04273	0.012480	0.00000	0.000000	120	0	120	12480
011812	0.04130	0.012064	0.00000	0.000000	116	0	116	12064
006722	0.04130	0.012064	0.00000	0.000000	116	0	116	12064
009320	0.04095	0.011960	0.00000	0.000000	115	0	115	11960
000275	0.03739	0.010920	0.00000	0.000000	105	0	105	10920
004824	0.03703	0.010816	0.00000	0.000000	104	0	104	10816
009253	0.03667	0.010712	0.00000	0.000000	103	0	103	10712
008814	0.03632	0.010608	0.00000	0.000000	102	0	102	10608
008625	0.03561	0.010400	0.00000	0.000000	100	0	100	10400
007917	0.03525	0.010296	0.00000	0.000000	99	0	99	10296
002029	0.03489	0.010192	0.00000	0.000000	98	0	98	10192
000153	0.03489	0.010192	0.00000	0.000000	98	0	98	10192
000887	0.03454	0.010088	0.00000	0.000000	97	0	97	10088
006573	0.03382	0.009880	0.00000	0.000000	95	0	95	9880
001329	0.03347	0.009776	0.00000	0.000000	94	0	94	9776
001688	0.03311	0.009672	0.00000	0.000000	93	0	93	9672
007265	0.03276	0.009568	0.00000	0.000000	92	0	92	9568
003178	0.03240	0.009464	0.00000	0.000000	91	0	91	9464
003045	0.03204	0.009360	0.00000	0.000000	90	0	90	9360
010398	0.03169	0.009256	0.00000	0.000000	89	0	89	9256
010380	0.03169	0.009256	0.00000	0.000000	89	0	89	9256
008079	0.03169	0.009256	0.00000	0.000000	89	0	89	9256
006400	0.03169	0.009256	0.00000	0.000000	89	0	89	9256
002668	0.03169	0.009256	0.00000	0.000000	89	0	89	9256
010336	0.03098	0.009048	0.00000	0.000000	87	0	87	9048
003539	0.03098	0.009048	0.00000	0.000000	87	0	87	9048
011058	0.03062	0.008944	0.00000	0.000000	86	0	86	8944
008728	0.03062	0.008944	0.00000	0.000000	86	0	86	8944
008188	0.03062	0.008944	0.00000	0.000000	86	0	86	8944
003490	0.02991	0.008736	0.00000	0.000000	84	0	84	8736
001701	0.02991	0.008736	0.00000	0.000000	84	0	84	8736
008386	0.02955	0.008632	0.00000	0.000000	83	0	83	8632
002016	0.02955	0.008632	0.00000	0.000000	83	0	83	8632
007213	0.02920	0.008528	0.00000	0.000000	82	0	82	8528
003853	0.02920	0.008528	0.00000	0.000000	82	0	82	8528
010028	0.02848	0.008320	0.00000	0.000000	80	0	80	8320
009112	0.02813	0.008216	0.00000	0.000000	79	0	79	8216
007299	0.02813	0.008216	0.00000	0.000000	79	0	79	8216
004554	0.02777	0.008112	0.00000	0.000000	78	0	78	8112
003382	0.02777	0.008112	0.00000	0.000000	78	0	78	8112
001231	0.02777	0.008112	0.00000	0.000000	78	0	78	8112
007840	0.02742	0.008008	0.00000	0.000000	77	0	77	8008
001805	0.02742	0.008008	0.00000	0.000000	77	0	77	8008
006747	0.02706	0.007904	0.00000	0.000000	76	0	76	7904
004405	0.02706	0.007904	0.00000	0.000000	76	0	76	7904
002485	0.02706	0.007904	0.00000	0.000000	76	0	76	7904
000616	0.02706	0.007904	0.00000	0.000000	76	0	76	7904
011660	0.02670	0.007800	0.00000	0.000000	75	0	75	7800
011318	0.02670	0.007800	0.00000	0.000000	75	0	75	7800
010931	0.02670	0.007800	0.00000	0.000000	75	0	75	7800
009318	0.02670	0.007800	0.00000	0.000000	75	0	75	7800
008469	0.02670	0.007800	0.00000	0.000000	75	0	75	7800
004515	0.02670	0.007800	0.00000	0.000000	75	0	75	7800
011743	0.02635	0.007696	0.00000	0.000000	74	0	74	7696
007427	0.02635	0.007696	0.00000	0.000000	74	0	74	7696
005327	0.02635	0.007696	0.00000	0.000000	74	0	74	7696
003609	0.02635	0.007696	0.00000	0.000000	74	0	74	7696
006545	0.02599	0.007592	0.00000	0.000000	73	0	73	7592
005809	0.02599	0.007592	0.00000	0.000000	73	0	73	7592
001848	0.02599	0.007592	0.00000	0.000000	73	0	73	7592
000424	0.02599	0.007592	0.00000	0.000000	73	0	73	7592
011532	0.02564	0.007488	0.00000	0.000000	72	0	72	7488
009458	0.02564	0.007488	0.00000	0.000000	72	0	72	7488
005271	0.02564	0.007488	0.00000	0.000000	72	0	72	7488
004695	0.02564	0.007488	0.00000	0.000000	72	0	72	7488
002779	0.02564	0.007488	0.00000	0.000000	72	0	72	7488
005255	0.02528	0.007384	0.00000	0.000000	71	0	71	7384
005615	0.02492	0.007280	0.00000	0.000000	70	0	70	7280
005597	0.02492	0.007280	0.00000	0.000000	70	0	70	7280
010753	0.02421	0.007072	0.00000	0.000000	68	0	68	7072
