#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
004135	0.22571	0.446016	0.00000	0.000000	4470	0	4503	449638
005138	0.18370	0.370875	0.00000	0.000000	3638	0	3654	372840
009320	0.17597	0.352729	0.00000	0.000000	3485	0	3512	355472
006722	0.13936	0.281263	0.00000	0.000000	2760	0	2778	283132
001701	0.13911	0.279460	0.00000	0.000000	2755	0	2784	282532
001329	0.13552	0.269844	0.00000	0.000000	2684	0	2704	271900
008814	0.13371	0.270780	0.00000	0.000000	2648	0	2666	272630
000424	0.12982	0.257680	0.00000	0.000000	2571	0	2590	259670
008079	0.12740	0.258262	0.00000	0.000000	2523	0	2534	259440
007265	0.12502	0.249309	0.00000	0.000000	2476	0	2498	251682
007299	0.12139	0.241311	0.00000	0.000000	2404	0	2434	244588
002029	0.11937	0.241721	0.00000	0.000000	2364	0	2382	243640
000275	0.11922	0.235740	0.00000	0.000000	2361	0	2376	237336
003808	0.11906	0.237529	0.00000	0.000000	2358	0	2378	239654
002209	0.11800	0.238430	0.00000	0.000000	2337	0	2348	239640
010380	0.11290	0.228209	0.00000	0.000000	2236	0	2254	230126
003490	0.11280	0.227621	0.00000	0.000000	2234	0	2248	229118
008728	0.11184	0.224572	0.00000	0.000000	2215	0	2230	226200
004824	0.11003	0.219367	0.00000	0.000000	2179	0	2194	220952
008119	0.10417	0.207627	0.00000	0.000000	2063	0	2072	208626
008206	0.10316	0.202460	0.00000	0.000000	2043	0	2066	204878
001688	0.09917	0.199934	0.00000	0.000000	1964	0	1970	200580
008386	0.09690	0.195337	0.00000	0.000000	1919	0	1928	196294
001848	0.09644	0.193926	0.00000	0.000000	1910	0	1926	195570
002938	0.09341	0.188658	0.00000	0.000000	1850	0	1870	190792
000846	0.09175	0.184981	0.00000	0.000000	1817	0	1836	186974
011812	0.09170	0.185068	0.00000	0.000000	1816	0	1828	186376
005271	0.09094	0.183061	0.00000	0.000000	1801	0	1810	183988
004418	0.08877	0.178062	0.00000	0.000000	1758	0	1772	179490
008625	0.08685	0.174930	0.00000	0.000000	1720	0	1728	175750
000153	0.08599	0.173693	0.00000	0.000000	1703	0	1710	174462
000887	0.08594	0.174185	0.00000	0.000000	1702	0	1716	175676
005656	0.08579	0.170805	0.00000	0.000000	1699	0	1712	172184
011532	0.08498	0.172324	0.00000	0.000000	1683	0	1696	173722
011318	0.08291	0.167689	0.00000	0.000000	1642	0	1652	168732
008932	0.08261	0.166406	0.00000	0.000000	1636	0	1644	167252
007427	0.08220	0.163577	0.00000	0.000000	1628	0	1634	164196
002016	0.08145	0.162440	0.00000	0.000000	1613	0	1622	163376
011623	0.08064	0.161584	0.00000	0.000000	1597	0	1602	162104
008921	0.08044	0.161878	0.00000	0.000000	1593	0	1608	163464
011058	0.07963	0.160688	0.00000	0.000000	1577	0	1584	161418
009253	0.07933	0.160489	0.00000	0.000000	1571	0	1580	161434
010441	0.07897	0.158804	0.00000	0.000000	1564	0	1574	159848
008469	0.07887	0.159236	0.00000	0.000000	1562	0	1568	159918
011129	0.07857	0.155049	0.00000	0.000000	1556	0	1572	156820
005544	0.07842	0.157645	0.00000	0.000000	1553	0	1558	158144
006747	0.07786	0.157253	0.00000	0.000000	1542	0	1554	158626
007917	0.07781	0.155954	0.00000	0.000000	1541	0	1556	157604
004059	0.07720	0.153545	0.00000	0.000000	1529	0	1544	155060
005051	0.07695	0.155042	0.00000	0.000000	1524	0	1534	156050
006573	0.07574	0.152138	0.00000	0.000000	1500	0	1512	153394
001805	0.07564	0.150738	0.00000	0.000000	1498	0	1506	151576
008188	0.07498	0.151817	0.00000	0.000000	1485	0	1498	153192
010336	0.07493	0.148703	0.00000	0.000000	1484	0	1492	149572
006400	0.07488	0.151569	0.00000	0.000000	1483	0	1494	152748
010398	0.07483	0.151218	0.00000	0.000000	1482	0	1490	152042
003539	0.07483	0.150489	0.00000	0.000000	1482	0	1492	151544
009216	0.07473	0.150106	0.00000	0.000000	1480	0	1492	151356
003178	0.07438	0.149727	0.00000	0.000000	1473	0	1486	151118
001068	0.07428	0.149708	0.00000	0.000000	1471	0	1480	150650
011660	0.07412	0.149420	0.00000	0.000000	1468	0	1476	150252
002169	0.07397	0.148307	0.00000	0.000000	1465	0	1478	149640
003045	0.07367	0.148450	0.00000	0.000000	1459	0	1466	149178
004498	0.07306	0.145888	0.00000	0.000000	1447	0	1460	147198
003924	0.07210	0.144765	0.00000	0.000000	1428	0	1438	145808
009816	0.07195	0.142859	0.00000	0.000000	1425	0	1442	144626
008914	0.07155	0.141853	0.00000	0.000000	1417	0	1426	142808
003020	0.07150	0.143852	0.00000	0.000000	1416	0	1428	145150
004108	0.07130	0.142484	0.00000	0.000000	1412	0	1420	143360
010844	0.07125	0.141789	0.00000	0.000000	1411	0	1420	142726
005615	0.07074	0.140999	0.00000	0.000000	1401	0	1410	141966
000616	0.07054	0.140667	0.00000	0.000000	1397	0	1404	141442
003853	0.07014	0.142121	0.00000	0.000000	1389	0	1400	143336
007354	0.06938	0.140299	0.00000	0.000000	1374	0	1382	141148
003609	0.06877	0.137623	0.00000	0.000000	1362	0	1370	138500
011743	0.06857	0.136134	0.00000	0.000000	1358	0	1372	137540
005139	0.06847	0.137672	0.00000	0.000000	1356	0	1368	138920
