#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
004515	0.07285	0.155956	0.00000	0.000000	1535	0	1542	156700
009320	0.06640	0.141998	0.00000	0.000000	1399	0	1414	143636
003808	0.06274	0.132940	0.00000	0.000000	1322	0	1334	134192
006722	0.06184	0.132579	0.00000	0.000000	1303	0	1310	133306
005138	0.06108	0.131048	0.00000	0.000000	1287	0	1290	131354
006573	0.06065	0.129076	0.00000	0.000000	1278	0	1296	130982
001701	0.06051	0.129281	0.00000	0.000000	1275	0	1284	130242
011660	0.05885	0.126965	0.00000	0.000000	1240	0	1246	127612
000424	0.05866	0.123939	0.00000	0.000000	1236	0	1246	125044
004135	0.05790	0.122004	0.00000	0.000000	1220	0	1232	123302
002485	0.05776	0.124193	0.00000	0.000000	1217	0	1228	125302
003539	0.05747	0.123167	0.00000	0.000000	1211	0	1220	124150
008728	0.05705	0.121796	0.00000	0.000000	1202	0	1212	122886
010398	0.05700	0.122470	0.00000	0.000000	1201	0	1208	123258
001033	0.05558	0.117234	0.00000	0.000000	1171	0	1180	118176
004059	0.05524	0.117868	0.00000	0.000000	1164	0	1172	118712
002029	0.05391	0.116285	0.00000	0.000000	1136	0	1144	117108
001688	0.05358	0.115362	0.00000	0.000000	1129	0	1134	115876
002209	0.05287	0.113730	0.00000	0.000000	1114	0	1118	114148
007917	0.05282	0.112559	0.00000	0.000000	1113	0	1120	113304
011494	0.05211	0.111940	0.00000	0.000000	1098	0	1098	111940
008814	0.05126	0.110207	0.00000	0.000000	1080	0	1088	111020
003183	0.05111	0.108081	0.00000	0.000000	1077	0	1086	109024
003045	0.05083	0.109336	0.00000	0.000000	1071	0	1075	109752
011532	0.05073	0.109431	0.00000	0.000000	1069	0	1078	110370
008921	0.05073	0.108664	0.00000	0.000000	1069	0	1080	109844
003020	0.05073	0.108543	0.00000	0.000000	1069	0	1074	109056
002266	0.05036	0.107540	0.00000	0.000000	1061	0	1072	108706
011318	0.05017	0.108217	0.00000	0.000000	1057	0	1064	108954
008386	0.05017	0.108029	0.00000	0.000000	1057	0	1066	108970
009253	0.05012	0.108024	0.00000	0.000000	1056	0	1058	108232
010545	0.04945	0.105236	0.00000	0.000000	1042	0	1050	106084
000616	0.04931	0.104553	0.00000	0.000000	1039	0	1050	105730
007213	0.04926	0.104963	0.00000	0.000000	1038	0	1046	105846
009318	0.04893	0.104948	0.00000	0.000000	1031	0	1042	106138
000435	0.04893	0.104056	0.00000	0.000000	1031	0	1042	105180
001848	0.04884	0.104919	0.00000	0.000000	1029	0	1036	105624
004824	0.04879	0.103494	0.00000	0.000000	1028	0	1038	104512
004554	0.04874	0.105116	0.00000	0.000000	1027	0	1034	105834
006520	0.04841	0.102465	0.00000	0.000000	1020	0	1028	103298
003791	0.04836	0.103870	0.00000	0.000000	1019	0	1030	105082
006545	0.04793	0.102702	0.00000	0.000000	1010	0	1016	103312
010250	0.04779	0.102824	0.00000	0.000000	1007	0	1014	103574
010279	0.04774	0.102999	0.00000	0.000000	1006	0	1012	103622
003853	0.04746	0.102350	0.00000	0.000000	1000	0	1002	102562
004716	0.04737	0.101036	0.00000	0.000000	998	0	1010	102344
006400	0.04727	0.102238	0.00000	0.000000	996	0	1006	103292
008206	0.04675	0.097276	0.00000	0.000000	985	0	992	98022
002779	0.04661	0.100611	0.00000	0.000000	982	0	986	101026
004418	0.04646	0.099176	0.00000	0.000000	979	0	984	99700
000275	0.04642	0.098136	0.00000	0.000000	978	0	986	99010
005615	0.04604	0.097772	0.00000	0.000000	970	0	976	98398
000583	0.04589	0.097175	0.00000	0.000000	967	0	974	97936
001329	0.04566	0.096825	0.00000	0.000000	962	0	970	97668
005197	0.04547	0.097346	0.00000	0.000000	958	0	966	98210
007265	0.04542	0.096321	0.00000	0.000000	957	0	964	97034
002016	0.04542	0.096864	0.00000	0.000000	957	0	962	97460
003209	0.04528	0.097358	0.00000	0.000000	954	0	958	97768
007743	0.04513	0.096437	0.00000	0.000000	951	0	954	96754
009001	0.04499	0.095505	0.00000	0.000000	948	0	952	95918
008925	0.04499	0.096274	0.00000	0.000000	948	0	956	97090
007615	0.04499	0.096519	0.00000	0.000000	948	0	958	97556
002615	0.04494	0.096060	0.00000	0.000000	947	0	952	96602
006038	0.04485	0.096543	0.00000	0.000000	945	0	952	97310
007299	0.04438	0.093675	0.00000	0.000000	935	0	942	94384
005816	0.04433	0.094304	0.00000	0.000000	934	0	944	95346
003609	0.04433	0.094939	0.00000	0.000000	934	0	940	95590
011812	0.04428	0.095146	0.00000	0.000000	933	0	938	95678
003382	0.04428	0.095028	0.00000	0.000000	933	0	934	95128
001215	0.04428	0.095348	0.00000	0.000000	933	0	936	95644
010336	0.04423	0.093226	0.00000	0.000000	932	0	936	93644
009978	0.04423	0.094189	0.00000	0.000000	932	0	938	94860
000887	0.04414	0.094899	0.00000	0.000000	930	0	936	95540
003668	0.04409	0.094541	0.00000	0.000000	929	0	940	95706
001136	0.04409	0.094761	0.00000	0.000000	929	0	938	95690
010028	0.04404	0.093441	0.00000	0.000000	928	0	932	93852
006557	0.04404	0.094335	0.00000	0.000000	928	0	930	94596
005455	0.04371	0.093984	0.00000	0.000000	921	0	926	94512
004921	0.04371	0.093472	0.00000	0.000000	921	0	928	94224
004431	0.04333	0.093418	0.00000	0.000000	913	0	922	94410
007354	0.04295	0.092347	0.00000	0.000000	905	0	908	92664
004405	0.04290	0.091410	0.00000	0.000000	904	0	910	92038
000600	0.04290	0.091772	0.00000	0.000000	904	0	916	93018
011703	0.04276	0.091752	0.00000	0.000000	901	0	906	92274
008452	0.04267	0.090181	0.00000	0.000000	899	0	908	91126
000153	0.04267	0.091773	0.00000	0.000000	899	0	904	92290
002938	0.04252	0.091416	0.00000	0.000000	896	0	906	92470
006430	0.04248	0.090847	0.00000	0.000000	895	0	900	91420
008356	0.04238	0.091112	0.00000	0.000000	893	0	894	91216
001812	0.04238	0.091350	0.00000	0.000000	893	0	898	91876
008802	0.04233	0.090738	0.00000	0.000000	892	0	900	91634
002310	0.04224	0.090480	0.00000	0.000000	890	0	898	91328
011041	0.04186	0.089716	0.00000	0.000000	882	0	886	90126
008079	0.04176	0.089954	0.00000	0.000000	880	0	890	91012
005976	0.04176	0.089683	0.00000	0.000000	880	0	888	90524
