#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
004515	0.04346	0.015600	0.00000	0.000000	150	0	150	15600
006573	0.04202	0.015080	0.00000	0.000000	145	0	145	15080
002209	0.04202	0.015080	0.00000	0.000000	145	0	145	15080
011660	0.04057	0.014560	0.00000	0.000000	140	0	140	14560
004135	0.03941	0.014144	0.00000	0.000000	136	0	136	14144
009320	0.03912	0.014040	0.00000	0.000000	135	0	135	14040
011532	0.03883	0.013936	0.00000	0.000000	134	0	134	13936
009253	0.03883	0.013936	0.00000	0.000000	134	0	134	13936
003045	0.03854	0.013832	0.00000	0.000000	133	0	133	13832
000275	0.03825	0.013728	0.00000	0.000000	132	0	132	13728
000616	0.03767	0.013520	0.00000	0.000000	130	0	130	13520
003808	0.03651	0.013104	0.00000	0.000000	126	0	126	13104
006400	0.03593	0.012896	0.00000	0.000000	124	0	124	12896
003539	0.03593	0.012896	0.00000	0.000000	124	0	124	12896
010398	0.03564	0.012792	0.00000	0.000000	123	0	123	12792
002779	0.03564	0.012792	0.00000	0.000000	123	0	123	12792
001701	0.03535	0.012688	0.00000	0.000000	122	0	122	12688
000153	0.03535	0.012688	0.00000	0.000000	122	0	122	12688
008625	0.03506	0.012584	0.00000	0.000000	121	0	121	12584
008452	0.03506	0.012584	0.00000	0.000000	121	0	121	12584
006545	0.03506	0.012584	0.00000	0.000000	121	0	121	12584
005809	0.03477	0.012480	0.00000	0.000000	120	0	120	12480
005138	0.03477	0.012480	0.00000	0.000000	120	0	120	12480
009001	0.03448	0.012376	0.00000	0.000000	119	0	119	12376
003853	0.03448	0.012376	0.00000	0.000000	119	0	119	12376
010336	0.03419	0.012272	0.00000	0.000000	118	0	118	12272
001688	0.03419	0.012272	0.00000	0.000000	118	0	118	12272
002029	0.03390	0.012168	0.00000	0.000000	117	0	117	12168
004824	0.03332	0.011960	0.00000	0.000000	115	0	115	11960
008386	0.03303	0.011856	0.00000	0.000000	114	0	114	11856
003020	0.03274	0.011752	0.00000	0.000000	113	0	113	11752
011494	0.03245	0.011648	0.00000	0.000000	112	0	112	11648
002016	0.03245	0.011648	0.00000	0.000000	112	0	112	11648
011703	0.03216	0.011544	0.00000	0.000000	111	0	111	11544
009318	0.03216	0.011544	0.00000	0.000000	111	0	111	11544
004059	0.03216	0.011544	0.00000	0.000000	111	0	111	11544
002485	0.03216	0.011544	0.00000	0.000000	111	0	111	11544
005615	0.03158	0.011336	0.00000	0.000000	109	0	109	11336
004554	0.03158	0.011336	0.00000	0.000000	109	0	109	11336
003209	0.03158	0.011336	0.00000	0.000000	109	0	109	11336
011318	0.03129	0.011232	0.00000	0.000000	108	0	108	11232
001033	0.03100	0.011128	0.00000	0.000000	107	0	107	11128
011812	0.03071	0.011024	0.00000	0.000000	106	0	106	11024
001215	0.03071	0.011024	0.00000	0.000000	106	0	106	11024
003328	0.03043	0.010920	0.00000	0.000000	105	0	105	10920
003183	0.03043	0.010920	0.00000	0.000000	105	0	105	10920
000424	0.03043	0.010920	0.00000	0.000000	105	0	105	10920
009655	0.03014	0.010816	0.00000	0.000000	104	0	104	10816
008921	0.02985	0.010712	0.00000	0.000000	103	0	103	10712
008728	0.02985	0.010712	0.00000	0.000000	103	0	103	10712
008208	0.02985	0.010712	0.00000	0.000000	103	0	103	10712
009458	0.02956	0.010608	0.00000	0.000000	102	0	102	10608
008079	0.02956	0.010608	0.00000	0.000000	102	0	102	10608
007917	0.02956	0.010608	0.00000	0.000000	102	0	102	10608
005455	0.02956	0.010608	0.00000	0.000000	102	0	102	10608
000887	0.02956	0.010608	0.00000	0.000000	102	0	102	10608
005289	0.02927	0.010504	0.00000	0.000000	101	0	101	10504
005197	0.02927	0.010504	0.00000	0.000000	101	0	101	10504
011041	0.02898	0.010400	0.00000	0.000000	100	0	100	10400
008814	0.02898	0.010400	0.00000	0.000000	100	0	100	10400
006520	0.02898	0.010400	0.00000	0.000000	100	0	100	10400
006038	0.02898	0.010400	0.00000	0.000000	100	0	100	10400
001805	0.02898	0.010400	0.00000	0.000000	100	0	100	10400
001068	0.02898	0.010400	0.00000	0.000000	100	0	100	10400
004405	0.02869	0.010296	0.00000	0.000000	99	0	99	10296
008925	0.02840	0.010192	0.00000	0.000000	98	0	98	10192
006557	0.02840	0.010192	0.00000	0.000000	98	0	98	10192
002484	0.02840	0.010192	0.00000	0.000000	98	0	98	10192
011058	0.02811	0.010088	0.00000	0.000000	97	0	97	10088
010249	0.02811	0.010088	0.00000	0.000000	97	0	97	10088
001165	0.02811	0.010088	0.00000	0.000000	97	0	97	10088
000435	0.02811	0.010088	0.00000	0.000000	97	0	97	10088
010279	0.02782	0.009984	0.00000	0.000000	96	0	96	9984
007465	0.02782	0.009984	0.00000	0.000000	96	0	96	9984
001848	0.02782	0.009984	0.00000	0.000000	96	0	96	9984
010545	0.02753	0.009880	0.00000	0.000000	95	0	95	9880
009216	0.02753	0.009880	0.00000	0.000000	95	0	95	9880
007213	0.02753	0.009880	0.00000	0.000000	95	0	95	9880
005816	0.02753	0.009880	0.00000	0.000000	95	0	95	9880
003650	0.02753	0.009880	0.00000	0.000000	95	0	95	9880
002668	0.02753	0.009880	0.00000	0.000000	95	0	95	9880
008802	0.02724	0.009776	0.00000	0.000000	94	0	94	9776
007144	0.02724	0.009776	0.00000	0.000000	94	0	94	9776
002310	0.02724	0.009776	0.00000	0.000000	94	0	94	9776
001051	0.02724	0.009776	0.00000	0.000000	94	0	94	9776
004643	0.02695	0.009672	0.00000	0.000000	93	0	93	9672
003625	0.02695	0.009672	0.00000	0.000000	93	0	93	9672
002549	0.02695	0.009672	0.00000	0.000000	93	0	93	9672
008314	0.02666	0.009568	0.00000	0.000000	92	0	92	9568
007520	0.02666	0.009568	0.00000	0.000000	92	0	92	9568
006430	0.02666	0.009568	0.00000	0.000000	92	0	92	9568
004008	0.02666	0.009568	0.00000	0.000000	92	0	92	9568
003490	0.02666	0.009568	0.00000	0.000000	92	0	92	9568
002073	0.02666	0.009568	0.00000	0.000000	92	0	92	9568
001329	0.02666	0.009568	0.00000	0.000000	92	0	92	9568
000840	0.02666	0.009568	0.00000	0.000000	92	0	92	9568
000372	0.02666	0.009568	0.00000	0.000000	92	0	92	9568
010174	0.02637	0.009464	0.00000	0.000000	91	0	91	9464
007615	0.02637	0.009464	0.00000	0.000000	91	0	91	9464
007555	0.02637	0.009464	0.00000	0.000000	91	0	91	9464
004765	0.02637	0.009464	0.00000	0.000000	91	0	91	9464
004009	0.02637	0.009464	0.00000	0.000000	91	0	91	9464
001831	0.02637	0.009464	0.00000	0.000000	91	0	91	9464
011743	0.02608	0.009360	0.00000	0.000000	90	0	90	9360
010844	0.02608	0.009360	0.00000	0.000000	90	0	90	9360
007638	0.02608	0.009360	0.00000	0.000000	90	0	90	9360
007299	0.02608	0.009360	0.00000	0.000000	90	0	90	9360
005137	0.02608	0.009360	0.00000	0.000000	90	0	90	9360
001136	0.02608	0.009360	0.00000	0.000000	90	0	90	9360
000026	0.02608	0.009360	0.00000	0.000000	90	0	90	9360
009767	0.02579	0.009256	0.00000	0.000000	89	0	89	9256
007354	0.02579	0.009256	0.00000	0.000000	89	0	89	9256
007286	0.02579	0.009256	0.00000	0.000000	89	0	89	9256
006722	0.02579	0.009256	0.00000	0.000000	89	0	89	9256
003769	0.02579	0.009256	0.00000	0.000000	89	0	89	9256
003382	0.02579	0.009256	0.00000	0.000000	89	0	89	9256
002607	0.02579	0.009256	0.00000	0.000000	89	0	89	9256
011269	0.02550	0.009152	0.00000	0.000000	88	0	88	9152
010931	0.02550	0.009152	0.00000	0.000000	88	0	88	9152
010860	0.02550	0.009152	0.00000	0.000000	88	0	88	9152
009464	0.02550	0.009152	0.00000	0.000000	88	0	88	9152
009315	0.02550	0.009152	0.00000	0.000000	88	0	88	9152
006167	0.02550	0.009152	0.00000	0.000000	88	0	88	9152
005115	0.02550	0.009152	0.00000	0.000000	88	0	88	9152
003609	0.02550	0.009152	0.00000	0.000000	88	0	88	9152
001812	0.02550	0.009152	0.00000	0.000000	88	0	88	9152
006293	0.02521	0.009048	0.00000	0.000000	87	0	87	9048
005651	0.02521	0.009048	0.00000	0.000000	87	0	87	9048
004142	0.02521	0.009048	0.00000	0.000000	87	0	87	9048
001977	0.02521	0.009048	0.00000	0.000000	87	0	87	9048
000422	0.02521	0.009048	0.00000	0.000000	87	0	87	9048
011531	0.02492	0.008944	0.00000	0.000000	86	0	86	8944
010441	0.02492	0.008944	0.00000	0.000000	86	0	86	8944
007265	0.02492	0.008944	0.00000	0.000000	86	0	86	8944
005977	0.02492	0.008944	0.00000	0.000000	86	0	86	8944
005976	0.02492	0.008944	0.00000	0.000000	86	0	86	8944
005271	0.02492	0.008944	0.00000	0.000000	86	0	86	8944
004695	0.02492	0.008944	0.00000	0.000000	86	0	86	8944
004418	0.02492	0.008944	0.00000	0.000000	86	0	86	8944
004047	0.02492	0.008944	0.00000	0.000000	86	0	86	8944
000951	0.02492	0.008944	0.00000	0.000000	86	0	86	8944
000600	0.02492	0.008944	0.00000	0.000000	86	0	86	8944
000374	0.02492	0.008944	0.00000	0.000000	86	0	86	8944
