#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
009320	0.11705	0.320881	0.00000	0.000000	3154	0	3185	324186
003808	0.10257	0.278903	0.00000	0.000000	2764	0	2778	280386
004135	0.10235	0.275714	0.00000	0.000000	2758	0	2784	278412
002209	0.10231	0.281946	0.00000	0.000000	2757	0	2774	283816
008728	0.10064	0.275230	0.00000	0.000000	2712	0	2736	277828
005138	0.09894	0.272295	0.00000	0.000000	2666	0	2690	274928
006722	0.09727	0.267054	0.00000	0.000000	2621	0	2638	268804
001701	0.09615	0.262400	0.00000	0.000000	2591	0	2624	265846
001329	0.08851	0.240333	0.00000	0.000000	2385	0	2404	242330
008814	0.08792	0.241767	0.00000	0.000000	2369	0	2384	243320
000275	0.08647	0.234670	0.00000	0.000000	2330	0	2351	236943
002029	0.08536	0.235475	0.00000	0.000000	2300	0	2314	236910
000424	0.08450	0.227883	0.00000	0.000000	2277	0	2300	230398
007265	0.08328	0.225923	0.00000	0.000000	2244	0	2264	228012
001688	0.08287	0.228957	0.00000	0.000000	2233	0	2244	230092
008079	0.08120	0.223824	0.00000	0.000000	2188	0	2207	225892
004824	0.07931	0.215833	0.00000	0.000000	2137	0	2148	216988
011660	0.07801	0.214752	0.00000	0.000000	2102	0	2112	215842
011318	0.07738	0.212941	0.00000	0.000000	2085	0	2094	213916
007299	0.07574	0.204583	0.00000	0.000000	2041	0	2061	206595
010398	0.07552	0.208410	0.00000	0.000000	2035	0	2048	209836
006573	0.07541	0.205778	0.00000	0.000000	2032	0	2046	207240
011532	0.07515	0.207333	0.00000	0.000000	2025	0	2030	207854
003539	0.07515	0.206182	0.00000	0.000000	2025	0	2044	208132
008206	0.07452	0.198835	0.00000	0.000000	2008	0	2024	200530
003045	0.07422	0.204129	0.00000	0.000000	2000	0	2010	205178
000616	0.07411	0.201751	0.00000	0.000000	1997	0	2012	203308
003490	0.07392	0.203891	0.00000	0.000000	1992	0	2002	204966
001848	0.07344	0.201939	0.00000	0.000000	1979	0	1990	203222
009253	0.07329	0.202132	0.00000	0.000000	1975	0	1992	203870
008386	0.07263	0.200016	0.00000	0.000000	1957	0	1970	201374
011812	0.07136	0.196677	0.00000	0.000000	1923	0	1944	198846
007213	0.07118	0.194090	0.00000	0.000000	1918	0	1932	195532
007917	0.07029	0.191733	0.00000	0.000000	1894	0	1908	193210
000887	0.06943	0.191504	0.00000	0.000000	1871	0	1880	192492
002938	0.06899	0.189589	0.00000	0.000000	1859	0	1872	190974
004418	0.06814	0.186107	0.00000	0.000000	1836	0	1844	186996
007427	0.06643	0.180050	0.00000	0.000000	1790	0	1798	180906
005544	0.06624	0.181313	0.00000	0.000000	1785	0	1804	183292
011058	0.06602	0.181667	0.00000	0.000000	1779	0	1794	183236
002016	0.06561	0.178720	0.00000	0.000000	1768	0	1774	179414
008119	0.06532	0.177526	0.00000	0.000000	1760	0	1766	178182
004515	0.06476	0.176680	0.00000	0.000000	1745	0	1752	177394
002485	0.06450	0.177298	0.00000	0.000000	1738	0	1756	179168
004059	0.06431	0.175456	0.00000	0.000000	1733	0	1755	177808
008314	0.06398	0.174909	0.00000	0.000000	1724	0	1742	176748
003791	0.06394	0.175610	0.00000	0.000000	1723	0	1735	176899
005197	0.06379	0.174396	0.00000	0.000000	1719	0	1734	175940
001068	0.06372	0.175122	0.00000	0.000000	1717	0	1728	176276
001805	0.06368	0.172892	0.00000	0.000000	1716	0	1720	173300
008932	0.06320	0.173542	0.00000	0.000000	1703	0	1718	175134
002779	0.06313	0.174314	0.00000	0.000000	1701	0	1717	175999
006400	0.06309	0.174245	0.00000	0.000000	1700	0	1716	175890
000153	0.06294	0.173171	0.00000	0.000000	1696	0	1702	173810
005271	0.06287	0.172521	0.00000	0.000000	1694	0	1704	173594
010336	0.06268	0.169651	0.00000	0.000000	1689	0	1704	171260
010028	0.06201	0.168778	0.00000	0.000000	1671	0	1682	169848
010844	0.06186	0.167688	0.00007	0.000028	1667	2	1686	169742
003382	0.06142	0.168788	0.00000	0.000000	1655	0	1672	170640
005809	0.06071	0.164177	0.00000	0.000000	1636	0	1640	164550
005615	0.06064	0.164347	0.00000	0.000000	1634	0	1642	165116
008921	0.06045	0.165429	0.00000	0.000000	1629	0	1640	166554
001215	0.06016	0.165821	0.00000	0.000000	1621	0	1624	166142
010250	0.05997	0.165440	0.00000	0.000000	1616	0	1628	166718
010380	0.05975	0.164302	0.00000	0.000000	1610	0	1622	165636
005327	0.05960	0.163485	0.00000	0.000000	1606	0	1616	164522
003183	0.05960	0.161920	0.00000	0.000000	1606	0	1621	163600
003853	0.05949	0.163920	0.00000	0.000000	1603	0	1614	165110
007743	0.05945	0.162005	0.00000	0.000000	1602	0	1614	163274
004716	0.05930	0.161784	0.00000	0.000000	1598	0	1612	163296
008469	0.05904	0.162084	0.00000	0.000000	1591	0	1606	163660
010545	0.05890	0.160902	0.00000	0.000000	1587	0	1598	162050
010441	0.05886	0.161757	0.00000	0.000000	1586	0	1598	162976
009216	0.05878	0.160795	0.00000	0.000000	1584	0	1595	161942
000435	0.05812	0.159046	0.00000	0.000000	1566	0	1574	159864
007354	0.05800	0.159987	0.00000	0.000000	1563	0	1574	161202
004554	0.05789	0.159517	0.00000	0.000000	1560	0	1572	160758
003020	0.05782	0.158678	0.00000	0.000000	1558	0	1566	159544
002351	0.05730	0.157379	0.00000	0.000000	1544	0	1550	158000
008139	0.05671	0.156155	0.00000	0.000000	1528	0	1536	157066
006747	0.05648	0.155666	0.00000	0.000000	1522	0	1532	156694
007208	0.05645	0.154032	0.00000	0.000000	1521	0	1536	155710
005651	0.05630	0.154942	0.00000	0.000000	1517	0	1524	155668
011041	0.05619	0.154333	0.00000	0.000000	1514	0	1524	155380
008914	0.05615	0.151294	0.00000	0.000000	1513	0	1522	152228
001136	0.05585	0.153386	0.00000	0.000000	1505	0	1518	154760
004610	0.05581	0.153371	0.00000	0.000000	1504	0	1511	154099
002266	0.05518	0.150719	0.00000	0.000000	1487	0	1492	151228
008452	0.05515	0.148838	0.00000	0.000000	1486	0	1496	149880
009318	0.05500	0.150634	0.00000	0.000000	1482	0	1494	151892
010813	0.05478	0.150824	0.00000	0.000000	1476	0	1480	151220
004405	0.05470	0.149688	0.00000	0.000000	1474	0	1486	150914
003178	0.05444	0.149285	0.00000	0.000000	1467	0	1476	150244
008625	0.05437	0.149338	0.00000	0.000000	1465	0	1478	150744
004108	0.05437	0.147872	0.00000	0.000000	1465	0	1474	148828
011623	0.05370	0.146634	0.00000	0.000000	1447	0	1458	147782
004163	0.05351	0.147179	0.00000	0.000000	1442	0	1456	148714
001145	0.05247	0.143598	0.00000	0.000000	1414	0	1422	144514
003609	0.05244	0.143816	0.00000	0.000000	1413	0	1428	145372
009978	0.05236	0.142748	0.00000	0.000000	1411	0	1420	143668
001033	0.05236	0.141828	0.00000	0.000000	1411	0	1424	143264
010279	0.05233	0.144409	0.00000	0.000000	1410	0	1414	144866
001165	0.05225	0.144227	0.00000	0.000000	1408	0	1422	145732
006520	0.05222	0.141261	0.00000	0.000000	1407	0	1422	142714
009767	0.05210	0.142342	0.00000	0.000000	1404	0	1416	143606
000846	0.05207	0.143013	0.00000	0.000000	1403	0	1416	144478
009310	0.05192	0.141579	0.00000	0.000000	1399	0	1412	143006
000840	0.05181	0.140843	0.00000	0.000000	1396	0	1410	142342
002126	0.05177	0.142341	0.00000	0.000000	1395	0	1406	143480
007630	0.05173	0.143137	0.00000	0.000000	1394	0	1400	143824
006545	0.05173	0.142261	0.00000	0.000000	1394	0	1404	143358
009832	0.05158	0.141508	0.00000	0.000000	1390	0	1404	142976
011129	0.05106	0.137055	0.00000	0.000000	1376	0	1392	138750
010931	0.05095	0.139291	0.00000	0.000000	1373	0	1386	140640
000794	0.05084	0.139706	0.00000	0.000000	1370	0	1382	141032
003180	0.05080	0.139649	0.00000	0.000000	1369	0	1376	140460
005289	0.05077	0.138739	0.00000	0.000000	1368	0	1378	139764
002549	0.05051	0.137395	0.00000	0.000000	1361	0	1368	138114
