#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
002209	0.06036	0.028600	0.00000	0.000000	275	0	275	28600
009320	0.05290	0.025064	0.00000	0.000000	241	0	241	25064
004135	0.04653	0.022048	0.00000	0.000000	212	0	212	22048
006722	0.04390	0.020800	0.00000	0.000000	200	0	200	20800
001329	0.04390	0.020800	0.00000	0.000000	200	0	200	20800
003490	0.04280	0.020280	0.00000	0.000000	195	0	195	20280
008814	0.04258	0.020176	0.00000	0.000000	194	0	194	20176
001688	0.04236	0.020072	0.00000	0.000000	193	0	193	20072
000275	0.04126	0.019552	0.00000	0.000000	188	0	188	19552
008728	0.04104	0.019448	0.00000	0.000000	187	0	187	19448
011812	0.04060	0.019240	0.00000	0.000000	185	0	185	19240
000887	0.04017	0.019032	0.00000	0.000000	183	0	183	19032
008079	0.03995	0.018928	0.00000	0.000000	182	0	182	18928
004824	0.03863	0.018304	0.00000	0.000000	176	0	176	18304
002029	0.03863	0.018304	0.00000	0.000000	176	0	176	18304
007213	0.03819	0.018096	0.00000	0.000000	174	0	174	18096
003808	0.03731	0.017680	0.00000	0.000000	170	0	170	17680
006573	0.03687	0.017472	0.00000	0.000000	168	0	168	17472
005138	0.03687	0.017472	0.00000	0.000000	168	0	168	17472
001701	0.03687	0.017472	0.00000	0.000000	168	0	168	17472
007917	0.03643	0.017264	0.00000	0.000000	166	0	166	17264
000616	0.03512	0.016640	0.00000	0.000000	160	0	160	16640
003045	0.03468	0.016432	0.00000	0.000000	158	0	158	16432
011532	0.03446	0.016328	0.00000	0.000000	157	0	157	16328
009253	0.03446	0.016328	0.00000	0.000000	157	0	157	16328
010398	0.03424	0.016224	0.00000	0.000000	156	0	156	16224
003539	0.03402	0.016120	0.00000	0.000000	155	0	155	16120
004610	0.03358	0.015912	0.00000	0.000000	153	0	153	15912
008386	0.03336	0.015808	0.00000	0.000000	152	0	152	15808
007265	0.03336	0.015808	0.00000	0.000000	152	0	152	15808
011660	0.03292	0.015600	0.00000	0.000000	150	0	150	15600
005809	0.03292	0.015600	0.00000	0.000000	150	0	150	15600
011058	0.03204	0.015184	0.00000	0.000000	146	0	146	15184
001805	0.03161	0.014976	0.00000	0.000000	144	0	144	14976
000153	0.03139	0.014872	0.00000	0.000000	143	0	143	14872
010931	0.03095	0.014664	0.00000	0.000000	141	0	141	14664
001848	0.03051	0.014456	0.00000	0.000000	139	0	139	14456
007630	0.03029	0.014352	0.00000	0.000000	138	0	138	14352
006747	0.03029	0.014352	0.00000	0.000000	138	0	138	14352
004418	0.02963	0.014040	0.00000	0.000000	135	0	135	14040
010279	0.02941	0.013936	0.00000	0.000000	134	0	134	13936
005197	0.02919	0.013832	0.00000	0.000000	133	0	133	13832
002779	0.02919	0.013832	0.00000	0.000000	133	0	133	13832
001068	0.02919	0.013832	0.00000	0.000000	133	0	133	13832
011318	0.02897	0.013728	0.00000	0.000000	132	0	132	13728
010441	0.02897	0.013728	0.00000	0.000000	132	0	132	13728
009011	0.02897	0.013728	0.00000	0.000000	132	0	132	13728
002016	0.02897	0.013728	0.00000	0.000000	132	0	132	13728
000424	0.02897	0.013728	0.00000	0.000000	132	0	132	13728
008314	0.02875	0.013624	0.00000	0.000000	131	0	131	13624
008119	0.02875	0.013624	0.00000	0.000000	131	0	131	13624
005327	0.02875	0.013624	0.00000	0.000000	131	0	131	13624
008625	0.02831	0.013416	0.00000	0.000000	129	0	129	13416
006400	0.02831	0.013416	0.00000	0.000000	129	0	129	13416
003853	0.02831	0.013416	0.00000	0.000000	129	0	129	13416
010380	0.02809	0.013312	0.00000	0.000000	128	0	128	13312
004405	0.02787	0.013208	0.00000	0.000000	127	0	127	13208
010844	0.02744	0.013000	0.00000	0.000000	125	0	125	13000
010250	0.02744	0.013000	0.00000	0.000000	125	0	125	13000
008176	0.02744	0.013000	0.00000	0.000000	125	0	125	13000
001231	0.02744	0.013000	0.00000	0.000000	125	0	125	13000
010174	0.02678	0.012688	0.00000	0.000000	122	0	122	12688
009310	0.02678	0.012688	0.00000	0.000000	122	0	122	12688
008921	0.02678	0.012688	0.00000	0.000000	122	0	122	12688
008469	0.02678	0.012688	0.00000	0.000000	122	0	122	12688
005615	0.02678	0.012688	0.00000	0.000000	122	0	122	12688
001215	0.02678	0.012688	0.00000	0.000000	122	0	122	12688
010545	0.02656	0.012584	0.00000	0.000000	121	0	121	12584
004515	0.02656	0.012584	0.00000	0.000000	121	0	121	12584
001542	0.02656	0.012584	0.00000	0.000000	121	0	121	12584
001136	0.02634	0.012480	0.00000	0.000000	120	0	120	12480
000846	0.02634	0.012480	0.00000	0.000000	120	0	120	12480
005289	0.02612	0.012376	0.00000	0.000000	119	0	119	12376
001165	0.02612	0.012376	0.00000	0.000000	119	0	119	12376
007299	0.02568	0.012168	0.00000	0.000000	117	0	117	12168
004142	0.02568	0.012168	0.00000	0.000000	117	0	117	12168
009832	0.02546	0.012064	0.00000	0.000000	116	0	116	12064
001118	0.02546	0.012064	0.00000	0.000000	116	0	116	12064
000560	0.02546	0.012064	0.00000	0.000000	116	0	116	12064
011041	0.02524	0.011960	0.00000	0.000000	115	0	115	11960
002549	0.02524	0.011960	0.00000	0.000000	115	0	115	11960
008914	0.02502	0.011856	0.00000	0.000000	114	0	114	11856
008208	0.02502	0.011856	0.00000	0.000000	114	0	114	11856
004554	0.02502	0.011856	0.00000	0.000000	114	0	114	11856
009655	0.02480	0.011752	0.00000	0.000000	113	0	113	11752
008375	0.02480	0.011752	0.00000	0.000000	113	0	113	11752
008137	0.02480	0.011752	0.00000	0.000000	113	0	113	11752
009809	0.02458	0.011648	0.00000	0.000000	112	0	112	11648
009216	0.02458	0.011648	0.00000	0.000000	112	0	112	11648
007427	0.02458	0.011648	0.00000	0.000000	112	0	112	11648
006545	0.02458	0.011648	0.00000	0.000000	112	0	112	11648
009318	0.02436	0.011544	0.00000	0.000000	111	0	111	11544
008452	0.02436	0.011544	0.00000	0.000000	111	0	111	11544
005734	0.02436	0.011544	0.00000	0.000000	111	0	111	11544
005255	0.02436	0.011544	0.00000	0.000000	111	0	111	11544
003609	0.02436	0.011544	0.00000	0.000000	111	0	111	11544
003178	0.02436	0.011544	0.00000	0.000000	111	0	111	11544
002668	0.02436	0.011544	0.00000	0.000000	111	0	111	11544
011531	0.02414	0.011440	0.00000	0.000000	110	0	110	11440
011356	0.02414	0.011440	0.00000	0.000000	110	0	110	11440
