#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
10895	0.05985	0.177818	0.00000	0.000000	1543	0	1548	178394
00551	0.04907	0.143086	0.00000	0.000000	1265	0	1274	144108
01454	0.04864	0.145019	0.00000	0.000000	1254	0	1259	145604
07825	0.04655	0.136282	0.00000	0.000000	1200	0	1208	137188
02533	0.04061	0.119060	0.00000	0.000000	1047	0	1054	119866
07964	0.03693	0.108911	0.00000	0.000000	952	0	956	109374
10967	0.03565	0.101880	0.00000	0.000000	919	0	928	102852
08590	0.03409	0.100844	0.00000	0.000000	879	0	882	101192
09559	0.03371	0.100080	0.00000	0.000000	869	0	882	101598
09239	0.03305	0.097589	0.00000	0.000000	852	0	856	98050
07946	0.03219	0.093241	0.00000	0.000000	830	0	838	94158
01575	0.03219	0.094679	0.00000	0.000000	830	0	834	95134
07971	0.03196	0.093465	0.00000	0.000000	824	0	834	94602
03292	0.03185	0.093755	0.00000	0.000000	821	0	830	94744
01383	0.03177	0.093680	0.00000	0.000000	819	0	822	94030
01865	0.03111	0.089759	0.00000	0.000000	802	0	808	90424
06130	0.03103	0.092382	0.00000	0.000000	800	0	802	92610
10394	0.03095	0.090425	0.00000	0.000000	798	0	806	91332
01912	0.03006	0.089434	0.00000	0.000000	775	0	776	89552
07817	0.03002	0.088266	0.00000	0.000000	774	0	784	89390
00818	0.03002	0.087598	0.00000	0.000000	774	0	776	87800
03771	0.02994	0.086905	0.00000	0.000000	772	0	774	87136
09448	0.02983	0.088016	0.00000	0.000000	769	0	772	88366
03252	0.02960	0.087360	0.00000	0.000000	763	0	770	88142
01369	0.02956	0.086636	0.00000	0.000000	762	0	768	87340
08078	0.02948	0.087032	0.00000	0.000000	760	0	764	87520
07814	0.02944	0.087431	0.00000	0.000000	759	0	764	88004
03009	0.02925	0.085646	0.00000	0.000000	754	0	758	86074
08671	0.02921	0.086454	0.00000	0.000000	753	0	758	87038
00310	0.02901	0.085846	0.00000	0.000000	748	0	750	86080
00918	0.02878	0.083533	0.00000	0.000000	742	0	751	84615
04105	0.02870	0.084203	0.00000	0.000000	740	0	742	84422
06369	0.02863	0.083886	0.00000	0.000000	738	0	742	84270
09638	0.02855	0.084164	0.00000	0.000000	736	0	738	84390
01616	0.02847	0.083242	0.00000	0.000000	734	0	736	83476
09616	0.02843	0.084576	0.00000	0.000000	733	0	737	85046
08438	0.02839	0.083066	0.00000	0.000000	732	0	736	83518
00453	0.02832	0.082959	0.00000	0.000000	730	0	734	83426
00758	0.02828	0.082288	0.00000	0.000000	729	0	734	82834
02427	0.02824	0.082768	0.00000	0.000000	728	0	735	83660
01002	0.02820	0.082326	0.00000	0.000000	727	0	730	82590
07861	0.02816	0.082394	0.00000	0.000000	726	0	730	82848
12030	0.02797	0.080483	0.00000	0.000000	721	0	730	81400
05577	0.02777	0.081759	0.00000	0.000000	716	0	722	82448
03540	0.02769	0.080087	0.00000	0.000000	714	0	720	80806
10492	0.02766	0.081467	0.00000	0.000000	713	0	718	82042
00574	0.02750	0.079985	0.00000	0.000000	709	0	718	81012
11622	0.02746	0.080681	0.00000	0.000000	708	0	712	81134
11032	0.02738	0.080848	0.00000	0.000000	706	0	708	81066
05075	0.02738	0.081470	0.00000	0.000000	706	0	710	81928
08161	0.02735	0.079275	0.00000	0.000000	705	0	708	79620
03372	0.02723	0.080321	0.00000	0.000000	702	0	708	80926
03456	0.02715	0.078595	0.00000	0.000000	700	0	708	79508
09004	0.02704	0.078735	0.00000	0.000000	697	0	700	79084
08781	0.02704	0.078736	0.00000	0.000000	697	0	700	79088
00469	0.02688	0.078114	0.00000	0.000000	693	0	696	78494
11652	0.02684	0.079904	0.00000	0.000000	692	0	696	80354
08137	0.02684	0.077514	0.00000	0.000000	692	0	698	78150
03450	0.02680	0.078801	0.00000	0.000000	691	0	694	79126
04256	0.02676	0.079262	0.00000	0.000000	690	0	692	79486
01178	0.02676	0.078786	0.00000	0.000000	690	0	692	79020
04315	0.02657	0.077571	0.00000	0.000000	685	0	694	78588
10012	0.02653	0.078540	0.00000	0.000000	684	0	686	78764
04545	0.02649	0.078271	0.00000	0.000000	683	0	684	78388
12308	0.02641	0.076948	0.00000	0.000000	681	0	688	77720
03648	0.02638	0.077318	0.00000	0.000000	680	0	684	77754
10526	0.02607	0.075266	0.00000	0.000000	672	0	676	75708
01858	0.02599	0.076448	0.00000	0.000000	670	0	672	76670
12078	0.02595	0.076325	0.00000	0.000000	669	0	670	76444
11639	0.02595	0.075278	0.00000	0.000000	669	0	674	75852
07394	0.02595	0.076558	0.00000	0.000000	669	0	676	77322
10315	0.02576	0.075687	0.00000	0.000000	664	0	668	76122
11884	0.02564	0.075553	0.00000	0.000000	661	0	662	75664
06397	0.02560	0.075912	0.00000	0.000000	660	0	666	76638
02927	0.02560	0.074613	0.00000	0.000000	660	0	662	74850
04322	0.02556	0.075520	0.00000	0.000000	659	0	666	76338
04165	0.02552	0.075190	0.00000	0.000000	658	0	660	75408
01230	0.02552	0.074769	0.00000	0.000000	658	0	664	75442
05712	0.02548	0.075767	0.00000	0.000000	657	0	660	76112
10690	0.02545	0.074078	0.00000	0.000000	656	0	658	74312
12088	0.02541	0.073692	0.00000	0.000000	655	0	660	74296
00213	0.02541	0.074638	0.00000	0.000000	655	0	660	75194
10813	0.02533	0.075160	0.00000	0.000000	653	0	656	75528
10271	0.02529	0.074509	0.00000	0.000000	652	0	654	74732
08743	0.02529	0.073490	0.00000	0.000000	652	0	656	73874
06256	0.02521	0.072646	0.00000	0.000000	650	0	650	72646
10226	0.02513	0.074208	0.00000	0.000000	648	0	652	74676
06806	0.02506	0.072983	0.00000	0.000000	646	0	658	74350
