#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
5414	0.05383	0.141549	0.00000	0.000000	1412	0	1420	142448
10408	0.04621	0.121313	0.00000	0.000000	1212	0	1222	122350
8090	0.04613	0.119788	0.00000	0.000000	1210	0	1216	120390
7425	0.04602	0.121374	0.00000	0.000000	1207	0	1208	121476
2483	0.04484	0.115689	0.00000	0.000000	1176	0	1182	116286
2281	0.04430	0.115466	0.00000	0.000000	1162	0	1172	116488
11151	0.04430	0.115815	0.00000	0.000000	1162	0	1170	116654
10311	0.04407	0.115790	0.00000	0.000000	1156	0	1162	116378
5211	0.04304	0.113730	0.00000	0.000000	1129	0	1138	114622
293	0.04304	0.113444	0.00000	0.000000	1129	0	1134	113928
10691	0.04247	0.111427	0.00000	0.000000	1114	0	1122	112308
2919	0.04232	0.111167	0.00000	0.000000	1110	0	1120	112180
3451	0.04190	0.109388	0.00000	0.000000	1099	0	1110	110508
11044	0.04171	0.107457	0.00000	0.000000	1094	0	1102	108212
4377	0.04118	0.108130	0.00000	0.000000	1080	0	1082	108338
7832	0.04064	0.106753	0.00000	0.000000	1066	0	1068	106954
1715	0.04026	0.105043	0.00000	0.000000	1056	0	1068	106254
194	0.04022	0.106024	0.00000	0.000000	1055	0	1060	106550
10149	0.04007	0.104945	0.00000	0.000000	1051	0	1054	105298
1202	0.03919	0.102703	0.00000	0.000000	1028	0	1039	103900
6631	0.03874	0.102524	0.00000	0.000000	1016	0	1020	102928
11556	0.03870	0.101530	0.00000	0.000000	1015	0	1018	101800
10407	0.03870	0.100947	0.00000	0.000000	1015	0	1022	101708
8232	0.03843	0.098913	0.00000	0.000000	1008	0	1020	100108
1355	0.03828	0.100486	0.00000	0.000000	1004	0	1006	100700
10373	0.03813	0.097994	0.00000	0.000000	1000	0	1008	98858
24	0.03793	0.098060	0.00000	0.000000	995	0	1000	98558
3681	0.03778	0.098659	0.00000	0.000000	991	0	1000	99598
633	0.03763	0.096617	0.00000	0.000000	987	0	996	97500
12337	0.03755	0.098160	0.00000	0.000000	985	0	990	98698
591	0.03706	0.097101	0.00000	0.000000	972	0	978	97734
3121	0.03698	0.096268	0.00000	0.000000	970	0	978	97076
10281	0.03683	0.095722	0.00000	0.000000	966	0	976	96716
4849	0.03679	0.096403	0.00000	0.000000	965	0	970	96906
9247	0.03649	0.095426	0.00000	0.000000	957	0	964	96096
10331	0.03633	0.093485	0.00000	0.000000	953	0	958	93974
8517	0.03630	0.093901	0.00000	0.000000	952	0	954	94112
2075	0.03610	0.094621	0.00000	0.000000	947	0	954	95328
12350	0.03610	0.094731	0.00000	0.000000	947	0	952	95222
8598	0.03599	0.093858	0.00000	0.000000	944	0	948	94280
6935	0.03599	0.093495	0.00000	0.000000	944	0	948	93822
1204	0.03595	0.094773	0.00000	0.000000	943	0	952	95674
2334	0.03588	0.095092	0.00000	0.000000	941	0	942	95194
862	0.03584	0.093448	0.00000	0.000000	940	0	950	94464
6315	0.03576	0.093833	0.00000	0.000000	938	0	942	94264
131	0.03565	0.094168	0.00000	0.000000	935	0	936	94270
6269	0.03557	0.093414	0.00000	0.000000	933	0	938	93964
5913	0.03534	0.091935	0.00000	0.000000	927	0	928	92036
1827	0.03534	0.093057	0.00000	0.000000	927	0	934	93788
5815	0.03527	0.091855	0.00000	0.000000	925	0	934	92794
5701	0.03527	0.093232	0.00000	0.000000	925	0	928	93544
11129	0.03527	0.092332	0.00000	0.000000	925	0	930	92828
6475	0.03511	0.090806	0.00000	0.000000	921	0	926	91318
3400	0.03504	0.093045	0.00000	0.000000	919	0	922	93392
11329	0.03504	0.091925	0.00000	0.000000	919	0	924	92438
347	0.03500	0.091741	0.00000	0.000000	918	0	922	92150
10614	0.03496	0.091694	0.00000	0.000000	917	0	918	91796
2450	0.03492	0.090454	0.00000	0.000000	916	0	918	90654
1921	0.03481	0.091299	0.00000	0.000000	913	0	922	92214
3448	0.03473	0.090703	0.00000	0.000000	911	0	922	91780
3723	0.03462	0.091535	0.00000	0.000000	908	0	914	92150
6187	0.03454	0.089609	0.00000	0.000000	906	0	910	89996
6785	0.03450	0.089533	0.00000	0.000000	905	0	912	90234
33	0.03450	0.090886	0.00000	0.000000	905	0	910	91488
2712	0.03447	0.091245	0.00000	0.000000	904	0	910	91858
239	0.03447	0.090231	0.00000	0.000000	904	0	906	90366
231	0.03435	0.089254	0.00000	0.000000	901	0	904	89564
10312	0.03435	0.089259	0.00000	0.000000	901	0	906	89768
746	0.03427	0.089998	0.00000	0.000000	899	0	902	90320
2372	0.03416	0.089707	0.00000	0.000000	896	0	898	89924
1962	0.03416	0.090350	0.00000	0.000000	896	0	898	90554
6682	0.03408	0.089372	0.00000	0.000000	894	0	902	90212
665	0.03405	0.088953	0.00000	0.000000	893	0	894	89040
10519	0.03405	0.089129	0.00000	0.000000	893	0	896	89434
9131	0.03393	0.088754	0.00000	0.000000	890	0	898	89562
32	0.03374	0.087573	0.00000	0.000000	885	0	890	88078
8073	0.03351	0.087149	0.00000	0.000000	879	0	884	87676
2593	0.03332	0.088066	0.00000	0.000000	874	0	878	88522
6753	0.03328	0.087388	0.00000	0.000000	873	0	880	88100
9988	0.03325	0.087496	0.00000	0.000000	872	0	873	87598
915	0.03321	0.086744	0.00000	0.000000	871	0	876	87288
171	0.03321	0.086830	0.00000	0.000000	871	0	878	87526
11909	0.03313	0.086205	0.00000	0.000000	869	0	874	86722
10334	0.03305	0.085870	0.00000	0.000000	867	0	881	87340
425	0.03302	0.086610	0.00000	0.000000	866	0	876	87686
3034	0.03302	0.087125	0.00000	0.000000	866	0	870	87526
10179	0.03302	0.085075	0.00000	0.000000	866	0	868	85270
3696	0.03294	0.086674	0.00000	0.000000	864	0	868	87070
8652	0.03283	0.085783	0.00000	0.000000	861	0	868	86496
10758	0.03283	0.085988	0.00000	0.000000	861	0	864	86282
988	0.03260	0.084938	0.00000	0.000000	855	0	860	85444
9017	0.03260	0.084431	0.00000	0.000000	855	0	860	84884
6706	0.03260	0.085718	0.00000	0.000000	855	0	856	85820
4264	0.03260	0.085462	0.00000	0.000000	855	0	862	86168
4163	0.03260	0.085271	0.00000	0.000000	855	0	860	85818
3115	0.03256	0.085244	0.00000	0.000000	854	0	858	85630
871	0.03248	0.085704	0.00000	0.000000	852	0	854	85904
4353	0.03241	0.085511	0.00000	0.000000	850	0	852	85708
10531	0.03241	0.084629	0.00000	0.000000	850	0	852	84832
6194	0.03225	0.084049	0.00000	0.000000	846	0	850	84506
10395	0.03214	0.084516	0.00000	0.000000	843	0	844	84618
7139	0.03210	0.083908	0.00000	0.000000	842	0	846	84306
11536	0.03210	0.083994	0.00000	0.000000	842	0	846	84404
10147	0.03191	0.082394	0.00000	0.000000	837	0	842	82916
2675	0.03187	0.083021	0.00000	0.000000	836	0	842	83634
641	0.03180	0.083898	0.00000	0.000000	834	0	836	84110
3997	0.03180	0.083884	0.00000	0.000000	834	0	836	84094
11776	0.03180	0.082871	0.00000	0.000000	834	0	838	83290
7584	0.03172	0.083416	0.00000	0.000000	832	0	834	83622
7302	0.03168	0.082972	0.00000	0.000000	831	0	834	83278
8307	0.03161	0.082856	0.00000	0.000000	829	0	840	83968
7514	0.03161	0.081154	0.00000	0.000000	829	0	836	81820
8538	0.03157	0.082840	0.00000	0.000000	828	0	832	83244
2404	0.03149	0.083034	0.00000	0.000000	826	0	828	83250
5863	0.03145	0.082415	0.00000	0.000000	825	0	832	83168
10157	0.03145	0.081875	0.00000	0.000000	825	0	826	81978
333	0.03138	0.082825	0.00000	0.000000	823	0	826	83122
8299	0.03134	0.082531	0.00000	0.000000	822	0	830	83386
5059	0.03134	0.082649	0.00000	0.000000	822	0	826	83054
2470	0.03134	0.081994	0.00000	0.000000	822	0	826	82406
12403	0.03134	0.081607	0.00000	0.000000	822	0	824	81812
11874	0.03134	0.081979	0.00000	0.000000	822	0	826	82376
11150	0.03134	0.081347	0.00000	0.000000	822	0	826	81736
10353	0.03134	0.082312	0.00000	0.000000	822	0	826	82740
9278	0.03130	0.081253	0.00000	0.000000	821	0	824	81554
2051	0.03130	0.081691	0.00000	0.000000	821	0	828	82414
11681	0.03122	0.081493	0.00000	0.000000	819	0	826	82226
11096	0.03122	0.081255	0.00000	0.000000	819	0	826	82006
60	0.03119	0.082301	0.00000	0.000000	818	0	822	82702
10340	0.03119	0.081877	0.00000	0.000000	818	0	828	82932
38	0.03115	0.081645	0.00000	0.000000	817	0	824	82366
867	0.03111	0.081366	0.00000	0.000000	816	0	820	81778
8369	0.03107	0.081048	0.00000	0.000000	815	0	820	81572
3184	0.03107	0.080962	0.00000	0.000000	815	0	820	81510
11367	0.03107	0.081305	0.00000	0.000000	815	0	818	81604
6659	0.03100	0.081165	0.00000	0.000000	813	0	816	81472
5239	0.03100	0.079987	0.00000	0.000000	813	0	818	80484
8704	0.03096	0.081052	0.00000	0.000000	812	0	816	81438
8589	0.03096	0.080996	0.00000	0.000000	812	0	817	81478
3153	0.03096	0.080792	0.00000	0.000000	812	0	816	81206
9285	0.03092	0.080880	0.00000	0.000000	811	0	816	81402
4218	0.03092	0.080565	0.00000	0.000000	811	0	814	80860
11441	0.03077	0.080792	0.00000	0.000000	807	0	814	81534
9868	0.03073	0.080466	0.00000	0.000000	806	0	810	80914
10762	0.03065	0.079879	0.00000	0.000000	804	0	812	80700
162	0.03058	0.080210	0.00000	0.000000	802	0	804	80450
9766	0.03054	0.079176	0.00000	0.000000	801	0	806	79634
5390	0.03050	0.079073	0.00000	0.000000	800	0	806	79702
3529	0.03046	0.080175	0.00000	0.000000	799	0	800	80276
10216	0.03046	0.079575	0.00000	0.000000	799	0	804	80084
9641	0.03042	0.079728	0.00000	0.000000	798	0	800	79948
1800	0.03039	0.079329	0.00000	0.000000	797	0	802	79894
8994	0.03031	0.077467	0.00000	0.000000	795	0	798	77774
8480	0.03031	0.079412	0.00000	0.000000	795	0	800	79942
555	0.03031	0.079047	0.00000	0.000000	795	0	802	79800
11985	0.03031	0.079438	0.00000	0.000000	795	0	796	79544
997	0.03027	0.078616	0.00000	0.000000	794	0	802	79376
721	0.03027	0.080100	0.00000	0.000000	794	0	798	80484
8261	0.03020	0.078291	0.00000	0.000000	792	0	794	78484
4992	0.03020	0.077799	0.00000	0.000000	792	0	796	78198
2197	0.03020	0.079763	0.00000	0.000000	792	0	796	80186
10433	0.03020	0.079224	0.00000	0.000000	792	0	800	80100
7287	0.03016	0.078331	0.00000	0.000000	791	0	792	78432
3271	0.03016	0.079546	0.00000	0.000000	791	0	796	80064
8208	0.03012	0.077232	0.00000	0.000000	790	0	792	77432
8774	0.03000	0.078480	0.00000	0.000000	787	0	790	78770
11318	0.02993	0.078395	0.00000	0.000000	785	0	789	78805
11115	0.02993	0.077757	0.00000	0.000000	785	0	794	78628
681	0.02989	0.077728	0.00000	0.000000	784	0	790	78394
11473	0.02985	0.077244	0.00000	0.000000	783	0	786	77518
1778	0.02978	0.078230	0.00000	0.000000	781	0	784	78516
4455	0.02974	0.078698	0.00000	0.000000	780	0	782	78912
630	0.02970	0.077822	0.00000	0.000000	779	0	785	78411
4609	0.02970	0.077637	0.00000	0.000000	779	0	782	77942
6294	0.02966	0.076998	0.00000	0.000000	778	0	788	77928
8223	0.02959	0.077564	0.00000	0.000000	776	0	780	78020
5490	0.02959	0.077058	0.00000	0.000000	776	0	784	77870
5811	0.02955	0.077228	0.00000	0.000000	775	0	784	78140
4702	0.02955	0.076923	0.00000	0.000000	775	0	788	78184
1777	0.02955	0.078036	0.00000	0.000000	775	0	780	78542
8821	0.02939	0.076797	0.00000	0.000000	771	0	776	77310
3382	0.02939	0.075919	0.00000	0.000000	771	0	774	76252
6891	0.02932	0.077314	0.00000	0.000000	769	0	774	77826
1197	0.02932	0.076936	0.00000	0.000000	769	0	776	77668
8385	0.02928	0.075439	0.00000	0.000000	768	0	774	76064
4995	0.02928	0.076119	0.00000	0.000000	768	0	778	77054
12271	0.02928	0.076805	0.00000	0.000000	768	0	770	77038
10923	0.02928	0.075268	0.00000	0.000000	768	0	774	75854
4543	0.02924	0.077459	0.00000	0.000000	767	0	772	77970
2354	0.02924	0.076525	0.00000	0.000000	767	0	771	76925
11945	0.02917	0.075148	0.00000	0.000000	765	0	768	75458
10255	0.02917	0.076328	0.00000	0.000000	765	0	768	76632
8997	0.02909	0.075915	0.00000	0.000000	763	0	768	76400
3498	0.02909	0.076488	0.00000	0.000000	763	0	768	76964
12196	0.02909	0.076501	0.00000	0.000000	763	0	767	76909
10650	0.02905	0.075346	0.00000	0.000000	762	0	762	75346
2048	0.02901	0.075940	0.00000	0.000000	761	0	762	76042
1056	0.02901	0.075069	0.00000	0.000000	761	0	766	75566
10033	0.02898	0.075236	0.00000	0.000000	760	0	764	75644
2304	0.02894	0.075172	0.00000	0.000000	759	0	762	75526
2307	0.02890	0.075063	0.00000	0.000000	758	0	760	75278
1513	0.02890	0.076306	0.00000	0.000000	758	0	758	76306
6307	0.02886	0.075570	0.00000	0.000000	757	0	764	76296
4265	0.02886	0.074395	0.00000	0.000000	757	0	760	74686
4211	0.02886	0.074314	0.00000	0.000000	757	0	764	75002
7523	0.02882	0.075562	0.00000	0.000000	756	0	760	75968
10810	0.02878	0.073648	0.00000	0.000000	755	0	758	73898
9330	0.02871	0.073948	0.00000	0.000000	753	0	754	74050
3569	0.02871	0.075690	0.00000	0.000000	753	0	760	76406
6165	0.02867	0.074915	0.00000	0.000000	752	0	754	75118
3655	0.02867	0.075314	0.00000	0.000000	752	0	754	75552
11792	0.02867	0.075268	0.00000	0.000000	752	0	758	75908
2681	0.02863	0.075060	0.00000	0.000000	751	0	756	75590
12119	0.02859	0.074950	0.00000	0.000000	750	0	750	74950
4553	0.02856	0.074842	0.00000	0.000000	749	0	754	75352
4431	0.02852	0.074602	0.00000	0.000000	748	0	750	74852
1015	0.02852	0.074505	0.00000	0.000000	748	0	754	75078
7753	0.02848	0.074207	0.00000	0.000000	747	0	752	74700
2887	0.02848	0.074282	0.00000	0.000000	747	0	752	74778
10989	0.02848	0.074542	0.00000	0.000000	747	0	756	75394
8476	0.02844	0.073991	0.00000	0.000000	746	0	748	74176
8365	0.02840	0.072920	0.00000	0.000000	745	0	750	73412
6847	0.02840	0.072928	0.00000	0.000000	745	0	750	73426
12356	0.02840	0.074659	0.00000	0.000000	745	0	752	75356
8786	0.02837	0.072664	0.00000	0.000000	744	0	746	72882
6822	0.02837	0.074259	0.00000	0.000000	744	0	752	75052
3625	0.02833	0.073981	0.00000	0.000000	743	0	746	74296
869	0.02829	0.074147	0.00000	0.000000	742	0	748	74754
6595	0.02829	0.073370	0.00000	0.000000	742	0	754	74584
910	0.02825	0.074200	0.00000	0.000000	741	0	748	74892
7631	0.02825	0.073939	0.00000	0.000000	741	0	744	74304
4642	0.02825	0.074077	0.00000	0.000000	741	0	744	74360
250	0.02821	0.072577	0.00000	0.000000	740	0	746	73160
12311	0.02817	0.073159	0.00000	0.000000	739	0	744	73666
1212	0.02817	0.073898	0.00000	0.000000	739	0	740	74002
11581	0.02817	0.072659	0.00000	0.000000	739	0	744	73142
8416	0.02814	0.073467	0.00000	0.000000	738	0	742	73854
4355	0.02814	0.073893	0.00000	0.000000	738	0	742	74302
2465	0.02814	0.074105	0.00000	0.000000	738	0	740	74298
12401	0.02814	0.073094	0.00000	0.000000	738	0	742	73500
3039	0.02810	0.074206	0.00000	0.000000	737	0	742	74708
2177	0.02810	0.073760	0.00000	0.000000	737	0	742	74270
11920	0.02810	0.073521	0.00000	0.000000	737	0	740	73812
9954	0.02806	0.072102	0.00000	0.000000	736	0	744	72954
6346	0.02802	0.073736	0.00000	0.000000	735	0	738	74042
8903	0.02798	0.072879	0.00000	0.000000	734	0	740	73442
1179	0.02798	0.073950	0.00000	0.000000	734	0	736	74144
11838	0.02795	0.072609	0.00000	0.000000	733	0	738	73122
10393	0.02795	0.072670	0.00000	0.000000	733	0	740	73392
4515	0.02791	0.073628	0.00000	0.000000	732	0	736	74032
11419	0.02791	0.072885	0.00000	0.000000	732	0	738	73504
9251	0.02787	0.072032	0.00000	0.000000	731	0	736	72574
8942	0.02787	0.073186	0.00000	0.000000	731	0	732	73288
7203	0.02787	0.073619	0.00000	0.000000	731	0	736	74144
6445	0.02787	0.073302	0.00000	0.000000	731	0	738	74024
1431	0.02787	0.072501	0.00000	0.000000	731	0	732	72604
6962	0.02783	0.073064	0.00000	0.000000	730	0	734	73444
12416	0.02783	0.072390	0.00000	0.000000	730	0	732	72594
10929	0.02783	0.073003	0.00000	0.000000	730	0	736	73628
3982	0.02779	0.073415	0.00000	0.000000	729	0	732	73728
330	0.02779	0.072980	0.00000	0.000000	729	0	732	73292
6350	0.02776	0.072776	0.00000	0.000000	728	0	732	73172
8214	0.02772	0.070727	0.00000	0.000000	727	0	730	71000
2710	0.02772	0.072754	0.00000	0.000000	727	0	728	72866
12057	0.02772	0.071534	0.00000	0.000000	727	0	734	72248
10685	0.02772	0.072831	0.00000	0.000000	727	0	728	72934
5459	0.02768	0.072285	0.00000	0.000000	726	0	727	72390
2506	0.02768	0.072129	0.00000	0.000000	726	0	730	72500
7288	0.02764	0.072355	0.00000	0.000000	725	0	730	72870
7237	0.02760	0.072676	0.00000	0.000000	724	0	726	72880
1330	0.02760	0.071152	0.00000	0.000000	724	0	724	71152
9189	0.02756	0.071723	0.00000	0.000000	723	0	726	72028
2162	0.02756	0.072352	0.00000	0.000000	723	0	728	72858
6001	0.02753	0.071981	0.00000	0.000000	722	0	726	72394
9461	0.02749	0.072078	0.00000	0.000000	721	0	726	72614
9123	0.02749	0.071687	0.00000	0.000000	721	0	726	72196
7275	0.02749	0.072504	0.00000	0.000000	721	0	722	72606
9760	0.02745	0.071444	0.00000	0.000000	720	0	724	71852
5177	0.02745	0.071519	0.00000	0.000000	720	0	722	71722
2738	0.02745	0.072345	0.00000	0.000000	720	0	724	72774
11135	0.02745	0.070069	0.00000	0.000000	720	0	724	70470
7264	0.02741	0.071565	0.00000	0.000000	719	0	724	72068
1205	0.02741	0.072327	0.00000	0.000000	719	0	722	72634
10605	0.02741	0.072004	0.00000	0.000000	719	0	722	72318
4123	0.02734	0.071767	0.00000	0.000000	717	0	720	72072
3566	0.02734	0.071046	0.00000	0.000000	717	0	718	71144
6193	0.02730	0.070493	0.00000	0.000000	716	0	724	71298
3261	0.02730	0.071219	0.00000	0.000000	716	0	719	71505
235	0.02730	0.072083	0.00000	0.000000	716	0	722	72698
10595	0.02730	0.071340	0.00000	0.000000	716	0	718	71542
9153	0.02726	0.071468	0.00000	0.000000	715	0	716	71570
4664	0.02726	0.071317	0.00000	0.000000	715	0	720	71820
3274	0.02726	0.072128	0.00000	0.000000	715	0	718	72434
2544	0.02726	0.071979	0.00000	0.000000	715	0	719	72388
9276	0.02722	0.070356	0.00000	0.000000	714	0	720	70946
4748	0.02718	0.069849	0.00000	0.000000	713	0	718	70348
