#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
007773	0.03218	0.052152	0.00000	0.000000	483	0	484	52260
011509	0.02098	0.034232	0.00000	0.000000	315	0	318	34682
011057	0.01779	0.028831	0.00000	0.000000	267	0	268	28950
011827	0.01725	0.027944	0.00000	0.000000	259	0	260	28094
009767	0.01719	0.027810	0.00000	0.000000	258	0	258	27810
009248	0.01719	0.027860	0.00000	0.000000	258	0	260	28160
004928	0.01679	0.027185	0.00000	0.000000	252	0	254	27460
003151	0.01679	0.027179	0.00000	0.000000	252	0	254	27446
010341	0.01659	0.026978	0.00000	0.000000	249	0	250	27128
004235	0.01639	0.026652	0.00000	0.000000	246	0	246	26652
001704	0.01619	0.026314	0.00000	0.000000	243	0	244	26432
009205	0.01612	0.026276	0.00000	0.000000	242	0	242	26276
003418	0.01606	0.026336	0.00000	0.000000	241	0	242	26450
000890	0.01606	0.026017	0.00000	0.000000	241	0	242	26126
008918	0.01599	0.026004	0.00000	0.000000	240	0	240	26004
008685	0.01599	0.025884	0.00000	0.000000	240	0	240	25884
006878	0.01599	0.025941	0.00000	0.000000	240	0	242	26210
001140	0.01599	0.025926	0.00000	0.000000	240	0	240	25926
001123	0.01599	0.026074	0.00000	0.000000	240	0	244	26644
010036	0.01586	0.025866	0.00000	0.000000	238	0	238	25866
003131	0.01586	0.025714	0.00000	0.000000	238	0	238	25714
010983	0.01579	0.025662	0.00000	0.000000	237	0	238	25812
004825	0.01579	0.025620	0.00000	0.000000	237	0	238	25770
006512	0.01572	0.025466	0.00000	0.000000	236	0	238	25736
010762	0.01566	0.025582	0.00000	0.000000	235	0	236	25732
003879	0.01559	0.025465	0.00000	0.000000	234	0	236	25734
001085	0.01559	0.025362	0.00000	0.000000	234	0	236	25598
011351	0.01552	0.025358	0.00000	0.000000	233	0	236	25808
010110	0.01552	0.025206	0.00000	0.000000	233	0	234	25324
007630	0.01546	0.025216	0.00000	0.000000	232	0	232	25216
006644	0.01546	0.025156	0.00000	0.000000	232	0	232	25156
005345	0.01546	0.025064	0.00000	0.000000	232	0	232	25064
002978	0.01546	0.025150	0.00000	0.000000	232	0	234	25450
009208	0.01539	0.025058	0.00000	0.000000	231	0	232	25208
005127	0.01539	0.025000	0.00000	0.000000	231	0	232	25150
011324	0.01532	0.024822	0.00000	0.000000	230	0	230	24822
003248	0.01532	0.024887	0.00000	0.000000	230	0	232	25162
002669	0.01532	0.024848	0.00000	0.000000	230	0	232	25148
000067	0.01532	0.024828	0.00000	0.000000	230	0	230	24828
004929	0.01526	0.024713	0.00000	0.000000	229	0	230	24830
000952	0.01526	0.019981	0.00000	0.000000	229	0	230	20058
011443	0.01519	0.024608	0.00000	0.000000	228	0	228	24608
