#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
009855	0.02291	0.034284	0.00000	0.000000	316	0	316	34284
004122	0.02124	0.031744	0.00000	0.000000	293	0	294	31894
011687	0.02117	0.031538	0.00000	0.000000	292	0	292	31538
007684	0.02051	0.030574	0.00000	0.000000	283	0	284	30696
003574	0.02001	0.029790	0.00000	0.000000	276	0	276	29790
010833	0.01972	0.029435	0.00000	0.000000	272	0	276	30002
002358	0.01972	0.029346	0.00000	0.000000	272	0	272	29346
000173	0.01957	0.029210	0.00000	0.000000	270	0	272	29510
007282	0.01943	0.028870	0.00000	0.000000	268	0	268	28870
000576	0.01928	0.028822	0.00000	0.000000	266	0	266	28822
008310	0.01921	0.028656	0.00000	0.000000	265	0	266	28806
004981	0.01921	0.028605	0.00000	0.000000	265	0	266	28720
002087	0.01906	0.028320	0.00000	0.000000	263	0	264	28428
010977	0.01870	0.027974	0.00000	0.000000	258	0	258	27974
007401	0.01863	0.027868	0.00000	0.000000	257	0	258	28018
004055	0.01798	0.026814	0.00000	0.000000	248	0	250	27072
010314	0.01769	0.026422	0.00000	0.000000	244	0	244	26422
010770	0.01761	0.026394	0.00000	0.000000	243	0	244	26544
009882	0.01754	0.026192	0.00000	0.000000	242	0	242	26192
007728	0.01747	0.026126	0.00000	0.000000	241	0	242	26276
009339	0.01740	0.026004	0.00000	0.000000	240	0	244	26564
008070	0.01740	0.025884	0.00000	0.000000	240	0	240	25884
001907	0.01740	0.026000	0.00000	0.000000	240	0	240	26000
010518	0.01732	0.025822	0.00000	0.000000	239	0	240	25972
001371	0.01732	0.025900	0.00000	0.000000	239	0	240	26050
007835	0.01725	0.025778	0.00000	0.000000	238	0	238	25778
004572	0.01725	0.025724	0.00000	0.000000	238	0	240	26024
001774	0.01725	0.025622	0.00000	0.000000	238	0	238	25622
000242	0.01725	0.025736	0.00000	0.000000	238	0	240	26036
005480	0.01718	0.025607	0.00000	0.000000	237	0	242	26208
001281	0.01718	0.025718	0.00000	0.000000	237	0	238	25868
011853	0.01711	0.025468	0.00000	0.000000	236	0	236	25468
011110	0.01711	0.025464	0.00000	0.000000	236	0	236	25464
003968	0.01711	0.025724	0.00000	0.000000	236	0	238	26024
011562	0.01696	0.025378	0.00000	0.000000	234	0	234	25378
010349	0.01696	0.025280	0.00000	0.000000	234	0	234	25280
008872	0.01696	0.025382	0.00000	0.000000	234	0	234	25382
008295	0.01696	0.025416	0.00000	0.000000	234	0	236	25716
008205	0.01696	0.025262	0.00000	0.000000	234	0	234	25262
007609	0.01696	0.025256	0.00000	0.000000	234	0	234	25256
