#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
008619	0.25503	1.034729	0.00000	0.000000	10201	0	10212	1035790
009288	0.23588	0.936316	0.00000	0.000000	9435	0	9438	936602
009124	0.18705	0.766942	0.00000	0.000000	7482	0	7482	766942
004291	0.17665	0.697086	0.00000	0.000000	7066	0	7066	697086
003989	0.16145	0.651274	0.00000	0.000000	6458	0	6458	651274
003368	0.15940	0.643688	0.00000	0.000000	6376	0	6382	644268
004476	0.15323	0.619349	0.00003	0.000098	6129	1	6155	621826
009579	0.15180	0.615248	0.00000	0.000000	6072	0	6072	615248
004112	0.14808	0.596452	0.00000	0.000000	5923	0	5924	596550
004931	0.14460	0.579986	0.00000	0.000000	5784	0	5784	579986
006202	0.14275	0.573472	0.00000	0.000000	5710	0	5760	578046
005844	0.14238	0.578018	0.00000	0.000000	5695	0	5696	578116
009637	0.14040	0.558974	0.00000	0.000000	5616	0	5616	558974
010802	0.13970	0.566326	0.00000	0.000000	5588	0	5588	566326
006822	0.13743	0.548790	0.00000	0.000000	5497	0	5504	549450
000011	0.13595	0.559660	0.00000	0.000000	5438	0	5438	559660
009851	0.13373	0.537892	0.00000	0.000000	5349	0	5350	537990
008706	0.12860	0.517398	0.00000	0.000000	5144	0	5144	517398
003429	0.12845	0.519506	0.00000	0.000000	5138	0	5138	519506
003566	0.12520	0.501666	0.00000	0.000000	5008	0	5008	501666
004125	0.12473	0.505411	0.00000	0.000000	4989	0	4994	505876
002748	0.12120	0.485674	0.00000	0.000000	4848	0	4872	487932
000511	0.12105	0.489406	0.00000	0.000000	4842	0	4842	489406
011730	0.12098	0.494778	0.00000	0.000000	4839	0	4840	494878
008170	0.11920	0.488102	0.00000	0.000000	4768	0	4768	488102
003468	0.11738	0.479318	0.00000	0.000000	4695	0	4700	479806
007196	0.11585	0.468074	0.00000	0.000000	4634	0	4634	468074
006133	0.11575	0.467258	0.00000	0.000000	4630	0	4630	467258
002343	0.11450	0.465082	0.00000	0.000000	4580	0	4580	465082
009563	0.11293	0.450643	0.00000	0.000000	4517	0	4518	450738
005502	0.11150	0.451868	0.00000	0.000000	4460	0	4460	451868
004939	0.11075	0.450236	0.00000	0.000000	4430	0	4430	450236
004701	0.11023	0.445117	0.00000	0.000000	4409	0	4414	445592
007995	0.10855	0.443560	0.00000	0.000000	4342	0	4352	444510
005519	0.10715	0.428771	0.00000	0.000000	4286	0	4324	432350
004755	0.10565	0.426889	0.00000	0.000000	4226	0	4236	427858
006418	0.10403	0.416007	0.00000	0.000000	4161	0	4162	416098
002396	0.10375	0.419450	0.00000	0.000000	4150	0	4150	419450
004497	0.10263	0.412023	0.00000	0.000000	4105	0	4118	413258
010220	0.10233	0.413909	0.00000	0.000000	4093	0	4096	414194
000572	0.10173	0.404984	0.00000	0.000000	4069	0	4070	405082
003997	0.10140	0.410072	0.00000	0.000000	4056	0	4056	410072
004062	0.10083	0.404641	0.00000	0.000000	4033	0	4034	404740
000127	0.10070	0.408150	0.00000	0.000000	4028	0	4028	408150
006739	0.10035	0.408259	0.00000	0.000000	4014	0	4020	408848
002069	0.09828	0.392112	0.00000	0.000000	3931	0	3946	393528
005742	0.09825	0.383022	0.00000	0.000000	3930	0	3932	383208
002874	0.09815	0.394268	0.00000	0.000000	3926	0	3926	394268
001374	0.09355	0.375576	0.00000	0.000000	3742	0	3746	375960
011837	0.09345	0.378438	0.00000	0.000000	3738	0	3738	378438
003170	0.09323	0.377064	0.00000	0.000000	3729	0	3762	380036
011007	0.09175	0.375810	0.00000	0.000000	3670	0	3672	376006
002887	0.09145	0.372072	0.00000	0.000000	3658	0	3658	372072
008922	0.08928	0.364124	0.00000	0.000000	3571	0	3582	365192
006837	0.08900	0.358504	0.00000	0.000000	3560	0	3564	358852
008427	0.08815	0.358168	0.00000	0.000000	3526	0	3526	358168
003072	0.08778	0.352886	0.00000	0.000000	3511	0	3512	352984
005897	0.08625	0.351100	0.00000	0.000000	3450	0	3458	351860
001781	0.08618	0.348653	0.00000	0.000000	3447	0	3448	348748
006408	0.08565	0.339343	0.00000	0.000000	3426	0	3452	341714
009477	0.08530	0.344804	0.00000	0.000000	3412	0	3412	344804
007127	0.08525	0.344254	0.00000	0.000000	3410	0	3410	344254
010921	0.08515	0.346550	0.00000	0.000000	3406	0	3406	346550
002498	0.08515	0.346124	0.00000	0.000000	3406	0	3406	346124
011748	0.08435	0.341590	0.00000	0.000000	3374	0	3374	341590
004206	0.08405	0.342868	0.00000	0.000000	3362	0	3364	343062
005856	0.08175	0.333958	0.00000	0.000000	3270	0	3270	333958
004780	0.08153	0.328880	0.00000	0.000000	3261	0	3264	329162
008309	0.08145	0.325650	0.00000	0.000000	3258	0	3258	325650
005629	0.08075	0.322674	0.00000	0.000000	3230	0	3230	322674
006841	0.08028	0.325084	0.00000	0.000000	3211	0	3212	325182
011723	0.08025	0.324510	0.00000	0.000000	3210	0	3210	324510
007835	0.08015	0.322986	0.00000	0.000000	3206	0	3254	327406
003008	0.08000	0.324504	0.00000	0.000000	3200	0	3200	324504
003287	0.07983	0.322659	0.00000	0.000000	3193	0	3214	324668
002956	0.07960	0.315302	0.00000	0.000000	3184	0	3184	315302
009371	0.07940	0.313965	0.00000	0.000000	3176	0	3194	315650
004235	0.07910	0.322232	0.00000	0.000000	3164	0	3164	322232
000080	0.07895	0.322148	0.00000	0.000000	3158	0	3158	322148
006248	0.07885	0.320380	0.00000	0.000000	3154	0	3154	320380
001136	0.07848	0.314034	0.00000	0.000000	3139	0	3192	318964
008879	0.07688	0.309186	0.00000	0.000000	3075	0	3076	309282
000163	0.07688	0.303357	0.00000	0.000000	3075	0	3078	303636
001879	0.07655	0.303197	0.00000	0.000000	3062	0	3068	303758
003307	0.07650	0.306710	0.00000	0.000000	3060	0	3060	306710
008026	0.07630	0.309960	0.00000	0.000000	3052	0	3052	309960
010023	0.07605	0.309395	0.00000	0.000000	3042	0	3072	312214
004769	0.07473	0.299040	0.00000	0.000000	2989	0	2990	299136
005411	0.07455	0.296654	0.00000	0.000000	2982	0	2982	296654
004240	0.07450	0.301400	0.00000	0.000000	2980	0	2980	301400
