#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
008619	0.06411	0.070096	0.00000	0.000000	674	0	674	70096
009288	0.04670	0.051064	0.00000	0.000000	491	0	491	51064
009637	0.04594	0.050232	0.00000	0.000000	483	0	483	50232
000011	0.04575	0.050024	0.00000	0.000000	481	0	481	50024
003989	0.04518	0.049400	0.00000	0.000000	475	0	475	49400
003368	0.04014	0.043888	0.00000	0.000000	422	0	422	43888
008170	0.03757	0.041080	0.00000	0.000000	395	0	395	41080
009124	0.03614	0.039520	0.00000	0.000000	380	0	380	39520
009579	0.03605	0.039416	0.00000	0.000000	379	0	379	39416
003468	0.03519	0.038480	0.00000	0.000000	370	0	370	38480
000511	0.03415	0.037336	0.00000	0.000000	359	0	359	37336
010220	0.03339	0.036504	0.00000	0.000000	351	0	351	36504
004939	0.03224	0.035256	0.00000	0.000000	339	0	339	35256
005844	0.03129	0.034216	0.00000	0.000000	329	0	329	34216
002343	0.03082	0.033696	0.00000	0.000000	324	0	324	33696
000127	0.03053	0.033384	0.00000	0.000000	321	0	321	33384
005502	0.02949	0.032240	0.00000	0.000000	310	0	310	32240
004291	0.02930	0.032032	0.00000	0.000000	308	0	308	32032
011222	0.02806	0.030680	0.00000	0.000000	295	0	295	30680
006202	0.02796	0.030576	0.00000	0.000000	294	0	294	30576
006822	0.02644	0.028912	0.00000	0.000000	278	0	278	28912
008879	0.02549	0.027872	0.00000	0.000000	268	0	268	27872
004476	0.02492	0.027248	0.00000	0.000000	262	0	262	27248
011007	0.02435	0.026624	0.00000	0.000000	256	0	256	26624
003997	0.02416	0.026416	0.00000	0.000000	254	0	254	26416
001090	0.02416	0.026416	0.00000	0.000000	254	0	254	26416
008706	0.02378	0.026000	0.00000	0.000000	250	0	250	26000
007196	0.02340	0.025584	0.00000	0.000000	246	0	246	25584
004112	0.02311	0.025272	0.00000	0.000000	243	0	243	25272
002498	0.02292	0.025064	0.00000	0.000000	241	0	241	25064
007995	0.02264	0.024752	0.00000	0.000000	238	0	238	24752
006418	0.02254	0.024648	0.00000	0.000000	237	0	237	24648
009371	0.02226	0.024336	0.00000	0.000000	234	0	234	24336
008988	0.02207	0.024128	0.00000	0.000000	232	0	232	24128
004062	0.02207	0.024128	0.00000	0.000000	232	0	232	24128
001781	0.02207	0.024128	0.00000	0.000000	232	0	232	24128
009563	0.02197	0.024024	0.00000	0.000000	231	0	231	24024
011730	0.02169	0.023712	0.00000	0.000000	228	0	228	23712
004931	0.02169	0.023712	0.00000	0.000000	228	0	228	23712
003713	0.02159	0.023608	0.00000	0.000000	227	0	227	23608
002887	0.02140	0.023400	0.00000	0.000000	225	0	225	23400
009851	0.02112	0.023088	0.00000	0.000000	222	0	222	23088
011837	0.02102	0.022984	0.00000	0.000000	221	0	221	22984
000080	0.02102	0.022984	0.00000	0.000000	221	0	221	22984
010195	0.02093	0.022880	0.00000	0.000000	220	0	220	22880
008026	0.02074	0.022672	0.00000	0.000000	218	0	218	22672
003287	0.02016	0.022048	0.00000	0.000000	212	0	212	22048
006248	0.01997	0.021840	0.00000	0.000000	210	0	210	21840
004755	0.01988	0.021736	0.00000	0.000000	209	0	209	21736
004206	0.01988	0.021736	0.00000	0.000000	209	0	209	21736
002874	0.01959	0.021424	0.00000	0.000000	206	0	206	21424
005750	0.01940	0.021216	0.00000	0.000000	204	0	204	21216
003429	0.01940	0.021216	0.00000	0.000000	204	0	204	21216
007141	0.01921	0.021008	0.00000	0.000000	202	0	202	21008
007513	0.01883	0.020592	0.00000	0.000000	198	0	198	20592
002748	0.01883	0.020592	0.00000	0.000000	198	0	198	20592
006079	0.01864	0.020384	0.00000	0.000000	196	0	196	20384
002793	0.01864	0.020384	0.00000	0.000000	196	0	196	20384
010921	0.01855	0.020280	0.00000	0.000000	195	0	195	20280
010572	0.01845	0.020176	0.00000	0.000000	194	0	194	20176
003072	0.01836	0.020072	0.00000	0.000000	193	0	193	20072
008922	0.01798	0.019656	0.00000	0.000000	189	0	189	19656
005897	0.01788	0.019552	0.00000	0.000000	188	0	188	19552
005856	0.01760	0.019240	0.00000	0.000000	185	0	185	19240
006837	0.01741	0.019032	0.00000	0.000000	183	0	183	19032
003434	0.01741	0.019032	0.00000	0.000000	183	0	183	19032
009102	0.01731	0.018928	0.00000	0.000000	182	0	182	18928
005519	0.01722	0.018824	0.00000	0.000000	181	0	181	18824
000615	0.01722	0.018824	0.00000	0.000000	181	0	181	18824
002069	0.01693	0.018512	0.00000	0.000000	178	0	178	18512
004701	0.01684	0.018408	0.00000	0.000000	177	0	177	18408
007835	0.01674	0.018304	0.00000	0.000000	176	0	176	18304
010802	0.01665	0.018200	0.00000	0.000000	175	0	175	18200
009541	0.01655	0.018096	0.00000	0.000000	174	0	174	18096
011492	0.01636	0.017888	0.00000	0.000000	172	0	172	17888
000035	0.01626	0.017784	0.00000	0.000000	171	0	171	17784
011582	0.01598	0.017472	0.00000	0.000000	168	0	168	17472
004497	0.01598	0.017472	0.00000	0.000000	168	0	168	17472
007057	0.01588	0.017368	0.00000	0.000000	167	0	167	17368
003008	0.01588	0.017368	0.00000	0.000000	167	0	167	17368
011860	0.01560	0.017056	0.00000	0.000000	164	0	164	17056
007274	0.01550	0.016952	0.00000	0.000000	163	0	163	16952
001879	0.01541	0.016848	0.00000	0.000000	162	0	162	16848
001359	0.01541	0.016848	0.00000	0.000000	162	0	162	16848
007355	0.01531	0.016744	0.00000	0.000000	161	0	161	16744
005953	0.01522	0.016640	0.00000	0.000000	160	0	160	16640
004125	0.01522	0.016640	0.00000	0.000000	160	0	160	16640
003740	0.01503	0.016432	0.00000	0.000000	158	0	158	16432
011729	0.01493	0.016328	0.00000	0.000000	157	0	157	16328
006831	0.01493	0.016328	0.00000	0.000000	157	0	157	16328
002689	0.01484	0.016224	0.00000	0.000000	156	0	156	16224
011337	0.01474	0.016120	0.00000	0.000000	155	0	155	16120
003307	0.01474	0.016120	0.00000	0.000000	155	0	155	16120
004235	0.01465	0.016016	0.00000	0.000000	154	0	154	16016
001149	0.01465	0.016016	0.00000	0.000000	154	0	154	16016
011723	0.01455	0.015912	0.00000	0.000000	153	0	153	15912
008311	0.01455	0.015912	0.00000	0.000000	153	0	153	15912
007291	0.01455	0.015912	0.00000	0.000000	153	0	153	15912
005960	0.01455	0.015912	0.00000	0.000000	153	0	153	15912
004769	0.01455	0.015912	0.00000	0.000000	153	0	153	15912
004578	0.01455	0.015912	0.00000	0.000000	153	0	153	15912
007560	0.01436	0.015704	0.00000	0.000000	151	0	151	15704
006974	0.01427	0.015600	0.00000	0.000000	150	0	150	15600
001374	0.01427	0.015600	0.00000	0.000000	150	0	150	15600
011418	0.01408	0.015392	0.00000	0.000000	148	0	148	15392
