#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
009124	0.18830	0.772068	0.00000	0.000000	7532	0	7532	772068
009288	0.17438	0.692072	0.00000	0.000000	6975	0	6976	692164
008619	0.16840	0.683250	0.00000	0.000000	6736	0	6736	683250
003989	0.14035	0.566630	0.00000	0.000000	5614	0	5614	566630
003429	0.12495	0.505980	0.00000	0.000000	4998	0	4998	505980
004931	0.12220	0.490242	0.00000	0.000000	4888	0	4888	490242
004291	0.11855	0.467708	0.00000	0.000000	4742	0	4742	467708
000011	0.11525	0.474628	0.00000	0.000000	4610	0	4610	474628
004125	0.11325	0.458704	0.00000	0.000000	4530	0	4532	458890
006822	0.11315	0.452275	0.00000	0.000000	4526	0	4528	452464
005519	0.11293	0.451880	0.00000	0.000000	4517	0	4542	454230
000127	0.11270	0.456980	0.00000	0.000000	4508	0	4508	456980
004062	0.11230	0.450758	0.00000	0.000000	4492	0	4492	450758
009637	0.10965	0.436256	0.00000	0.000000	4386	0	4386	436256
003368	0.10905	0.440068	0.00000	0.000000	4362	0	4362	440068
005844	0.10860	0.440530	0.00000	0.000000	4344	0	4344	440530
006202	0.10713	0.431529	0.00000	0.000000	4285	0	4296	432540
011730	0.10660	0.435890	0.00000	0.000000	4264	0	4266	436066
007995	0.10535	0.430794	0.00000	0.000000	4214	0	4222	431554
004476	0.10408	0.419797	0.00000	0.000000	4163	0	4166	420082
009579	0.10310	0.418170	0.00000	0.000000	4124	0	4124	418170
003170	0.10135	0.411042	0.00000	0.000000	4054	0	4088	414102
004112	0.09988	0.402684	0.00000	0.000000	3995	0	3996	402782
003468	0.09613	0.392503	0.00000	0.000000	3845	0	3846	392600
005502	0.09480	0.384006	0.00000	0.000000	3792	0	3792	384006
004755	0.09240	0.373608	0.00000	0.000000	3696	0	3696	373608
003566	0.09180	0.368070	0.00000	0.000000	3672	0	3672	368070
008170	0.09155	0.374612	0.00000	0.000000	3662	0	3662	374612
010680	0.09103	0.364911	0.00000	0.000000	3641	0	3656	366336
010802	0.09095	0.368616	0.00000	0.000000	3638	0	3638	368616
009563	0.09085	0.362344	0.00000	0.000000	3634	0	3634	362344
008706	0.08825	0.354908	0.00000	0.000000	3530	0	3530	354908
010162	0.08663	0.344819	0.00000	0.000000	3465	0	3468	345098
009851	0.08635	0.348586	0.00000	0.000000	3454	0	3454	348586
003997	0.08595	0.347930	0.00000	0.000000	3438	0	3438	347930
005078	0.08578	0.341876	0.00000	0.000000	3431	0	3436	342340
005742	0.08510	0.330934	0.00000	0.000000	3404	0	3404	330934
002498	0.08490	0.344608	0.00000	0.000000	3396	0	3396	344608
004235	0.08230	0.335526	0.00000	0.000000	3292	0	3292	335526
006974	0.08210	0.336236	0.00000	0.000000	3284	0	3284	336236
002887	0.08150	0.331036	0.00000	0.000000	3260	0	3260	331036
002748	0.08130	0.326212	0.00000	0.000000	3252	0	3260	326964
011007	0.08075	0.331126	0.00000	0.000000	3230	0	3230	331126
004939	0.08055	0.327880	0.00000	0.000000	3222	0	3222	327880
006133	0.08035	0.324420	0.00000	0.000000	3214	0	3214	324420
006739	0.08010	0.325680	0.00000	0.000000	3204	0	3204	325680
002874	0.07975	0.320720	0.00000	0.000000	3190	0	3190	320720
010220	0.07960	0.322696	0.00000	0.000000	3184	0	3184	322696
006418	0.07940	0.317890	0.00000	0.000000	3176	0	3176	317890
011723	0.07935	0.321082	0.00000	0.000000	3174	0	3174	321082
000511	0.07875	0.318926	0.00000	0.000000	3150	0	3150	318926
002343	0.07790	0.316770	0.00000	0.000000	3116	0	3116	316770
006248	0.07745	0.314808	0.00000	0.000000	3098	0	3098	314808
009384	0.07695	0.305914	0.00000	0.000000	3078	0	3080	306094
009284	0.07695	0.313064	0.00000	0.000000	3078	0	3078	313064
009006	0.07660	0.307126	0.00000	0.000000	3064	0	3064	307126
006722	0.07615	0.311830	0.00000	0.000000	3046	0	3046	311830
007196	0.07590	0.307084	0.00000	0.000000	3036	0	3036	307084
004701	0.07460	0.301080	0.00000	0.000000	2984	0	2986	301270
004115	0.07415	0.301006	0.00000	0.000000	2966	0	2966	301006
002396	0.07235	0.292524	0.00000	0.000000	2894	0	2894	292524
004497	0.07218	0.289499	0.00000	0.000000	2887	0	2892	289974
005084	0.07165	0.287536	0.00000	0.000000	2866	0	2866	287536
003072	0.07080	0.284884	0.00000	0.000000	2832	0	2832	284884
001374	0.07023	0.281228	0.00000	0.000000	2809	0	2810	281324
011837	0.07010	0.283888	0.00000	0.000000	2804	0	2804	283888
005856	0.06995	0.285678	0.00000	0.000000	2798	0	2798	285678
000080	0.06990	0.285828	0.00000	0.000000	2796	0	2796	285828
003287	0.06890	0.278604	0.00000	0.000000	2756	0	2760	278980
001136	0.06825	0.273626	0.00000	0.000000	2730	0	2770	277346
008922	0.06815	0.277994	0.00000	0.000000	2726	0	2726	277994
002956	0.06595	0.260552	0.00000	0.000000	2638	0	2638	260552
002069	0.06575	0.263181	0.00000	0.000000	2630	0	2632	263370
000572	0.06490	0.258854	0.00000	0.000000	2596	0	2596	258854
000035	0.06465	0.263328	0.00000	0.000000	2586	0	2588	263522
007127	0.06435	0.260162	0.00000	0.000000	2574	0	2574	260162
006733	0.06423	0.260524	0.00000	0.000000	2569	0	2570	260616
004206	0.06418	0.261603	0.00000	0.000000	2567	0	2568	261700
000163	0.06380	0.252316	0.00000	0.000000	2552	0	2552	252316
010023	0.06363	0.258602	0.00000	0.000000	2545	0	2616	265274
005629	0.06360	0.253632	0.00000	0.000000	2544	0	2544	253632
011222	0.06288	0.254172	0.00000	0.000000	2515	0	2516	254268
003008	0.06270	0.254702	0.00000	0.000000	2508	0	2508	254702
008499	0.06250	0.242726	0.00000	0.000000	2500	0	2588	250792
005603	0.06185	0.245432	0.00000	0.000000	2474	0	2500	247824
005375	0.06165	0.247317	0.00000	0.000000	2466	0	2474	248086
008427	0.06160	0.250284	0.00000	0.000000	2464	0	2464	250284
001096	0.06115	0.247412	0.00000	0.000000	2446	0	2446	247412
009338	0.06085	0.246736	0.00000	0.000000	2434	0	2434	246736
007003	0.06075	0.245970	0.00000	0.000000	2430	0	2430	245970
006841	0.06010	0.243092	0.00000	0.000000	2404	0	2404	243092
008026	0.05973	0.242794	0.00000	0.000000	2389	0	2390	242890
010213	0.05900	0.238462	0.00000	0.000000	2360	0	2360	238462
006689	0.05890	0.237340	0.00000	0.000000	2356	0	2356	237340
006408	0.05883	0.233868	0.00000	0.000000	2353	0	2358	234320
009371	0.05873	0.232173	0.00000	0.000000	2349	0	2350	232266
002048	0.05870	0.237898	0.00000	0.000000	2348	0	2354	238464
003434	0.05860	0.237650	0.00000	0.000000	2344	0	2346	237840
011633	0.05850	0.233790	0.00000	0.000000	2340	0	2340	233790
006837	0.05820	0.234594	0.00000	0.000000	2328	0	2334	235116
007274	0.05773	0.231903	0.00000	0.000000	2309	0	2316	232554
007106	0.05770	0.234262	0.00000	0.000000	2308	0	2308	234262
008309	0.05768	0.230576	0.00000	0.000000	2307	0	2308	230666
001108	0.05730	0.233272	0.00000	0.000000	2292	0	2292	233272
006037	0.05700	0.221222	0.00000	0.000000	2280	0	2280	221222
002563	0.05690	0.231224	0.00000	0.000000	2276	0	2276	231224
008879	0.05665	0.227622	0.00000	0.000000	2266	0	2266	227622
001781	0.05660	0.228556	0.00000	0.000000	2264	0	2264	228556
000090	0.05650	0.231464	0.00000	0.000000	2260	0	2260	231464
010921	0.05625	0.228920	0.00000	0.000000	2250	0	2250	228920
009981	0.05615	0.222586	0.00000	0.000000	2246	0	2246	222586
005897	0.05600	0.227822	0.00000	0.000000	2240	0	2240	227822
006079	0.05540	0.226974	0.00000	0.000000	2216	0	2216	226974
005903	0.05538	0.218817	0.00000	0.000000	2215	0	2230	220152
004769	0.05535	0.221530	0.00000	0.000000	2214	0	2214	221530
007835	0.05533	0.222868	0.00000	0.000000	2213	0	2254	226640
011748	0.05525	0.223648	0.00000	0.000000	2210	0	2210	223648
007780	0.05523	0.223370	0.00000	0.000000	2209	0	2210	223462
003307	0.05505	0.220440	0.00000	0.000000	2202	0	2202	220440
009541	0.05485	0.222756	0.00000	0.000000	2194	0	2194	222756
000746	0.05425	0.221906	0.00000	0.000000	2170	0	2170	221906
003588	0.05380	0.218632	0.00000	0.000000	2152	0	2152	218632
006872	0.05365	0.214856	0.00000	0.000000	2146	0	2146	214856
006825	0.05340	0.218868	0.00000	0.000000	2136	0	2136	218868
005411	0.05335	0.212082	0.00000	0.000000	2134	0	2134	212082
009337	0.05315	0.213996	0.00000	0.000000	2126	0	2126	213996
000383	0.05290	0.213978	0.00000	0.000000	2116	0	2116	213978
007560	0.05235	0.210334	0.00000	0.000000	2094	0	2098	210718
004606	0.05215	0.208742	0.00000	0.000000	2086	0	2086	208742
001084	0.05203	0.211109	0.00000	0.000000	2081	0	2082	211204
008202	0.05200	0.211622	0.00000	0.000000	2080	0	2080	211622
001115	0.05195	0.210856	0.00000	0.000000	2078	0	2078	210856
011662	0.05180	0.209558	0.00000	0.000000	2072	0	2072	209558
007493	0.05175	0.208657	0.00000	0.000000	2070	0	2084	209978
010636	0.05165	0.208322	0.00000	0.000000	2066	0	2066	208322
004780	0.05140	0.206954	0.00000	0.000000	2056	0	2056	206954
003645	0.05123	0.208658	0.00000	0.000000	2049	0	2052	208940
007522	0.05108	0.205222	0.00000	0.000000	2043	0	2044	205318
009380	0.05105	0.203018	0.00000	0.000000	2042	0	2042	203018
003427	0.05100	0.203856	0.00000	0.000000	2040	0	2040	203856
010103	0.05075	0.205672	0.00000	0.000000	2030	0	2030	205672
005079	0.05070	0.206490	0.00000	0.000000	2028	0	2028	206490
002176	0.05065	0.205082	0.00000	0.000000	2026	0	2026	205082
005960	0.05060	0.205812	0.00000	0.000000	2024	0	2024	205812
004697	0.05055	0.206236	0.00000	0.000000	2022	0	2022	206236
004240	0.05055	0.204632	0.00000	0.000000	2022	0	2022	204632
000082	0.05050	0.202670	0.00000	0.000000	2020	0	2020	202670
008988	0.05043	0.206550	0.00000	0.000000	2017	0	2020	206852
000189	0.05023	0.201516	0.00000	0.000000	2009	0	2016	202146
009820	0.05020	0.200216	0.00000	0.000000	2008	0	2008	200216
000427	0.05015	0.204778	0.00000	0.000000	2006	0	2006	204778
000117	0.05013	0.201464	0.00000	0.000000	2005	0	2006	201558
010317	0.05010	0.204564	0.00000	0.000000	2004	0	2004	204564
010947	0.05008	0.195398	0.00000	0.000000	2003	0	2004	195490
000787	0.05005	0.197640	0.00000	0.000000	2002	0	2002	197640
009508	0.04970	0.200080	0.00000	0.000000	1988	0	1988	200080
001083	0.04960	0.202384	0.00000	0.000000	1984	0	1984	202384
001680	0.04885	0.193648	0.00000	0.000000	1954	0	1954	193648
002216	0.04865	0.197368	0.00000	0.000000	1946	0	1946	197368
000543	0.04855	0.193892	0.00000	0.000000	1942	0	1942	193892
000384	0.04825	0.195504	0.00000	0.000000	1930	0	1930	195504
001759	0.04823	0.194219	0.00000	0.000000	1929	0	1930	194312
005009	0.04790	0.193618	0.00000	0.000000	1916	0	1916	193618
011492	0.04770	0.188988	0.00000	0.000000	1908	0	1910	189176
006865	0.04770	0.194618	0.00000	0.000000	1908	0	1908	194618
004812	0.04705	0.189640	0.00000	0.000000	1882	0	1882	189640
011267	0.04700	0.191952	0.00000	0.000000	1880	0	1880	191952
010558	0.04700	0.184854	0.00000	0.000000	1880	0	1932	189648
009457	0.04700	0.188612	0.00000	0.000000	1880	0	1880	188612
007513	0.04680	0.191858	0.00000	0.000000	1872	0	1872	191858
004273	0.04665	0.187576	0.00000	0.000000	1866	0	1866	187576
007641	0.04658	0.184354	0.00000	0.000000	1863	0	1864	184450
003461	0.04650	0.180060	0.00000	0.000000	1860	0	1860	180060
005750	0.04640	0.189226	0.00000	0.000000	1856	0	1856	189226
002671	0.04640	0.186724	0.00000	0.000000	1856	0	1856	186724
001803	0.04640	0.188176	0.00000	0.000000	1856	0	1856	188176
007669	0.04623	0.189068	0.00000	0.000000	1849	0	1852	189350
007141	0.04620	0.183202	0.00000	0.000000	1848	0	1878	185810
005618	0.04620	0.184978	0.00000	0.000000	1848	0	1848	184978
005215	0.04620	0.189394	0.00000	0.000000	1848	0	1848	189394
005036	0.04620	0.188218	0.00000	0.000000	1848	0	1848	188218
000615	0.04618	0.185681	0.00000	0.000000	1847	0	1848	185776
000032	0.04605	0.187624	0.00000	0.000000	1842	0	1842	187624
001414	0.04595	0.182386	0.00000	0.000000	1838	0	1846	183124
008826	0.04590	0.184132	0.00000	0.000000	1836	0	1836	184132
007224	0.04590	0.187112	0.00000	0.000000	1836	0	1836	187112
008963	0.04560	0.184206	0.00000	0.000000	1824	0	1824	184206
009847	0.04555	0.182112	0.00000	0.000000	1822	0	1822	182112
011337	0.04510	0.183160	0.00000	0.000000	1804	0	1804	183160
009608	0.04505	0.182156	0.00000	0.000000	1802	0	1802	182156
007717	0.04500	0.180210	0.00000	0.000000	1800	0	1800	180210
005774	0.04495	0.180542	0.00000	0.000000	1798	0	1798	180542
010703	0.04493	0.182439	0.00000	0.000000	1797	0	1798	182534
001314	0.04490	0.180704	0.00000	0.000000	1796	0	1796	180704
009212	0.04468	0.182912	0.00000	0.000000	1787	0	1788	183006
007721	0.04463	0.180237	0.00000	0.000000	1785	0	1786	180334
006442	0.04455	0.180480	0.00000	0.000000	1782	0	1782	180480
007640	0.04448	0.181630	0.00000	0.000000	1779	0	1780	181724
005342	0.04440	0.178978	0.00000	0.000000	1776	0	1776	178978
011572	0.04425	0.180400	0.00000	0.000000	1770	0	1770	180400
002689	0.04398	0.176169	0.00000	0.000000	1759	0	1762	176448
006477	0.04395	0.176730	0.00000	0.000000	1758	0	1758	176730
005270	0.04385	0.177066	0.00000	0.000000	1754	0	1754	177066
