#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
000011	0.09600	0.105040	0.00000	0.000000	1010	0	1010	105040
009288	0.08041	0.087984	0.00000	0.000000	846	0	846	87984
009124	0.07908	0.086528	0.00000	0.000000	832	0	832	86528
008619	0.07376	0.080704	0.00000	0.000000	776	0	776	80704
004062	0.07319	0.080080	0.00000	0.000000	770	0	770	80080
003989	0.07091	0.077584	0.00000	0.000000	746	0	746	77584
000511	0.06293	0.068848	0.00000	0.000000	662	0	662	68848
008170	0.06178	0.067600	0.00000	0.000000	650	0	650	67600
004291	0.05665	0.061984	0.00000	0.000000	596	0	596	61984
003429	0.05599	0.061256	0.00000	0.000000	589	0	589	61256
007995	0.05542	0.060632	0.00000	0.000000	583	0	583	60632
006202	0.05504	0.060216	0.00000	0.000000	579	0	579	60216
000127	0.05466	0.059800	0.00000	0.000000	575	0	575	59800
004931	0.05428	0.059384	0.00000	0.000000	571	0	571	59384
002343	0.05351	0.058552	0.00000	0.000000	563	0	563	58552
003368	0.05237	0.057304	0.00000	0.000000	551	0	551	57304
009579	0.04952	0.054184	0.00000	0.000000	521	0	521	54184
005502	0.04848	0.053040	0.00000	0.000000	510	0	510	53040
011007	0.04781	0.052312	0.00000	0.000000	503	0	503	52312
008879	0.04677	0.051168	0.00000	0.000000	492	0	492	51168
004939	0.04648	0.050856	0.00000	0.000000	489	0	489	50856
003434	0.04629	0.050648	0.00000	0.000000	487	0	487	50648
008922	0.04553	0.049816	0.00000	0.000000	479	0	479	49816
006418	0.04458	0.048776	0.00000	0.000000	469	0	469	48776
009384	0.04429	0.048464	0.00000	0.000000	466	0	466	48464
002887	0.04420	0.048360	0.00000	0.000000	465	0	465	48360
009006	0.04410	0.048256	0.00000	0.000000	464	0	464	48256
002498	0.04344	0.047528	0.00000	0.000000	457	0	457	47528
006974	0.04258	0.046592	0.00000	0.000000	448	0	448	46592
005519	0.04239	0.046384	0.00000	0.000000	446	0	446	46384
011730	0.04230	0.046280	0.00000	0.000000	445	0	445	46280
010220	0.04230	0.046280	0.00000	0.000000	445	0	445	46280
008706	0.04154	0.045448	0.00000	0.000000	437	0	437	45448
009541	0.04087	0.044720	0.00000	0.000000	430	0	430	44720
006822	0.04078	0.044616	0.00000	0.000000	429	0	429	44616
003468	0.04059	0.044408	0.00000	0.000000	427	0	427	44408
003072	0.04011	0.043888	0.00000	0.000000	422	0	422	43888
005844	0.03945	0.043160	0.00000	0.000000	415	0	415	43160
002048	0.03926	0.042952	0.00000	0.000000	413	0	413	42952
004112	0.03897	0.042640	0.00000	0.000000	410	0	410	42640
011582	0.03878	0.042432	0.00000	0.000000	408	0	408	42432
005078	0.03812	0.041704	0.00000	0.000000	401	0	401	41704
007003	0.03793	0.041496	0.00000	0.000000	399	0	399	41496
009637	0.03603	0.039416	0.00000	0.000000	379	0	379	39416
002069	0.03603	0.039416	0.00000	0.000000	379	0	379	39416
001511	0.03564	0.039000	0.00000	0.000000	375	0	375	39000
000035	0.03526	0.038584	0.00000	0.000000	371	0	371	38584
004206	0.03498	0.038272	0.00000	0.000000	368	0	368	38272
006248	0.03469	0.037960	0.00000	0.000000	365	0	365	37960
006133	0.03460	0.037856	0.00000	0.000000	364	0	364	37856
003287	0.03412	0.037336	0.00000	0.000000	359	0	359	37336
002874	0.03393	0.037128	0.00000	0.000000	357	0	357	37128
008026	0.03289	0.035984	0.00000	0.000000	346	0	346	35984
005742	0.03241	0.035464	0.00000	0.000000	341	0	341	35464
009563	0.03232	0.035360	0.00000	0.000000	340	0	340	35360
003170	0.03213	0.035152	0.00000	0.000000	338	0	338	35152
001374	0.03213	0.035152	0.00000	0.000000	338	0	338	35152
006722	0.03203	0.035048	0.00000	0.000000	337	0	337	35048
004476	0.03203	0.035048	0.00000	0.000000	337	0	337	35048
000080	0.03203	0.035048	0.00000	0.000000	337	0	337	35048
011723	0.03194	0.034944	0.00000	0.000000	336	0	336	34944
011633	0.03165	0.034632	0.00000	0.000000	333	0	333	34632
011837	0.03099	0.033904	0.00000	0.000000	326	0	326	33904
003997	0.03051	0.033384	0.00000	0.000000	321	0	321	33384
009508	0.03032	0.033176	0.00000	0.000000	319	0	319	33176
000746	0.03004	0.032864	0.00000	0.000000	316	0	316	32864
008427	0.02985	0.032656	0.00000	0.000000	314	0	314	32656
007196	0.02985	0.032656	0.00000	0.000000	314	0	314	32656
003008	0.02966	0.032448	0.00000	0.000000	312	0	312	32448
004125	0.02947	0.032240	0.00000	0.000000	310	0	310	32240
007835	0.02918	0.031928	0.00000	0.000000	307	0	307	31928
007106	0.02890	0.031616	0.00000	0.000000	304	0	304	31616
004235	0.02871	0.031408	0.00000	0.000000	302	0	302	31408
007513	0.02823	0.030888	0.00000	0.000000	297	0	297	30888
008514	0.02814	0.030784	0.00000	0.000000	296	0	296	30784
001759	0.02814	0.030784	0.00000	0.000000	296	0	296	30784
004780	0.02785	0.030472	0.00000	0.000000	293	0	293	30472
002396	0.02785	0.030472	0.00000	0.000000	293	0	293	30472
005618	0.02776	0.030368	0.00000	0.000000	292	0	292	30368
002045	0.02776	0.030368	0.00000	0.000000	292	0	292	30368
004115	0.02766	0.030264	0.00000	0.000000	291	0	291	30264
011628	0.02757	0.030160	0.00000	0.000000	290	0	290	30160
007127	0.02757	0.030160	0.00000	0.000000	290	0	290	30160
005856	0.02747	0.030056	0.00000	0.000000	289	0	289	30056
002748	0.02747	0.030056	0.00000	0.000000	289	0	289	30056
007780	0.02738	0.029952	0.00000	0.000000	288	0	288	29952
003740	0.02728	0.029848	0.00000	0.000000	287	0	287	29848
009337	0.02690	0.029432	0.00000	0.000000	283	0	283	29432
005084	0.02680	0.029328	0.00000	0.000000	282	0	282	29328
001096	0.02671	0.029224	0.00000	0.000000	281	0	281	29224
006872	0.02661	0.029120	0.00000	0.000000	280	0	280	29120
006733	0.02652	0.029016	0.00000	0.000000	279	0	279	29016
002377	0.02652	0.029016	0.00000	0.000000	279	0	279	29016
008988	0.02642	0.028912	0.00000	0.000000	278	0	278	28912
005750	0.02642	0.028912	0.00000	0.000000	278	0	278	28912
006825	0.02633	0.028808	0.00000	0.000000	277	0	277	28808
004755	0.02623	0.028704	0.00000	0.000000	276	0	276	28704
003427	0.02604	0.028496	0.00000	0.000000	274	0	274	28496
011748	0.02585	0.028288	0.00000	0.000000	272	0	272	28288
011492	0.02585	0.028288	0.00000	0.000000	272	0	272	28288
003638	0.02585	0.028288	0.00000	0.000000	272	0	272	28288
006442	0.02538	0.027768	0.00000	0.000000	267	0	267	27768
000117	0.02528	0.027664	0.00000	0.000000	266	0	266	27664
000090	0.02528	0.027664	0.00000	0.000000	266	0	266	27664
010947	0.02519	0.027560	0.00000	0.000000	265	0	265	27560
002316	0.02519	0.027560	0.00000	0.000000	265	0	265	27560
009820	0.02500	0.027352	0.00000	0.000000	263	0	263	27352
010162	0.02481	0.027144	0.00000	0.000000	261	0	261	27144
005643	0.02481	0.027144	0.00000	0.000000	261	0	261	27144
001149	0.02471	0.027040	0.00000	0.000000	260	0	260	27040
001090	0.02443	0.026728	0.00000	0.000000	257	0	257	26728
011928	0.02433	0.026624	0.00000	0.000000	256	0	256	26624
006841	0.02433	0.026624	0.00000	0.000000	256	0	256	26624
000615	0.02433	0.026624	0.00000	0.000000	256	0	256	26624
011860	0.02424	0.026520	0.00000	0.000000	255	0	255	26520
005603	0.02414	0.026416	0.00000	0.000000	254	0	254	26416
001680	0.02405	0.026312	0.00000	0.000000	253	0	253	26312
001084	0.02395	0.026208	0.00000	0.000000	252	0	252	26208
003652	0.02367	0.025896	0.00000	0.000000	249	0	249	25896
003566	0.02348	0.025688	0.00000	0.000000	247	0	247	25688
007274	0.02329	0.025480	0.00000	0.000000	245	0	245	25480
003882	0.02329	0.025480	0.00000	0.000000	245	0	245	25480
010317	0.02319	0.025376	0.00000	0.000000	244	0	244	25376
003307	0.02319	0.025376	0.00000	0.000000	244	0	244	25376
010921	0.02291	0.025064	0.00000	0.000000	241	0	241	25064
005375	0.02291	0.025064	0.00000	0.000000	241	0	241	25064
002052	0.02291	0.025064	0.00000	0.000000	241	0	241	25064
000163	0.02291	0.025064	0.00000	0.000000	241	0	241	25064
005657	0.02281	0.024960	0.00000	0.000000	240	0	240	24960
009966	0.02272	0.024856	0.00000	0.000000	239	0	239	24856
007944	0.02272	0.024856	0.00000	0.000000	239	0	239	24856
003588	0.02272	0.024856	0.00000	0.000000	239	0	239	24856
001760	0.02272	0.024856	0.00000	0.000000	239	0	239	24856
004606	0.02253	0.024648	0.00000	0.000000	237	0	237	24648
003645	0.02253	0.024648	0.00000	0.000000	237	0	237	24648
011267	0.02243	0.024544	0.00000	0.000000	236	0	236	24544
010023	0.02243	0.024544	0.00000	0.000000	236	0	236	24544
000099	0.02243	0.024544	0.00000	0.000000	236	0	236	24544
005897	0.02234	0.024440	0.00000	0.000000	235	0	235	24440
004240	0.02234	0.024440	0.00000	0.000000	235	0	235	24440
006408	0.02224	0.024336	0.00000	0.000000	234	0	234	24336
005589	0.02224	0.024336	0.00000	0.000000	234	0	234	24336
003683	0.02215	0.024232	0.00000	0.000000	233	0	233	24232
011491	0.02205	0.024128	0.00000	0.000000	232	0	232	24128
006037	0.02205	0.024128	0.00000	0.000000	232	0	232	24128
010755	0.02177	0.023816	0.00000	0.000000	229	0	229	23816
