#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
009288	0.19385	0.770028	0.00000	0.000000	7754	0	7754	770028
009124	0.18930	0.776030	0.00000	0.000000	7572	0	7572	776030
008619	0.18735	0.759746	0.00000	0.000000	7494	0	7496	759938
003989	0.14130	0.571572	0.00000	0.000000	5652	0	5652	571572
003429	0.13870	0.561036	0.00000	0.000000	5548	0	5548	561036
004291	0.13735	0.541930	0.00000	0.000000	5494	0	5494	541930
000127	0.12580	0.510034	0.00000	0.000000	5032	0	5032	510034
004112	0.12250	0.493736	0.00000	0.000000	4900	0	4900	493736
004931	0.12180	0.487666	0.00000	0.000000	4872	0	4872	487666
003368	0.11540	0.465476	0.00000	0.000000	4616	0	4616	465476
006822	0.11493	0.457934	0.00000	0.000000	4597	0	4600	458220
005844	0.11485	0.465690	0.00000	0.000000	4594	0	4594	465690
011730	0.11338	0.462993	0.00000	0.000000	4535	0	4536	463092
006202	0.11255	0.452865	0.00000	0.000000	4502	0	4510	453608
010802	0.11250	0.456100	0.00000	0.000000	4500	0	4500	456100
004062	0.11220	0.449498	0.00000	0.000000	4488	0	4488	449498
005519	0.11018	0.440963	0.00000	0.000000	4407	0	4422	442376
003566	0.10985	0.440176	0.00000	0.000000	4394	0	4394	440176
009579	0.10920	0.443088	0.00000	0.000000	4368	0	4368	443088
009637	0.10865	0.432564	0.00000	0.000000	4346	0	4346	432564
004476	0.10800	0.435477	0.00000	0.000000	4320	0	4328	436238
000011	0.10650	0.438640	0.00000	0.000000	4260	0	4260	438640
004125	0.10408	0.421150	0.00000	0.000000	4163	0	4174	422172
007995	0.10310	0.421622	0.00000	0.000000	4124	0	4132	422382
005502	0.10160	0.411756	0.00000	0.000000	4064	0	4064	411756
011007	0.09925	0.405892	0.00000	0.000000	3970	0	3970	405892
003468	0.09828	0.401309	0.00000	0.000000	3931	0	3932	401406
009851	0.09820	0.396124	0.00000	0.000000	3928	0	3928	396124
000511	0.09675	0.391330	0.00000	0.000000	3870	0	3870	391330
004755	0.09468	0.383211	0.00000	0.000000	3787	0	3788	383308
008706	0.09330	0.375154	0.00000	0.000000	3732	0	3732	375154
004939	0.09245	0.376078	0.00000	0.000000	3698	0	3698	376078
003170	0.09210	0.371629	0.00000	0.000000	3684	0	3708	373790
008170	0.09200	0.376004	0.00000	0.000000	3680	0	3680	376004
005742	0.08905	0.347350	0.00000	0.000000	3562	0	3562	347350
004235	0.08810	0.359518	0.00000	0.000000	3524	0	3524	359518
003997	0.08705	0.352292	0.00000	0.000000	3482	0	3482	352292
006133	0.08685	0.351118	0.00000	0.000000	3474	0	3474	351118
002748	0.08643	0.346342	0.00000	0.000000	3457	0	3468	347384
002343	0.08615	0.350612	0.00000	0.000000	3446	0	3446	350612
009563	0.08530	0.340022	0.00000	0.000000	3412	0	3412	340022
010162	0.08440	0.335491	0.00000	0.000000	3376	0	3378	335674
001374	0.08428	0.338246	0.00000	0.000000	3371	0	3372	338342
004701	0.08385	0.338882	0.00000	0.000000	3354	0	3356	339072
009284	0.08325	0.339078	0.00000	0.000000	3330	0	3330	339078
007196	0.08275	0.334926	0.00000	0.000000	3310	0	3310	334926
002887	0.08235	0.334840	0.00000	0.000000	3294	0	3294	334840
006248	0.08160	0.331686	0.00000	0.000000	3264	0	3264	331686
002498	0.08145	0.330768	0.00000	0.000000	3258	0	3258	330768
010220	0.08073	0.326479	0.00000	0.000000	3229	0	3230	326574
004497	0.08065	0.324779	0.00000	0.000000	3226	0	3240	326106
