#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
009288	0.07260	0.079352	0.00000	0.000000	763	0	763	79352
004291	0.07060	0.077168	0.00000	0.000000	742	0	742	77168
009124	0.06841	0.074776	0.00000	0.000000	719	0	719	74776
008619	0.06441	0.070408	0.00000	0.000000	677	0	677	70408
004939	0.06051	0.066144	0.00000	0.000000	636	0	636	66144
011730	0.05966	0.065208	0.00000	0.000000	627	0	627	65208
003989	0.05909	0.064584	0.00000	0.000000	621	0	621	64584
004062	0.05880	0.064272	0.00000	0.000000	618	0	618	64272
003368	0.05880	0.064272	0.00000	0.000000	618	0	618	64272
011007	0.05794	0.063336	0.00000	0.000000	609	0	609	63336
000511	0.05728	0.062608	0.00000	0.000000	602	0	602	62608
000011	0.05661	0.061880	0.00000	0.000000	595	0	595	61880
000127	0.05176	0.056576	0.00000	0.000000	544	0	544	56576
003468	0.04795	0.052416	0.00000	0.000000	504	0	504	52416
006202	0.04577	0.050024	0.00000	0.000000	481	0	481	50024
005519	0.04320	0.047216	0.00000	0.000000	454	0	454	47216
011837	0.04215	0.046072	0.00000	0.000000	443	0	443	46072
008170	0.04158	0.045448	0.00000	0.000000	437	0	437	45448
008706	0.04044	0.044200	0.00000	0.000000	425	0	425	44200
008879	0.04006	0.043784	0.00000	0.000000	421	0	421	43784
004235	0.03987	0.043576	0.00000	0.000000	419	0	419	43576
007995	0.03968	0.043368	0.00000	0.000000	417	0	417	43368
003429	0.03949	0.043160	0.00000	0.000000	415	0	415	43160
006248	0.03939	0.043056	0.00000	0.000000	414	0	414	43056
005844	0.03901	0.042640	0.00000	0.000000	410	0	410	42640
009637	0.03853	0.042120	0.00000	0.000000	405	0	405	42120
005502	0.03739	0.040872	0.00000	0.000000	393	0	393	40872
004476	0.03720	0.040664	0.00000	0.000000	391	0	391	40664
004112	0.03673	0.040144	0.00000	0.000000	386	0	386	40144
009579	0.03616	0.039520	0.00000	0.000000	380	0	380	39520
004780	0.03606	0.039416	0.00000	0.000000	379	0	379	39416
003997	0.03520	0.038480	0.00000	0.000000	370	0	370	38480
010220	0.03511	0.038376	0.00000	0.000000	369	0	369	38376
006822	0.03435	0.037544	0.00000	0.000000	361	0	361	37544
002343	0.03435	0.037544	0.00000	0.000000	361	0	361	37544
004931	0.03349	0.036608	0.00000	0.000000	352	0	352	36608
004125	0.03340	0.036504	0.00000	0.000000	351	0	351	36504
006133	0.03245	0.035464	0.00000	0.000000	341	0	341	35464
004206	0.03245	0.035464	0.00000	0.000000	341	0	341	35464
008026	0.03216	0.035152	0.00000	0.000000	338	0	338	35152
002887	0.03159	0.034528	0.00000	0.000000	332	0	332	34528
006079	0.03111	0.034008	0.00000	0.000000	327	0	327	34008
010802	0.03092	0.033800	0.00000	0.000000	325	0	325	33800
009371	0.03092	0.033800	0.00000	0.000000	325	0	325	33800
007196	0.03083	0.033696	0.00000	0.000000	324	0	324	33696
003072	0.03064	0.033488	0.00000	0.000000	322	0	322	33488
003434	0.03016	0.032968	0.00000	0.000000	317	0	317	32968
010921	0.02988	0.032656	0.00000	0.000000	314	0	314	32656
000080	0.02978	0.032552	0.00000	0.000000	313	0	313	32552
004115	0.02969	0.032448	0.00000	0.000000	312	0	312	32448
003287	0.02940	0.032136	0.00000	0.000000	309	0	309	32136
001149	0.02940	0.032136	0.00000	0.000000	309	0	309	32136
009508	0.02921	0.031928	0.00000	0.000000	307	0	307	31928
005078	0.02912	0.031824	0.00000	0.000000	306	0	306	31824
009541	0.02854	0.031200	0.00000	0.000000	300	0	300	31200
009212	0.02845	0.031096	0.00000	0.000000	299	0	299	31096
003008	0.02835	0.030992	0.00000	0.000000	298	0	298	30992
000035	0.02826	0.030888	0.00000	0.000000	297	0	297	30888
