#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
007427	0.03470	0.140144	0.00000	0.000000	1388	0	1388	140144
004224	0.02785	0.114582	0.00000	0.000000	1114	0	1114	114582
010125	0.02530	0.104214	0.00000	0.000000	1012	0	1012	104214
010538	0.02480	0.101100	0.00000	0.000000	992	0	992	101100
003775	0.02445	0.099854	0.00000	0.000000	978	0	978	99854
003881	0.02350	0.096774	0.00000	0.000000	940	0	940	96774
001749	0.02340	0.095590	0.00000	0.000000	936	0	936	95590
002658	0.02325	0.094858	0.00000	0.000000	930	0	930	94858
010354	0.02295	0.094580	0.00000	0.000000	918	0	918	94580
002742	0.02290	0.091674	0.00000	0.000000	916	0	916	91674
001067	0.02210	0.090152	0.00000	0.000000	884	0	884	90152
010972	0.02160	0.084708	0.00000	0.000000	864	0	864	84708
007855	0.02160	0.088094	0.00000	0.000000	864	0	864	88094
001321	0.02155	0.087028	0.00000	0.000000	862	0	862	87028
004299	0.02135	0.087112	0.00000	0.000000	854	0	854	87112
010767	0.02120	0.086286	0.00000	0.000000	848	0	848	86286
008222	0.02110	0.086126	0.00000	0.000000	844	0	844	86126
007808	0.02110	0.085626	0.00000	0.000000	844	0	844	85626
011634	0.02100	0.086528	0.00000	0.000000	840	0	840	86528
005872	0.02095	0.084606	0.00000	0.000000	838	0	838	84606
000194	0.02090	0.085428	0.00000	0.000000	836	0	836	85428
010142	0.02085	0.085038	0.00000	0.000000	834	0	834	85038
004431	0.02085	0.085914	0.00000	0.000000	834	0	834	85914
003696	0.02080	0.084046	0.00000	0.000000	832	0	832	84046
001415	0.02060	0.084838	0.00000	0.000000	824	0	824	84838
001930	0.02050	0.083650	0.00000	0.000000	820	0	820	83650
009380	0.02045	0.081758	0.00000	0.000000	818	0	818	81758
004614	0.02040	0.083250	0.00000	0.000000	816	0	816	83250
010299	0.02035	0.083882	0.00000	0.000000	814	0	814	83882
002358	0.02035	0.082252	0.00000	0.000000	814	0	814	82252
004213	0.02030	0.083618	0.00000	0.000000	812	0	812	83618
011907	0.02020	0.082424	0.00000	0.000000	808	0	808	82424
010982	0.02020	0.081616	0.00000	0.000000	808	0	808	81616
010041	0.02020	0.082574	0.00000	0.000000	808	0	808	82574
009476	0.02020	0.083234	0.00000	0.000000	808	0	808	83234
007059	0.02020	0.082414	0.00000	0.000000	808	0	808	82414
004182	0.02020	0.083190	0.00000	0.000000	808	0	808	83190
003625	0.02020	0.081474	0.00000	0.000000	808	0	808	81474
003286	0.02020	0.083246	0.00000	0.000000	808	0	808	83246
001764	0.02010	0.082034	0.00000	0.000000	804	0	804	82034
000429	0.02010	0.082032	0.00000	0.000000	804	0	804	82032
008038	0.02000	0.079586	0.00000	0.000000	800	0	800	79586
007705	0.01995	0.079888	0.00000	0.000000	798	0	798	79888
010807	0.01990	0.078184	0.00000	0.000000	796	0	796	78184
007736	0.01990	0.081298	0.00000	0.000000	796	0	796	81298
000509	0.01985	0.080296	0.00000	0.000000	794	0	794	80296
005702	0.01980	0.080866	0.00000	0.000000	792	0	792	80866
011405	0.01975	0.080614	0.00000	0.000000	790	0	790	80614
010083	0.01975	0.079698	0.00000	0.000000	790	0	790	79698
001002	0.01975	0.080620	0.00000	0.000000	790	0	790	80620
011114	0.01965	0.079446	0.00000	0.000000	786	0	786	79446
002250	0.01965	0.080986	0.00000	0.000000	786	0	786	80986
