#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
007427	0.02612	0.052208	0.00000	0.000000	502	0	502	52208
004224	0.02186	0.043680	0.00000	0.000000	420	0	420	43680
010125	0.02128	0.042536	0.00000	0.000000	409	0	409	42536
010354	0.02108	0.042120	0.00000	0.000000	405	0	405	42120
010299	0.01915	0.038272	0.00000	0.000000	368	0	368	38272
002658	0.01894	0.037856	0.00000	0.000000	364	0	364	37856
001749	0.01889	0.037752	0.00000	0.000000	363	0	363	37752
011634	0.01863	0.037232	0.00000	0.000000	358	0	358	37232
001321	0.01847	0.036920	0.00000	0.000000	355	0	355	36920
001215	0.01832	0.036608	0.00000	0.000000	352	0	352	36608
010538	0.01821	0.036400	0.00000	0.000000	350	0	350	36400
009380	0.01821	0.036400	0.00000	0.000000	350	0	350	36400
003881	0.01816	0.036296	0.00000	0.000000	349	0	349	36296
008738	0.01795	0.035880	0.00000	0.000000	345	0	345	35880
007596	0.01785	0.035672	0.00000	0.000000	343	0	343	35672
010142	0.01780	0.035568	0.00000	0.000000	342	0	342	35568
004182	0.01775	0.035464	0.00000	0.000000	341	0	341	35464
000429	0.01775	0.035464	0.00000	0.000000	341	0	341	35464
011405	0.01764	0.035256	0.00000	0.000000	339	0	339	35256
003775	0.01764	0.035256	0.00000	0.000000	339	0	339	35256
007808	0.01759	0.035152	0.00000	0.000000	338	0	338	35152
001415	0.01759	0.035152	0.00000	0.000000	338	0	338	35152
010807	0.01754	0.035048	0.00000	0.000000	337	0	337	35048
010641	0.01754	0.035048	0.00000	0.000000	337	0	337	35048
004431	0.01723	0.034424	0.00000	0.000000	331	0	331	34424
001002	0.01717	0.034320	0.00000	0.000000	330	0	330	34320
004213	0.01712	0.034216	0.00000	0.000000	329	0	329	34216
007855	0.01707	0.034112	0.00000	0.000000	328	0	328	34112
001764	0.01707	0.034112	0.00000	0.000000	328	0	328	34112
000509	0.01707	0.034112	0.00000	0.000000	328	0	328	34112
011116	0.01696	0.033904	0.00000	0.000000	326	0	326	33904
004614	0.01696	0.033904	0.00000	0.000000	326	0	326	33904
003696	0.01691	0.033800	0.00000	0.000000	325	0	325	33800
010041	0.01686	0.033696	0.00000	0.000000	324	0	324	33696
010982	0.01676	0.033488	0.00000	0.000000	322	0	322	33488
010767	0.01676	0.033488	0.00000	0.000000	322	0	322	33488
007529	0.01676	0.033488	0.00000	0.000000	322	0	322	33488
002742	0.01676	0.033488	0.00000	0.000000	322	0	322	33488
000281	0.01665	0.033280	0.00000	0.000000	320	0	320	33280
