#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
001067	0.03537	0.070512	0.00000	0.000000	678	0	678	70512
005663	0.03213	0.064064	0.00000	0.000000	616	0	616	64064
001749	0.03203	0.063856	0.00000	0.000000	614	0	614	63856
011907	0.03192	0.063648	0.00000	0.000000	612	0	612	63648
000360	0.03145	0.062712	0.00000	0.000000	603	0	603	62712
003881	0.03125	0.062296	0.00000	0.000000	599	0	599	62296
011743	0.03098	0.061776	0.00000	0.000000	594	0	594	61776
007427	0.02989	0.059592	0.00000	0.000000	573	0	573	59592
011571	0.02978	0.059384	0.00000	0.000000	571	0	571	59384
010299	0.02932	0.058448	0.00000	0.000000	562	0	562	58448
010354	0.02916	0.058136	0.00000	0.000000	559	0	559	58136
006768	0.02874	0.057304	0.00000	0.000000	551	0	551	57304
000343	0.02859	0.056992	0.00000	0.000000	548	0	548	56992
007705	0.02838	0.056576	0.00000	0.000000	544	0	544	56576
004335	0.02827	0.056368	0.00000	0.000000	542	0	542	56368
009283	0.02817	0.056160	0.00000	0.000000	540	0	540	56160
005702	0.02817	0.056160	0.00000	0.000000	540	0	540	56160
000347	0.02812	0.056056	0.00000	0.000000	539	0	539	56056
000358	0.02775	0.055328	0.00000	0.000000	532	0	532	55328
004213	0.02765	0.055120	0.00000	0.000000	530	0	530	55120
001289	0.02759	0.055016	0.00000	0.000000	529	0	529	55016
006509	0.02754	0.054912	0.00000	0.000000	528	0	528	54912
003097	0.02739	0.054600	0.00000	0.000000	525	0	525	54600
003461	0.02733	0.054496	0.00000	0.000000	524	0	524	54496
006427	0.02712	0.054080	0.00000	0.000000	520	0	520	54080
004493	0.02671	0.053248	0.00000	0.000000	512	0	512	53248
006965	0.02655	0.052936	0.00000	0.000000	509	0	509	52936
011375	0.02645	0.052728	0.00000	0.000000	507	0	507	52728
004966	0.02645	0.052728	0.00000	0.000000	507	0	507	52728
010292	0.02639	0.052624	0.00000	0.000000	506	0	506	52624
