#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
005702	0.04490	0.183340	0.00000	0.000000	1796	0	1796	183340
007427	0.04220	0.170592	0.00000	0.000000	1688	0	1688	170592
004224	0.03950	0.162676	0.00000	0.000000	1580	0	1580	162676
011634	0.03800	0.156472	0.00000	0.000000	1520	0	1520	156472
004299	0.03555	0.145408	0.00000	0.000000	1422	0	1422	145408
011907	0.03540	0.144264	0.00000	0.000000	1416	0	1416	144264
001926	0.03495	0.144030	0.00000	0.000000	1398	0	1398	144030
000429	0.03320	0.135360	0.00000	0.000000	1328	0	1328	135360
004213	0.03305	0.135840	0.00000	0.000000	1322	0	1322	135840
010538	0.03280	0.133928	0.00000	0.000000	1312	0	1312	133928
007093	0.03265	0.134600	0.00000	0.000000	1306	0	1306	134600
006509	0.03265	0.133168	0.00000	0.000000	1306	0	1306	133168
007529	0.03185	0.129884	0.00000	0.000000	1274	0	1274	129884
011615	0.03170	0.130556	0.00000	0.000000	1268	0	1268	130556
002462	0.03080	0.125674	0.00000	0.000000	1232	0	1232	125674
001749	0.03060	0.124770	0.00000	0.000000	1224	0	1224	124770
003664	0.03040	0.124138	0.00000	0.000000	1216	0	1216	124138
009941	0.03035	0.125118	0.00000	0.000000	1214	0	1214	125118
003881	0.03020	0.124528	0.00000	0.000000	1208	0	1208	124528
006433	0.02985	0.120686	0.00000	0.000000	1194	0	1194	120686
003624	0.02950	0.120314	0.00000	0.000000	1180	0	1180	120314
011536	0.02940	0.117614	0.00000	0.000000	1176	0	1176	117614
008626	0.02925	0.117288	0.00000	0.000000	1170	0	1170	117288
008038	0.02925	0.116378	0.00000	0.000000	1170	0	1170	116378
007059	0.02925	0.119374	0.00000	0.000000	1170	0	1170	119374
003775	0.02925	0.119416	0.00000	0.000000	1170	0	1170	119416
000979	0.02915	0.118968	0.00000	0.000000	1166	0	1166	118968
007653	0.02895	0.117156	0.00000	0.000000	1158	0	1158	117156
010354	0.02875	0.118464	0.00000	0.000000	1150	0	1150	118464
004398	0.02875	0.117210	0.00000	0.000000	1150	0	1150	117210
000132	0.02875	0.117436	0.00000	0.000000	1150	0	1150	117436
005917	0.02870	0.118374	0.00000	0.000000	1148	0	1148	118374
011565	0.02860	0.116756	0.00000	0.000000	1144	0	1144	116756
001071	0.02840	0.114838	0.00000	0.000000	1136	0	1136	114838
010292	0.02820	0.111658	0.00000	0.000000	1128	0	1128	111658
011383	0.02810	0.114708	0.00000	0.000000	1124	0	1124	114708
011116	0.02805	0.115582	0.00000	0.000000	1122	0	1122	115582
010972	0.02800	0.109930	0.00000	0.000000	1120	0	1120	109930
002045	0.02800	0.112090	0.00000	0.000000	1120	0	1120	112090
010299	0.02795	0.115290	0.00000	0.000000	1118	0	1118	115290
005785	0.02795	0.113754	0.00000	0.000000	1118	0	1118	113754
003897	0.02790	0.112808	0.00000	0.000000	1116	0	1116	112808
004485	0.02775	0.114454	0.00000	0.000000	1110	0	1110	114454
002858	0.02775	0.113186	0.00000	0.000000	1110	0	1110	113186
008094	0.02745	0.112064	0.00000	0.000000	1098	0	1098	112064
002442	0.02740	0.112924	0.00000	0.000000	1096	0	1096	112924
001067	0.02735	0.111532	0.00000	0.000000	1094	0	1094	111532
001716	0.02730	0.109710	0.00000	0.000000	1092	0	1092	109710
009283	0.02715	0.111156	0.00000	0.000000	1086	0	1086	111156
001799	0.02705	0.110492	0.00000	0.000000	1082	0	1082	110492
007441	0.02700	0.109512	0.00000	0.000000	1080	0	1080	109512
005190	0.02700	0.110288	0.00000	0.000000	1080	0	1080	110288
003669	0.02690	0.108836	0.00000	0.000000	1076	0	1076	108836
004492	0.02670	0.109128	0.00000	0.000000	1068	0	1068	109128
007738	0.02660	0.107474	0.00000	0.000000	1064	0	1064	107474
