#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
008566	0.37280	1.508472	0.00000	0.000000	14912	0	14912	1508472
003514	0.32593	1.283375	0.00000	0.000000	13037	0	13190	1297196
003916	0.31758	1.287728	0.00000	0.000000	12703	0	12704	1287824
005376	0.25655	1.040072	0.00000	0.000000	10262	0	10262	1040072
004825	0.23695	0.957112	0.00000	0.000000	9478	0	9478	957112
006022	0.23430	0.944756	0.00000	0.000000	9372	0	9372	944756
000282	0.21830	0.894778	0.00000	0.000000	8732	0	8732	894778
008302	0.20980	0.860410	0.00000	0.000000	8392	0	8392	860410
003888	0.20645	0.828716	0.00000	0.000000	8258	0	8258	828716
000151	0.20520	0.823378	0.00000	0.000000	8208	0	8210	823568
008838	0.19858	0.806394	0.00000	0.000000	7943	0	7950	807046
011959	0.18305	0.743964	0.00000	0.000000	7322	0	7322	743964
005757	0.18295	0.721010	0.00000	0.000000	7318	0	7318	721010
009585	0.17900	0.714310	0.00000	0.000000	7160	0	7160	714310
000694	0.17710	0.717134	0.00000	0.000000	7084	0	7084	717134
003253	0.17160	0.697552	0.00000	0.000000	6864	0	6864	697552
004826	0.17155	0.692742	0.00000	0.000000	6862	0	6862	692742
000654	0.16515	0.659608	0.00000	0.000000	6606	0	6606	659608
008167	0.16465	0.665236	0.00000	0.000000	6586	0	6586	665236
009799	0.16353	0.654747	0.00000	0.000000	6541	0	6570	657432
003940	0.16315	0.655330	0.00000	0.000000	6526	0	6526	655330
005792	0.16185	0.657296	0.00000	0.000000	6474	0	6474	657296
010088	0.16140	0.645606	0.00000	0.000000	6456	0	6456	645606
003498	0.16135	0.660930	0.00000	0.000000	6454	0	6454	660930
006729	0.15800	0.625052	0.00000	0.000000	6320	0	6320	625052
000229	0.15570	0.621710	0.00000	0.000000	6228	0	6228	621710
003081	0.15568	0.634281	0.00000	0.000000	6227	0	6230	634560
009708	0.15188	0.611399	0.00000	0.000000	6075	0	6100	613732
002551	0.14670	0.599406	0.00000	0.000000	5868	0	5868	599406
005021	0.14580	0.596652	0.00000	0.000000	5832	0	5832	596652
009265	0.14125	0.577016	0.00000	0.000000	5650	0	5650	577016
007444	0.14015	0.567708	0.00000	0.000000	5606	0	5654	572268
009170	0.13920	0.531746	0.00000	0.000000	5568	0	5568	531746
005266	0.13780	0.559740	0.00000	0.000000	5512	0	5512	559740
001072	0.13645	0.543586	0.00000	0.000000	5458	0	5466	544338
002392	0.13440	0.538456	0.00000	0.000000	5376	0	5376	538456
007235	0.13285	0.534766	0.00000	0.000000	5314	0	5314	534766
008435	0.13078	0.529540	0.00000	0.000000	5231	0	5232	529632
004830	0.12940	0.529544	0.00000	0.000000	5176	0	5176	529544
001424	0.12873	0.524223	0.00000	0.000000	5149	0	5158	525078
003641	0.12790	0.521664	0.00000	0.000000	5116	0	5118	521850
005837	0.12710	0.519678	0.00000	0.000000	5084	0	5084	519678
001663	0.12530	0.497714	0.00000	0.000000	5012	0	5014	497896
009565	0.12405	0.504582	0.00000	0.000000	4962	0	4962	504582
009047	0.12230	0.486388	0.00000	0.000000	4892	0	4892	486388
011179	0.12110	0.493988	0.00000	0.000000	4844	0	4844	493988
003603	0.12085	0.486716	0.00000	0.000000	4834	0	4834	486716
007718	0.12080	0.475346	0.00000	0.000000	4832	0	4832	475346
003662	0.12025	0.479908	0.00000	0.000000	4810	0	4810	479908
008206	0.12020	0.474746	0.00000	0.000000	4808	0	4808	474746
002329	0.11823	0.482239	0.00000	0.000000	4729	0	4730	482336
000134	0.11705	0.471024	0.00000	0.000000	4682	0	4682	471024
002356	0.11565	0.472272	0.00000	0.000000	4626	0	4626	472272
008559	0.11535	0.461080	0.00000	0.000000	4614	0	4614	461080
009953	0.11410	0.452858	0.00000	0.000000	4564	0	4566	453048
001599	0.11340	0.457802	0.00000	0.000000	4536	0	4536	457802
010332	0.11320	0.457746	0.00000	0.000000	4528	0	4528	457746
011216	0.11230	0.453058	0.00000	0.000000	4492	0	4492	453058
000624	0.11230	0.454314	0.00000	0.000000	4492	0	4492	454314
003496	0.11150	0.451240	0.00000	0.000000	4460	0	4460	451240
005265	0.11098	0.444322	0.00000	0.000000	4439	0	4454	445688
004148	0.10948	0.443262	0.00000	0.000000	4379	0	4380	443356
004920	0.10910	0.441230	0.00000	0.000000	4364	0	4364	441230
011447	0.10845	0.434748	0.00000	0.000000	4338	0	4338	434748
005267	0.10780	0.441160	0.00000	0.000000	4312	0	4312	441160
011014	0.10775	0.427510	0.00000	0.000000	4310	0	4310	427510
010173	0.10698	0.433519	0.00000	0.000000	4279	0	4280	433614
007388	0.10615	0.424609	0.00000	0.000000	4246	0	4346	433514
011118	0.10598	0.430370	0.00000	0.000000	4239	0	4242	430656
003430	0.10495	0.413730	0.00000	0.000000	4198	0	4202	414104
004471	0.10475	0.418366	0.00000	0.000000	4190	0	4190	418366
005138	0.10465	0.428756	0.00000	0.000000	4186	0	4186	428756
008850	0.10395	0.421936	0.00000	0.000000	4158	0	4158	421936
007358	0.10390	0.421448	0.00000	0.000000	4156	0	4156	421448
001151	0.10368	0.421721	0.00000	0.000000	4147	0	4156	422522
007553	0.10350	0.423520	0.00000	0.000000	4140	0	4140	423520
004691	0.10200	0.412704	0.00000	0.000000	4080	0	4080	412704
002465	0.10158	0.414691	0.00000	0.000000	4063	0	4064	414784
002298	0.10125	0.410828	0.00000	0.000000	4050	0	4050	410828
003394	0.10093	0.406172	0.00000	0.000000	4037	0	4040	406454
003960	0.10088	0.406088	0.00000	0.000000	4035	0	4036	406174
010070	0.10085	0.407668	0.00000	0.000000	4034	0	4034	407668
004440	0.10050	0.404070	0.00000	0.000000	4020	0	4020	404070
002472	0.09800	0.393048	0.00000	0.000000	3920	0	3920	393048
004520	0.09645	0.393700	0.00000	0.000000	3858	0	3858	393700
005094	0.09615	0.387460	0.00000	0.000000	3846	0	3846	387460
000541	0.09588	0.383025	0.00000	0.000000	3835	0	3838	383310
005053	0.09565	0.376464	0.00000	0.000000	3826	0	3826	376464
002974	0.09545	0.382426	0.00000	0.000000	3818	0	3834	383904
010210	0.09535	0.386686	0.00000	0.000000	3814	0	3814	386686
008342	0.09450	0.384264	0.00000	0.000000	3780	0	3780	384264
001944	0.09445	0.386304	0.00000	0.000000	3778	0	3778	386304
008050	0.09425	0.380124	0.00000	0.000000	3770	0	3770	380124
006125	0.09355	0.379730	0.00000	0.000000	3742	0	3742	379730
002820	0.09355	0.381334	0.00000	0.000000	3742	0	3742	381334
001450	0.09170	0.370712	0.00000	0.000000	3668	0	3668	370712
010795	0.09050	0.365680	0.00000	0.000000	3620	0	3620	365680
010622	0.08985	0.359900	0.00000	0.000000	3594	0	3594	359900
007785	0.08870	0.360007	0.00000	0.000000	3548	0	3550	360194
007698	0.08865	0.359174	0.00000	0.000000	3546	0	3546	359174
000405	0.08858	0.358940	0.00000	0.000000	3543	0	3544	359040
001493	0.08790	0.353824	0.00000	0.000000	3516	0	3516	353824
