#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
008566	0.28931	0.315848	0.00000	0.000000	3037	0	3037	315848
003514	0.27045	0.295256	0.00000	0.000000	2839	0	2839	295256
000282	0.23082	0.251992	0.00000	0.000000	2423	0	2423	251992
003916	0.20252	0.221104	0.00000	0.000000	2126	0	2126	221104
005376	0.17604	0.192192	0.00000	0.000000	1848	0	1848	192192
008302	0.16833	0.183768	0.00000	0.000000	1767	0	1767	183768
005757	0.16261	0.177528	0.00000	0.000000	1707	0	1707	177528
004825	0.14527	0.158600	0.00000	0.000000	1525	0	1525	158600
003081	0.13746	0.150072	0.00000	0.000000	1443	0	1443	150072
011959	0.13232	0.144456	0.00000	0.000000	1389	0	1389	144456
000151	0.12955	0.141440	0.00000	0.000000	1360	0	1360	141440
010088	0.12774	0.139464	0.00000	0.000000	1341	0	1341	139464
003888	0.11917	0.130104	0.00000	0.000000	1251	0	1251	130104
003253	0.11546	0.126048	0.00000	0.000000	1212	0	1212	126048
009708	0.11374	0.124176	0.00000	0.000000	1194	0	1194	124176
008167	0.11050	0.120640	0.00000	0.000000	1160	0	1160	120640
003498	0.11012	0.120224	0.00000	0.000000	1156	0	1156	120224
007235	0.11003	0.120120	0.00000	0.000000	1155	0	1155	120120
006022	0.11003	0.120120	0.00000	0.000000	1155	0	1155	120120
008435	0.10793	0.117832	0.00000	0.000000	1133	0	1133	117832
000694	0.10736	0.117208	0.00000	0.000000	1127	0	1127	117208
002551	0.10021	0.109408	0.00000	0.000000	1052	0	1052	109408
007553	0.09945	0.108576	0.00000	0.000000	1044	0	1044	108576
000229	0.09926	0.108368	0.00000	0.000000	1042	0	1042	108368
005021	0.09536	0.104104	0.00000	0.000000	1001	0	1001	104104
003641	0.09364	0.102232	0.00000	0.000000	983	0	983	102232
009047	0.09231	0.100776	0.00000	0.000000	969	0	969	100776
008838	0.09174	0.100152	0.00000	0.000000	963	0	963	100152
004440	0.09145	0.099840	0.00000	0.000000	960	0	960	99840
010210	0.08840	0.096512	0.00000	0.000000	928	0	928	96512
009565	0.08802	0.096096	0.00000	0.000000	924	0	924	96096
