#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
000282	0.15645	0.169520	0.00000	0.000000	1630	0	1630	169520
008566	0.15194	0.164632	0.00000	0.000000	1583	0	1583	164632
003916	0.13917	0.150800	0.00000	0.000000	1450	0	1450	150800
008167	0.13178	0.142792	0.00000	0.000000	1373	0	1373	142792
007235	0.13054	0.141440	0.00000	0.000000	1360	0	1360	141440
010173	0.12823	0.138944	0.00000	0.000000	1336	0	1336	138944
009170	0.12123	0.131352	0.00000	0.000000	1263	0	1263	131352
008302	0.12027	0.130312	0.00000	0.000000	1253	0	1253	130312
005376	0.10424	0.112944	0.00000	0.000000	1086	0	1086	112944
009265	0.09819	0.106392	0.00000	0.000000	1023	0	1023	106392
003514	0.09406	0.101920	0.00000	0.000000	980	0	980	101920
004825	0.09301	0.100776	0.00000	0.000000	969	0	969	100776
011959	0.09042	0.097968	0.00000	0.000000	942	0	942	97968
007553	0.08984	0.097344	0.00000	0.000000	936	0	936	97344
004148	0.08946	0.096928	0.00000	0.000000	932	0	932	96928
005265	0.08571	0.092872	0.00000	0.000000	893	0	893	92872
000151	0.08283	0.089752	0.00000	0.000000	863	0	863	89752
007469	0.08130	0.088088	0.00000	0.000000	847	0	847	88088
010332	0.08024	0.086944	0.00000	0.000000	836	0	836	86944
006729	0.07947	0.086112	0.00000	0.000000	828	0	828	86112
004830	0.07909	0.085696	0.00000	0.000000	824	0	824	85696
011447	0.07899	0.085592	0.00000	0.000000	823	0	823	85592
005267	0.07669	0.083096	0.00000	0.000000	799	0	799	83096
005021	0.07487	0.081120	0.00000	0.000000	780	0	780	81120
010088	0.07477	0.081016	0.00000	0.000000	779	0	779	81016
007444	0.07458	0.080808	0.00000	0.000000	777	0	777	80808
002551	0.07439	0.080600	0.00000	0.000000	775	0	775	80600
000624	0.07112	0.077064	0.00000	0.000000	741	0	741	77064
008321	0.06872	0.074464	0.00000	0.000000	716	0	716	74464
008805	0.06824	0.073944	0.00000	0.000000	711	0	711	73944
003603	0.06661	0.072176	0.00000	0.000000	694	0	694	72176
003253	0.06652	0.072072	0.00000	0.000000	693	0	693	72072
005053	0.06575	0.071240	0.00000	0.000000	685	0	685	71240
003131	0.06556	0.071032	0.00000	0.000000	683	0	683	71032
003945	0.06546	0.070928	0.00000	0.000000	682	0	682	70928
005729	0.06498	0.070408	0.00000	0.000000	677	0	677	70408
010846	0.06479	0.070200	0.00000	0.000000	675	0	675	70200
001424	0.06431	0.069680	0.00000	0.000000	670	0	670	69680
001564	0.06344	0.068744	0.00000	0.000000	661	0	661	68744
000541	0.06181	0.066976	0.00000	0.000000	644	0	644	66976
003081	0.06172	0.066872	0.00000	0.000000	643	0	643	66872
000694	0.06085	0.065936	0.00000	0.000000	634	0	634	65936
007917	0.06066	0.065728	0.00000	0.000000	632	0	632	65728
000654	0.06066	0.065728	0.00000	0.000000	632	0	632	65728
003359	0.06056	0.065624	0.00000	0.000000	631	0	631	65624
006125	0.05922	0.064168	0.00000	0.000000	617	0	617	64168
003641	0.05903	0.063960	0.00000	0.000000	615	0	615	63960
003940	0.05874	0.063648	0.00000	0.000000	612	0	612	63648
001959	0.05797	0.062816	0.00000	0.000000	604	0	604	62816
005138	0.05788	0.062712	0.00000	0.000000	603	0	603	62712
005757	0.05778	0.062608	0.00000	0.000000	602	0	602	62608
010620	0.05701	0.061776	0.00000	0.000000	594	0	594	61776
002472	0.05625	0.060944	0.00000	0.000000	586	0	586	60944
007937	0.05596	0.060632	0.00000	0.000000	583	0	583	60632
011095	0.05567	0.060320	0.00000	0.000000	580	0	580	60320
007836	0.05509	0.059696	0.00000	0.000000	574	0	574	59696
003888	0.05509	0.059696	0.00000	0.000000	574	0	574	59696
009585	0.05500	0.059592	0.00000	0.000000	573	0	573	59592
007358	0.05500	0.059592	0.00000	0.000000	573	0	573	59592
003498	0.05500	0.059592	0.00000	0.000000	573	0	573	59592
000229	0.05490	0.059488	0.00000	0.000000	572	0	572	59488
011014	0.05365	0.058136	0.00000	0.000000	559	0	559	58136
004057	0.05279	0.057200	0.00000	0.000000	550	0	550	57200
010795	0.05241	0.056784	0.00000	0.000000	546	0	546	56784
003859	0.05212	0.056472	0.00000	0.000000	543	0	543	56472
009047	0.05173	0.056056	0.00000	0.000000	539	0	539	56056
005451	0.05087	0.055120	0.00000	0.000000	530	0	530	55120
002465	0.05087	0.055120	0.00000	0.000000	530	0	530	55120
001837	0.05058	0.054808	0.00000	0.000000	527	0	527	54808
000223	0.05010	0.054288	0.00000	0.000000	522	0	522	54288
006290	0.04962	0.053768	0.00000	0.000000	517	0	517	53768
000830	0.04905	0.053144	0.00000	0.000000	511	0	511	53144
011711	0.04866	0.052728	0.00000	0.000000	507	0	507	52728
005254	0.04847	0.052520	0.00000	0.000000	505	0	505	52520
010210	0.04838	0.052416	0.00000	0.000000	504	0	504	52416
003155	0.04828	0.052312	0.00000	0.000000	503	0	503	52312
002333	0.04828	0.052312	0.00000	0.000000	503	0	503	52312
005380	0.04799	0.052000	0.00000	0.000000	500	0	500	52000
008342	0.04790	0.051896	0.00000	0.000000	499	0	499	51896
010326	0.04751	0.051480	0.00000	0.000000	495	0	495	51480
008243	0.04742	0.051376	0.00000	0.000000	494	0	494	51376
001483	0.04742	0.051376	0.00000	0.000000	494	0	494	51376
000043	0.04655	0.050440	0.00000	0.000000	485	0	485	50440
006856	0.04636	0.050232	0.00000	0.000000	483	0	483	50232
005266	0.04607	0.049920	0.00000	0.000000	480	0	480	49920
002441	0.04578	0.049608	0.00000	0.000000	477	0	477	49608
003182	0.04569	0.049504	0.00000	0.000000	476	0	476	49504
005073	0.04511	0.048880	0.00000	0.000000	470	0	470	48880
010325	0.04454	0.048256	0.00000	0.000000	464	0	464	48256
010137	0.04434	0.048048	0.00000	0.000000	462	0	462	48048
006022	0.04406	0.047736	0.00000	0.000000	459	0	459	47736
003820	0.04406	0.047736	0.00000	0.000000	459	0	459	47736
011179	0.04367	0.047320	0.00000	0.000000	455	0	455	47320
010052	0.04367	0.047320	0.00000	0.000000	455	0	455	47320
001709	0.04367	0.047320	0.00000	0.000000	455	0	455	47320
009597	0.04300	0.046592	0.00000	0.000000	448	0	448	46592
000988	0.04271	0.046280	0.00000	0.000000	445	0	445	46280
008355	0.04204	0.045552	0.00000	0.000000	438	0	438	45552
010170	0.04185	0.045344	0.00000	0.000000	436	0	436	45344
008103	0.04185	0.045344	0.00000	0.000000	436	0	436	45344
006590	0.04127	0.044720	0.00000	0.000000	430	0	430	44720
009708	0.04118	0.044616	0.00000	0.000000	429	0	429	44616
000877	0.04118	0.044616	0.00000	0.000000	429	0	429	44616
000896	0.04108	0.044512	0.00000	0.000000	428	0	428	44512
008850	0.04079	0.044200	0.00000	0.000000	425	0	425	44200
000626	0.04079	0.044200	0.00000	0.000000	425	0	425	44200
002323	0.04041	0.043784	0.00000	0.000000	421	0	421	43784
001944	0.04041	0.043784	0.00000	0.000000	421	0	421	43784
005837	0.04031	0.043680	0.00000	0.000000	420	0	420	43680
008835	0.04012	0.043472	0.00000	0.000000	418	0	418	43472
005597	0.04002	0.043368	0.00000	0.000000	417	0	417	43368
001845	0.04002	0.043368	0.00000	0.000000	417	0	417	43368
002392	0.03974	0.043056	0.00000	0.000000	414	0	414	43056
001450	0.03974	0.043056	0.00000	0.000000	414	0	414	43056
009249	0.03954	0.042848	0.00000	0.000000	412	0	412	42848
001151	0.03935	0.042640	0.00000	0.000000	410	0	410	42640
