#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
008566	0.35275	1.425094	0.00000	0.000000	14110	0	14110	1425094
003514	0.33873	1.335236	0.00000	0.000000	13549	0	13688	1347774
003916	0.28605	1.159985	0.00000	0.000000	11442	0	11444	1160180
004825	0.27418	1.106910	0.00000	0.000000	10967	0	10968	1107008
000151	0.24288	0.974811	0.00000	0.000000	9715	0	9720	975286
000282	0.23303	0.956472	0.00000	0.000000	9321	0	9322	956568
006022	0.23205	0.935674	0.00000	0.000000	9282	0	9282	935674
005376	0.21410	0.867808	0.00000	0.000000	8564	0	8564	867808
009170	0.20535	0.785750	0.00000	0.000000	8214	0	8216	785932
003498	0.19470	0.797304	0.00000	0.000000	7788	0	7788	797304
006729	0.18425	0.728250	0.00000	0.000000	7370	0	7370	728250
004826	0.18275	0.737902	0.00000	0.000000	7310	0	7310	737902
008302	0.18110	0.742398	0.00000	0.000000	7244	0	7244	742398
009585	0.17750	0.709018	0.00000	0.000000	7100	0	7102	709212
000694	0.17735	0.717818	0.00000	0.000000	7094	0	7094	717818
011959	0.17485	0.710588	0.00000	0.000000	6994	0	6994	710588
003888	0.17360	0.695996	0.00000	0.000000	6944	0	6944	695996
005266	0.16575	0.673128	0.00000	0.000000	6630	0	6630	673128
005757	0.16055	0.633198	0.00000	0.000000	6422	0	6422	633198
007235	0.15765	0.633998	0.00000	0.000000	6306	0	6306	633998
009265	0.15753	0.643157	0.00000	0.000000	6301	0	6302	643256
002356	0.15525	0.634352	0.00000	0.000000	6210	0	6210	634352
010088	0.15485	0.618972	0.00000	0.000000	6194	0	6194	618972
002551	0.15485	0.633034	0.00000	0.000000	6194	0	6194	633034
003940	0.15395	0.618796	0.00000	0.000000	6158	0	6158	618796
008167	0.15033	0.606985	0.00000	0.000000	6013	0	6014	607084
007444	0.15033	0.608442	0.00000	0.000000	6013	0	6076	614392
008838	0.14798	0.601766	0.00000	0.000000	5919	0	5922	602046
001424	0.14730	0.599356	0.00000	0.000000	5892	0	5906	600686
005021	0.14660	0.599870	0.00000	0.000000	5864	0	5864	599870
001072	0.14483	0.576865	0.00000	0.000000	5793	0	5806	578092
000134	0.14140	0.567856	0.00000	0.000000	5656	0	5656	567856
003253	0.14040	0.570896	0.00000	0.000000	5616	0	5616	570896
003662	0.13985	0.558060	0.00000	0.000000	5594	0	5594	558060
000654	0.13938	0.556805	0.00000	0.000000	5575	0	5576	556902
009708	0.13650	0.549443	0.00000	0.000000	5460	0	5482	551494
007718	0.13580	0.535868	0.00000	0.000000	5432	0	5432	535868
004920	0.13430	0.542498	0.00000	0.000000	5372	0	5372	542498
005265	0.13243	0.530983	0.00000	0.000000	5297	0	5306	531804
004148	0.13233	0.536018	0.00000	0.000000	5293	0	5298	536488
001599	0.13000	0.525680	0.00000	0.000000	5200	0	5200	525680
007553	0.12905	0.527700	0.00000	0.000000	5162	0	5162	527700
003960	0.12850	0.518258	0.00000	0.000000	5140	0	5142	518430
005837	0.12745	0.520922	0.00000	0.000000	5098	0	5098	520922
001493	0.12735	0.512024	0.00000	0.000000	5094	0	5094	512024
000624	0.12690	0.513198	0.00000	0.000000	5076	0	5076	513198
004830	0.12665	0.517696	0.00000	0.000000	5066	0	5066	517696
011014	0.12555	0.498984	0.00000	0.000000	5022	0	5022	498984
000229	0.12470	0.498046	0.00000	0.000000	4988	0	4988	498046
002392	0.12455	0.498994	0.00000	0.000000	4982	0	4982	498994
009953	0.12373	0.491159	0.00000	0.000000	4949	0	4954	491634
010173	0.12328	0.498995	0.00000	0.000000	4931	0	4932	499090
009047	0.12020	0.477656	0.00000	0.000000	4808	0	4808	477656
003603	0.11980	0.482476	0.00000	0.000000	4792	0	4792	482476
003081	0.11895	0.484789	0.00000	0.000000	4758	0	4760	484980
008559	0.11838	0.471995	0.00000	0.000000	4735	0	4742	472660
003641	0.11813	0.480140	0.00000	0.000000	4725	0	4728	480420
008206	0.11775	0.465784	0.00000	0.000000	4710	0	4710	465784
008435	0.11738	0.474908	0.00000	0.000000	4695	0	4698	475184
005792	0.11595	0.469882	0.00000	0.000000	4638	0	4638	469882
005183	0.11448	0.462918	0.00000	0.000000	4579	0	4582	463200
002472	0.11430	0.457073	0.00000	0.000000	4572	0	4574	457252
011447	0.11305	0.453370	0.00000	0.000000	4522	0	4522	453370
002298	0.11300	0.458296	0.00000	0.000000	4520	0	4520	458296
010332	0.11265	0.455104	0.00000	0.000000	4506	0	4506	455104
003394	0.11205	0.451540	0.00000	0.000000	4482	0	4510	454174
009238	0.10955	0.435972	0.00000	0.000000	4382	0	4382	435972
011216	0.10938	0.440556	0.00000	0.000000	4375	0	4376	440652
004597	0.10913	0.438011	0.00000	0.000000	4365	0	4374	438848
001663	0.10913	0.433299	0.00000	0.000000	4365	0	4366	433388
001151	0.10783	0.438731	0.00000	0.000000	4313	0	4326	439888
009565	0.10660	0.433508	0.00000	0.000000	4264	0	4264	433508
005267	0.10660	0.436886	0.00000	0.000000	4264	0	4264	436886
010210	0.10470	0.424880	0.00000	0.000000	4188	0	4188	424880
003466	0.10385	0.419634	0.00000	0.000000	4154	0	4154	419634
011118	0.10353	0.420002	0.00000	0.000000	4141	0	4152	421048
003155	0.10315	0.411806	0.00000	0.000000	4126	0	4126	411806
006125	0.10310	0.418376	0.00000	0.000000	4124	0	4124	418376
003496	0.10195	0.411990	0.00000	0.000000	4078	0	4078	411990
008850	0.10143	0.412158	0.00000	0.000000	4057	0	4058	412254
005138	0.10035	0.410956	0.00000	0.000000	4014	0	4014	410956
008342	0.09920	0.403926	0.00000	0.000000	3968	0	3968	403926
002329	0.09720	0.395781	0.00000	0.000000	3888	0	3890	395976
004057	0.09713	0.395094	0.00000	0.000000	3885	0	3886	395186
011179	0.09670	0.393874	0.00000	0.000000	3868	0	3868	393874
005053	0.09655	0.380092	0.00000	0.000000	3862	0	3862	380092
009799	0.09643	0.385956	0.00000	0.000000	3857	0	3878	387912
004691	0.09605	0.389028	0.00000	0.000000	3842	0	3842	389028
004793	0.09505	0.381980	0.00000	0.000000	3802	0	3802	381980
010795	0.09468	0.382298	0.00000	0.000000	3787	0	3788	382392
010622	0.09445	0.378208	0.00000	0.000000	3778	0	3778	378208
002974	0.09433	0.377759	0.00000	0.000000	3773	0	3784	378772
010070	0.09183	0.370907	0.00000	0.000000	3673	0	3674	371002
000274	0.09030	0.361330	0.00000	0.000000	3612	0	3612	361330
010846	0.08945	0.359572	0.00000	0.000000	3578	0	3578	359572
001169	0.08935	0.362872	0.00000	0.000000	3574	0	3574	362872
000541	0.08910	0.356928	0.00000	0.000000	3564	0	3576	358068
001681	0.08853	0.361072	0.00000	0.000000	3541	0	3542	361170
002018	0.08825	0.360468	0.00000	0.000000	3530	0	3530	360468
005787	0.08818	0.352549	0.00000	0.000000	3527	0	3528	352644
004440	0.08765	0.352694	0.00000	0.000000	3506	0	3506	352694
002197	0.08720	0.351382	0.00000	0.000000	3488	0	3488	351382
007358	0.08695	0.352240	0.00000	0.000000	3478	0	3478	352240
004520	0.08695	0.355010	0.00000	0.000000	3478	0	3478	355010
000720	0.08615	0.343516	0.00000	0.000000	3446	0	3446	343516
005637	0.08605	0.340122	0.00000	0.000000	3442	0	3442	340122
001537	0.08300	0.335708	0.00000	0.000000	3320	0	3320	335708
005401	0.08235	0.334618	0.00000	0.000000	3294	0	3294	334618
011907	0.08225	0.332340	0.00000	0.000000	3290	0	3290	332340
005380	0.08215	0.333018	0.00000	0.000000	3286	0	3286	333018
001483	0.08200	0.335150	0.00000	0.000000	3280	0	3280	335150
